DateTime,Players,Flags,Twitch Viewers
18/10/2018 00:00,18130,,3421
19/10/2018 00:00,23016,,15221
20/10/2018 00:00,24371,,4402
21/10/2018 00:00,27584,,11732
22/10/2018 00:00,27277,,11913
23/10/2018 00:00,25509,,2264
24/10/2018 00:00,25272,,2229
25/10/2018 00:00,25191,,1579
26/10/2018 00:00,24944,,1528
27/10/2018 00:00,27303,,1560
28/10/2018 00:00,28735,,905
29/10/2018 00:00,27427,,2332
30/10/2018 00:00,27229,,1059
31/10/2018 00:00,26738,,1687
01/11/2018 00:00,35013,,3139
02/11/2018 00:00,49773,,6331
03/11/2018 00:00,54972,,5747
04/11/2018 00:00,61943,,3431
05/11/2018 00:00,58189,,2466
06/11/2018 00:00,55807,,3582
07/11/2018 00:00,56259,,6814
08/11/2018 00:00,55903,,11882
09/11/2018 00:00,54589,,7595
10/11/2018 00:00,59641,,2876
11/11/2018 00:00,62791,,6207
12/11/2018 00:00,60235,,4932
13/11/2018 00:00,57156,,10835
14/11/2018 00:00,56517,,5564
15/11/2018 00:00,55235,,6186
16/11/2018 00:00,52687,,2324
17/11/2018 00:00,58219,,4730
18/11/2018 00:00,62784,,4081
19/11/2018 00:00,57782,,2503
20/11/2018 00:00,55159,,4641
21/11/2018 00:00,54343,,11888
22/11/2018 00:00,52339,,10844
23/11/2018 00:00,48535,,2465
24/11/2018 00:00,52881,,11807
25/11/2018 00:00,58909,,12380
26/11/2018 00:00,55537,,2316
27/11/2018 00:00,53305,,9138
28/11/2018 00:00,50892,,16201
29/11/2018 00:00,51145,,12996
30/11/2018 00:00,48808,,2180
01/12/2018 00:00,53295,,9547
02/12/2018 00:00,57029,,1304
03/12/2018 00:00,55309,,18788
04/12/2018 00:00,53541,,3406
05/12/2018 00:00,50566,,3393
06/12/2018 00:00,50700,,2972
07/12/2018 00:00,47765,,915
08/12/2018 00:00,52502,,2238
09/12/2018 00:00,57497,,2277
10/12/2018 00:00,54148,,1746
11/12/2018 00:00,49697,,1764
12/12/2018 00:00,50829,,3317
13/12/2018 00:00,48938,,3511
14/12/2018 00:00,46793,,2121
15/12/2018 00:00,53297,,2026
16/12/2018 00:00,57206,,434
17/12/2018 00:00,55598,,4118
18/12/2018 00:00,56467,,4024
19/12/2018 00:00,52439,,3141
20/12/2018 00:00,51612,,4682
21/12/2018 00:00,48680,,3737
22/12/2018 00:00,55028,,1069
23/12/2018 00:00,60203,,4579
24/12/2018 00:00,54828,,2779
25/12/2018 00:00,54103,,4890
26/12/2018 00:00,60292,,4061
27/12/2018 00:00,66117,,1609
28/12/2018 00:00,64328,,6151
29/12/2018 00:00,66386,,7813
30/12/2018 00:00,71236,,1555
31/12/2018 00:00,63986,,1430
