DateTime,Players,Flags,Twitch Viewers
01/11/2016 00:00,13,,
02/11/2016 00:00,,,
03/11/2016 00:00,,,
04/11/2016 00:00,,,
05/11/2016 00:00,,,
06/11/2016 00:00,,,
07/11/2016 00:00,,,
08/11/2016 00:00,,,
09/11/2016 00:00,,,
10/11/2016 00:00,,,
11/11/2016 00:00,,,
12/11/2016 00:00,,,
13/11/2016 00:00,,,
14/11/2016 00:00,,,
15/11/2016 00:00,,,
16/11/2016 00:00,,,
17/11/2016 00:00,,,
18/11/2016 00:00,,,
19/11/2016 00:00,,,
20/11/2016 00:00,,,
21/11/2016 00:00,,,
22/11/2016 00:00,,,
23/11/2016 00:00,,,
24/11/2016 00:00,,,
25/11/2016 00:00,,,
26/11/2016 00:00,,,
27/11/2016 00:00,,,
28/11/2016 00:00,6,,
29/11/2016 00:00,12,,
30/11/2016 00:00,10,,
01/12/2016 00:00,14,,
02/12/2016 00:00,12,,
03/12/2016 00:00,2,,
04/12/2016 00:00,1,,
05/12/2016 00:00,12,,
06/12/2016 00:00,14,,
07/12/2016 00:00,17,,
08/12/2016 00:00,164,,
09/12/2016 00:00,211,,
10/12/2016 00:00,167,,
11/12/2016 00:00,123,,
12/12/2016 00:00,16,,
13/12/2016 00:00,16,,
14/12/2016 00:00,15,,
15/12/2016 00:00,12,,
16/12/2016 00:00,11,,
17/12/2016 00:00,2,,
18/12/2016 00:00,1,,
19/12/2016 00:00,11,,
20/12/2016 00:00,16,,
21/12/2016 00:00,16,,
22/12/2016 00:00,16,,
23/12/2016 00:00,10,,
24/12/2016 00:00,1,,
25/12/2016 00:00,1,,
26/12/2016 00:00,1,,
27/12/2016 00:00,7,,
28/12/2016 00:00,8,,
29/12/2016 00:00,8,,
30/12/2016 00:00,6,,
31/12/2016 00:00,2,,
01/01/2017 00:00,1,,
02/01/2017 00:00,9,,
03/01/2017 00:00,11,,
04/01/2017 00:00,11,,
05/01/2017 00:00,13,,
06/01/2017 00:00,3,,
07/01/2017 00:00,1,,
08/01/2017 00:00,1,,
09/01/2017 00:00,13,,
10/01/2017 00:00,18,,
11/01/2017 00:00,13,,
12/01/2017 00:00,16,,
13/01/2017 00:00,17,,
14/01/2017 00:00,3,,
15/01/2017 00:00,3,,
16/01/2017 00:00,15,,
17/01/2017 00:00,17,,
18/01/2017 00:00,18,,
19/01/2017 00:00,16,,
20/01/2017 00:00,15,,
21/01/2017 00:00,2,,
22/01/2017 00:00,2,,
23/01/2017 00:00,16,,
24/01/2017 00:00,19,,
25/01/2017 00:00,20,,
26/01/2017 00:00,19,,
27/01/2017 00:00,16,,
28/01/2017 00:00,2,,
29/01/2017 00:00,2,,
30/01/2017 00:00,12,,
31/01/2017 00:00,17,,
01/02/2017 00:00,17,,
02/02/2017 00:00,17,,
03/02/2017 00:00,18,,
04/02/2017 00:00,4,,
05/02/2017 00:00,3,,
06/02/2017 00:00,21,,
07/02/2017 00:00,18,,
08/02/2017 00:00,19,,
09/02/2017 00:00,22,,
10/02/2017 00:00,22,,
11/02/2017 00:00,2,,
12/02/2017 00:00,2,,
13/02/2017 00:00,15,,
14/02/2017 00:00,21,,
15/02/2017 00:00,22,,
16/02/2017 00:00,2833,,
17/02/2017 00:00,2669,,
18/02/2017 00:00,3312,,
19/02/2017 00:00,2789,,
20/02/2017 00:00,3680,,
21/02/2017 00:00,3211,,
22/02/2017 00:00,2963,,
23/02/2017 00:00,3146,,
