DateTime,Players,Flags,Twitch Viewers
10/1/2019 00:00,214100,,114433
10/2/2019 00:00,226651,,72718
10/3/2019 00:00,222902,,42172
10/4/2019 00:00,226760,,40579
10/5/2019 00:00,292402,,223409
10/6/2019 00:00,292513,,164272
10/7/2019 00:00,216149,,35326
10/8/2019 00:00,222182,,35160
10/9/2019 00:00,209534,,28181
10/10/2019 00:00,197763,,22472
10/11/2019 00:00,217877,,27725
10/12/2019 00:00,262171,,21961
10/13/2019 00:00,252895,,19192
10/14/2019 00:00,206693,,24680
10/15/2019 00:00,205283,,27772
10/16/2019 00:00,192577,,21444
10/17/2019 00:00,182165,,17656
10/18/2019 00:00,197539,,29469
10/19/2019 00:00,233397,,24636
10/20/2019 00:00,226931,,19419
10/21/2019 00:00,169246,,20448
10/22/2019 00:00,192174,,28824
10/23/2019 00:00,171542,,20206
10/24/2019 00:00,161843,,21035
10/25/2019 00:00,168894,,19649
10/26/2019 00:00,194410,,14188
10/27/2019 00:00,186033,,16802
10/28/2019 00:00,141589,,13351
10/29/2019 00:00,180495,,35875
10/30/2019 00:00,168109,,23891
10/31/2019 00:00,159832,,15214
11/1/2019 00:00,172365,,14203
11/2/2019 00:00,196352,,15115
11/3/2019 00:00,183488,,15429
11/4/2019 00:00,139713,,14794
11/5/2019 00:00,134889,,16439
11/6/2019 00:00,140865,,30656
11/7/2019 00:00,135562,,15416
11/8/2019 00:00,153737,,18687
11/9/2019 00:00,183179,,14259
11/10/2019 00:00,158722,,15467
11/11/2019 00:00,132999,,11185
11/12/2019 00:00,126458,,12913
11/13/2019 00:00,128028,,11111
11/14/2019 00:00,121683,,22764
11/15/2019 00:00,131598,,11722
11/16/2019 00:00,152650,,9280
11/17/2019 00:00,149094,,28231
11/18/2019 00:00,115977,,8989
11/19/2019 00:00,113306,,19144
11/20/2019 00:00,118462,,18784
11/21/2019 00:00,112047,,11471
11/22/2019 00:00,101066,,13179
11/23/2019 00:00,150875,,11382
11/24/2019 00:00,133753,,11776
11/25/2019 00:00,103465,,11615
11/26/2019 00:00,101142,,20091
11/27/2019 00:00,114886,,10204
11/28/2019 00:00,112931,,9725
11/29/2019 00:00,120072,,10575
11/30/2019 00:00,135553,,13297
12/1/2019 00:00,130119,,12934
12/2/2019 00:00,104183,,10408
12/3/2019 00:00,104858,,10350
12/4/2019 00:00,109211,,78637
12/5/2019 00:00,104987,,10214
12/6/2019 00:00,112791,,12162
12/7/2019 00:00,130048,,9587
12/8/2019 00:00,123065,,15210
12/9/2019 00:00,99022,,11490
12/10/2019 00:00,138602,,31699
12/11/2019 00:00,130241,,22226
12/12/2019 00:00,117192,,14024
12/13/2019 00:00,120046,,13975
12/14/2019 00:00,137368,,15780
12/15/2019 00:00,129328,,15561
12/16/2019 00:00,102483,,12703
12/17/2019 00:00,118926,,19349
12/18/2019 00:00,123028,,13590
