DateTime,Players,Flags,Twitch Viewers
6/4/2015 00:00,,,
8/26/2015 00:00,1,,
8/27/2015 00:00,,,
8/28/2015 00:00,,,
8/29/2015 00:00,,,
8/30/2015 00:00,1,,
8/31/2015 00:00,,,
9/1/2015 00:00,,,
9/2/2015 00:00,,,
9/3/2015 00:00,,,
9/4/2015 00:00,,,
9/5/2015 00:00,,,
9/6/2015 00:00,,,
9/7/2015 00:00,,,
9/8/2015 00:00,,,
9/9/2015 00:00,,,
9/10/2015 00:00,,,
9/11/2015 00:00,,,
9/12/2015 00:00,,,
9/13/2015 00:00,,,
9/14/2015 00:00,,,
9/15/2015 00:00,,,
9/16/2015 00:00,,,
9/17/2015 00:00,1,,
9/18/2015 00:00,1,,
9/19/2015 00:00,2,,
9/20/2015 00:00,1,,
9/21/2015 00:00,1,,
9/22/2015 00:00,2,,
9/23/2015 00:00,2,,
9/24/2015 00:00,1,,
9/25/2015 00:00,1,,
9/26/2015 00:00,2,,
9/27/2015 00:00,1,,
9/28/2015 00:00,,,
9/29/2015 00:00,1,,
9/30/2015 00:00,,,
10/1/2015 00:00,1,,
10/2/2015 00:00,1,,
10/3/2015 00:00,1,,
10/4/2015 00:00,,,
10/5/2015 00:00,1,,
10/6/2015 00:00,1,,
10/7/2015 00:00,1,,
10/8/2015 00:00,,,
10/9/2015 00:00,1,,
10/10/2015 00:00,,,
10/11/2015 00:00,1,,
10/12/2015 00:00,17,,
10/13/2015 00:00,23,,
10/14/2015 00:00,16,,
10/15/2015 00:00,14,,
10/16/2015 00:00,16,,
10/17/2015 00:00,5,,
10/18/2015 00:00,1,,
10/19/2015 00:00,15,,
10/20/2015 00:00,17,,
10/21/2015 00:00,18,,
10/22/2015 00:00,17,,
10/23/2015 00:00,12,,
10/24/2015 00:00,4,,
10/25/2015 00:00,2,,
10/26/2015 00:00,7,,
10/27/2015 00:00,10,,
10/28/2015 00:00,8,,
10/29/2015 00:00,9,,
10/30/2015 00:00,7,,
10/31/2015 00:00,1,,
11/1/2015 00:00,471955,,
11/2/2015 00:00,8,,
11/3/2015 00:00,6,,
11/4/2015 00:00,5,,
11/5/2015 00:00,5,,
11/6/2015 00:00,4,,
11/7/2015 00:00,1,,
11/8/2015 00:00,1,,
11/9/2015 00:00,14233,,
11/10/2015 00:00,445537,,
11/11/2015 00:00,471083,,
11/12/2015 00:00,433897,,
11/13/2015 00:00,402987,,
11/14/2015 00:00,460626,,
11/15/2015 00:00,471315,,
11/16/2015 00:00,411061,,
11/17/2015 00:00,313793,,
11/18/2015 00:00,291730,,
11/19/2015 00:00,274557,,
11/20/2015 00:00,276757,,
11/21/2015 00:00,333954,,
11/22/2015 00:00,342600,,
11/23/2015 00:00,289048,,
11/24/2015 00:00,229228,,
11/25/2015 00:00,228693,,
11/26/2015 00:00,223327,,
11/27/2015 00:00,231118,,
11/28/2015 00:00,244366,,
11/29/2015 00:00,253442,,
11/30/2015 00:00,217753,,
12/1/2015 00:00,161784,,
12/2/2015 00:00,155686,,
12/3/2015 00:00,148549,,
12/4/2015 00:00,153984,,
12/5/2015 00:00,194308,,
12/6/2015 00:00,201352,,
12/7/2015 00:00,170189,,
12/8/2015 00:00,132293,,
12/9/2015 00:00,122451,,
12/10/2015 00:00,118035,,
12/11/2015 00:00,122020,,
12/12/2015 00:00,156099,,
12/13/2015 00:00,163633,,
12/14/2015 00:00,139184,,
12/15/2015 00:00,105473,,
12/16/2015 00:00,99164,,
12/17/2015 00:00,97245,,
12/18/2015 00:00,100078,,
12/19/2015 00:00,121845,,
12/20/2015 00:00,128382,,
