DateTime,Players,Flags,Twitch Viewers
5/25/2015 00:00,1,,
5/26/2015 00:00,,,
5/27/2015 00:00,,,
5/28/2015 00:00,,,
5/29/2015 00:00,1,,
5/30/2015 00:00,,,
5/31/2015 00:00,,,
6/1/2015 00:00,,,
6/2/2015 00:00,,,
6/3/2015 00:00,,,
6/4/2015 00:00,,,
6/5/2015 00:00,,,
6/6/2015 00:00,,,
6/7/2015 00:00,,,
6/8/2015 00:00,2,,
6/9/2015 00:00,3,,
6/10/2015 00:00,,,
6/11/2015 00:00,,,
6/12/2015 00:00,,,
6/13/2015 00:00,,,
6/14/2015 00:00,,,
6/15/2015 00:00,,,
6/16/2015 00:00,3,,
6/17/2015 00:00,,,
6/18/2015 00:00,,,
6/19/2015 00:00,1,,
6/20/2015 00:00,,,
6/21/2015 00:00,,,
6/22/2015 00:00,1,,
6/23/2015 00:00,,,
6/24/2015 00:00,3,,
6/25/2015 00:00,5,,
6/26/2015 00:00,2,,
6/27/2015 00:00,,,
6/28/2015 00:00,,,
6/29/2015 00:00,,,
6/30/2015 00:00,1,,
7/1/2015 00:00,,,
7/2/2015 00:00,,,
7/3/2015 00:00,,,
7/4/2015 00:00,,,
7/5/2015 00:00,,,
7/6/2015 00:00,,,
7/7/2015 00:00,,,
7/8/2015 00:00,,,
7/9/2015 00:00,,,
7/10/2015 00:00,,,
7/11/2015 00:00,1,,
7/12/2015 00:00,,,
7/13/2015 00:00,3,,
7/14/2015 00:00,,,
7/15/2015 00:00,,,
7/16/2015 00:00,1,,
7/17/2015 00:00,,,
7/18/2015 00:00,,,
7/19/2015 00:00,,,
7/20/2015 00:00,3,,
7/21/2015 00:00,2,,
7/22/2015 00:00,2,,
7/23/2015 00:00,1,,
7/24/2015 00:00,,,
7/25/2015 00:00,,,
7/26/2015 00:00,,,
7/27/2015 00:00,,,
7/28/2015 00:00,,,
7/29/2015 00:00,,,
7/30/2015 00:00,,,
7/31/2015 00:00,,,
8/1/2015 00:00,,,
8/2/2015 00:00,,,
8/3/2015 00:00,,,
8/4/2015 00:00,,,
8/5/2015 00:00,,,
8/6/2015 00:00,,,
8/7/2015 00:00,,,
8/8/2015 00:00,,,
8/9/2015 00:00,,,
8/10/2015 00:00,,,
8/11/2015 00:00,,,
8/12/2015 00:00,,,
8/13/2015 00:00,1,,
8/14/2015 00:00,,,
8/15/2015 00:00,,,
8/16/2015 00:00,,,
8/17/2015 00:00,,,
8/18/2015 00:00,,,
8/19/2015 00:00,,,
8/20/2015 00:00,,,
8/21/2015 00:00,,,
8/22/2015 00:00,,,
8/23/2015 00:00,,,
8/24/2015 00:00,,,
8/25/2015 00:00,,,
