DateTime,Players,Flags,Twitch Viewers
12/1/2013 00:00,22571,,
12/2/2013 00:00,,,
12/3/2013 00:00,,,
12/4/2013 00:00,,,
12/5/2013 00:00,,,
12/6/2013 00:00,,,
12/7/2013 00:00,,,
12/8/2013 00:00,,,
12/9/2013 00:00,,,
12/10/2013 00:00,1923,,
12/11/2013 00:00,4251,,
12/12/2013 00:00,6068,,
12/13/2013 00:00,8970,,
12/14/2013 00:00,12840,,
12/15/2013 00:00,12843,,
12/16/2013 00:00,11859,,
12/17/2013 00:00,11508,,
12/18/2013 00:00,12176,,
12/19/2013 00:00,12505,,
12/20/2013 00:00,13486,,
12/21/2013 00:00,13953,,
12/22/2013 00:00,14124,,
12/23/2013 00:00,14470,,
12/24/2013 00:00,12126,,
12/25/2013 00:00,14216,,
12/26/2013 00:00,14606,,
12/27/2013 00:00,9023,,
12/28/2013 00:00,14403,,
12/29/2013 00:00,18487,,
12/30/2013 00:00,22711,,
12/31/2013 00:00,24821,,
1/1/2014 00:00,51872,,
1/2/2014 00:00,25146,,
1/3/2014 00:00,26053,,
1/4/2014 00:00,27384,,
1/5/2014 00:00,27384,,
1/6/2014 00:00,24893,,
1/7/2014 00:00,23831,,
1/8/2014 00:00,23517,,
1/9/2014 00:00,25559,,
1/10/2014 00:00,32003,,
1/11/2014 00:00,34910,,
1/12/2014 00:00,34910,,
1/13/2014 00:00,28637,,
1/14/2014 00:00,28750,,
1/15/2014 00:00,28228,,
1/16/2014 00:00,29899,,
1/17/2014 00:00,36053,,
1/18/2014 00:00,38489,,
1/19/2014 00:00,37663,,
1/20/2014 00:00,34755,,
1/21/2014 00:00,34293,,
1/22/2014 00:00,33354,,
1/23/2014 00:00,36188,,
1/24/2014 00:00,49619,,
1/25/2014 00:00,52291,,
1/26/2014 00:00,50770,,
1/27/2014 00:00,25451,,
1/28/2014 00:00,44720,,
1/29/2014 00:00,43140,,
1/30/2014 00:00,44674,,
1/31/2014 00:00,54218,,
2/1/2014 00:00,58973,,
2/2/2014 00:00,54368,,
2/3/2014 00:00,44691,,
2/4/2014 00:00,47477,,
2/5/2014 00:00,43817,,
2/6/2014 00:00,47313,,
2/7/2014 00:00,56364,,
2/8/2014 00:00,59118,,
2/9/2014 00:00,54492,,
2/10/2014 00:00,47709,,
2/11/2014 00:00,46598,,
2/12/2014 00:00,48234,,
2/13/2014 00:00,42596,,
2/14/2014 00:00,56518,,
2/15/2014 00:00,57593,,
2/16/2014 00:00,50212,,
2/17/2014 00:00,48449,,
2/18/2014 00:00,45404,,
2/19/2014 00:00,39171,,
2/20/2014 00:00,45854,,
2/21/2014 00:00,51423,,
2/22/2014 00:00,51740,,
2/23/2014 00:00,44248,,
2/24/2014 00:00,40655,,
2/25/2014 00:00,42143,,
2/26/2014 00:00,40355,,
2/27/2014 00:00,40347,,
2/28/2014 00:00,48590,,
3/1/2014 00:00,48979,,
3/2/2014 00:00,43491,,
3/3/2014 00:00,40419,,
3/4/2014 00:00,37346,,
3/5/2014 00:00,35993,,
3/6/2014 00:00,39049,,
3/7/2014 00:00,43026,,
3/8/2014 00:00,45948,,
3/9/2014 00:00,40683,,
3/10/2014 00:00,34043,,
3/11/2014 00:00,33354,,
3/12/2014 00:00,31666,,
3/13/2014 00:00,32861,,
3/14/2014 00:00,38644,,
3/15/2014 00:00,37759,,
3/16/2014 00:00,30845,,
3/17/2014 00:00,29158,,
3/18/2014 00:00,29291,,
3/19/2014 00:00,29193,,
3/20/2014 00:00,29166,,
3/21/2014 00:00,35529,,
3/22/2014 00:00,37226,,
3/23/2014 00:00,29434,,
3/24/2014 00:00,25851,,
3/25/2014 00:00,28609,,
3/26/2014 00:00,27933,,
3/27/2014 00:00,28770,,
3/28/2014 00:00,33225,,
3/29/2014 00:00,33829,,
3/30/2014 00:00,26725,,
3/31/2014 00:00,24759,,
4/1/2014 00:00,31321,,
4/2/2014 00:00,23901,,
4/3/2014 00:00,25681,,
4/4/2014 00:00,31454,,
4/5/2014 00:00,31371,,
4/6/2014 00:00,24928,,
4/7/2014 00:00,24198,,
4/8/2014 00:00,23537,,
4/9/2014 00:00,23098,,
4/10/2014 00:00,24486,,
4/11/2014 00:00,29122,,
4/12/2014 00:00,29427,,
4/13/2014 00:00,24660,,
4/14/2014 00:00,24436,,
4/15/2014 00:00,23249,,
4/16/2014 00:00,23090,,
4/17/2014 00:00,26055,,
4/18/2014 00:00,26502,,
4/19/2014 00:00,24997,,
4/20/2014 00:00,24598,,
4/21/2014 00:00,21962,,
4/22/2014 00:00,21237,,
4/23/2014 00:00,20747,,
4/24/2014 00:00,21099,,
4/25/2014 00:00,25282,,
4/26/2014 00:00,25455,,
4/27/2014 00:00,20238,,
4/28/2014 00:00,19247,,
4/29/2014 00:00,19424,,
4/30/2014 00:00,19936,,
5/1/2014 00:00,24306,,
5/2/2014 00:00,23482,,
5/3/2014 00:00,24303,,
5/4/2014 00:00,19473,,
5/5/2014 00:00,18819,,
5/6/2014 00:00,18471,,
5/7/2014 00:00,18869,,
5/8/2014 00:00,18357,,
5/9/2014 00:00,22869,,
5/10/2014 00:00,22409,,
5/11/2014 00:00,17862,,
5/12/2014 00:00,17176,,
5/13/2014 00:00,16510,,
5/14/2014 00:00,13323,,
5/15/2014 00:00,16538,,
5/16/2014 00:00,18987,,
5/17/2014 00:00,19325,,
5/18/2014 00:00,15615,,
5/19/2014 00:00,15010,,
5/20/2014 00:00,14603,,
5/21/2014 00:00,14748,,
5/22/2014 00:00,15794,,
5/23/2014 00:00,18122,,
5/24/2014 00:00,18584,,
5/25/2014 00:00,18114,,
5/26/2014 00:00,15378,,
5/27/2014 00:00,15144,,
5/28/2014 00:00,15344,,
5/29/2014 00:00,14883,,
5/30/2014 00:00,16605,,
5/31/2014 00:00,17773,,
6/1/2014 00:00,18081,,
6/2/2014 00:00,15042,,
6/3/2014 00:00,15310,,
6/4/2014 00:00,14641,,
6/5/2014 00:00,15048,,
6/6/2014 00:00,16380,,
6/7/2014 00:00,17756,,
6/8/2014 00:00,16546,,
6/9/2014 00:00,16609,,
6/10/2014 00:00,16446,,
6/11/2014 00:00,16027,,
6/12/2014 00:00,16071,,
6/13/2014 00:00,17525,,
6/14/2014 00:00,18109,,
6/15/2014 00:00,16879,,
6/16/2014 00:00,16428,,
6/17/2014 00:00,15745,,
6/18/2014 00:00,14917,,
6/19/2014 00:00,15382,,
6/20/2014 00:00,15428,,
6/21/2014 00:00,16553,,
6/22/2014 00:00,15623,,
6/23/2014 00:00,15477,,
6/24/2014 00:00,15163,,
6/25/2014 00:00,14324,,
6/26/2014 00:00,14445,,
6/27/2014 00:00,14305,,
6/28/2014 00:00,15321,,
6/29/2014 00:00,15260,,
6/30/2014 00:00,14470,,
7/1/2014 00:00,15027,,
7/2/2014 00:00,14150,,
7/3/2014 00:00,13481,,
7/4/2014 00:00,13740,,
7/5/2014 00:00,15232,,
7/6/2014 00:00,14783,,
7/7/2014 00:00,14797,,
7/8/2014 00:00,14184,,
7/9/2014 00:00,13915,,
7/10/2014 00:00,13422,,
7/11/2014 00:00,13325,,
7/12/2014 00:00,13884,,
7/13/2014 00:00,13628,,
7/14/2014 00:00,13525,,
7/15/2014 00:00,13437,,
7/16/2014 00:00,12510,,
7/17/2014 00:00,12006,,
7/18/2014 00:00,11933,,
7/19/2014 00:00,13355,,
7/20/2014 00:00,12795,,
7/21/2014 00:00,12698,,
7/22/2014 00:00,12370,,
7/23/2014 00:00,12097,,
7/24/2014 00:00,11691,,
7/25/2014 00:00,11886,,
7/26/2014 00:00,12909,,
7/27/2014 00:00,12605,,
7/28/2014 00:00,12587,,
7/29/2014 00:00,11860,,
7/30/2014 00:00,11111,,
7/31/2014 00:00,11291,,
8/1/2014 00:00,12764,,
8/2/2014 00:00,12862,,
8/3/2014 00:00,12335,,
8/4/2014 00:00,11841,,
8/5/2014 00:00,11057,,
8/6/2014 00:00,11910,,
8/7/2014 00:00,11334,,
8/8/2014 00:00,11642,,
8/9/2014 00:00,12668,,
8/10/2014 00:00,11873,,
8/11/2014 00:00,12015,,
8/12/2014 00:00,11487,,
8/13/2014 00:00,10643,,
8/14/2014 00:00,10864,,
8/15/2014 00:00,11318,,
8/16/2014 00:00,12519,,
8/17/2014 00:00,11338,,
8/18/2014 00:00,11313,,
8/19/2014 00:00,10888,,
8/20/2014 00:00,10613,,
8/21/2014 00:00,10705,,
8/22/2014 00:00,11423,,
8/23/2014 00:00,12318,,
8/24/2014 00:00,11160,,
8/25/2014 00:00,10746,,
8/26/2014 00:00,10481,,
8/27/2014 00:00,10013,,
8/28/2014 00:00,10332,,
