DateTime,Players,Flags,Twitch Viewers
9/20/2010 00:00,18411,,
9/21/2010 00:00,39886,,
9/22/2010 00:00,38495,,
9/23/2010 00:00,53585,,
9/24/2010 00:00,68809,,
9/25/2010 00:00,70096,,
9/26/2010 00:00,69844,,
9/27/2010 00:00,51407,,
9/28/2010 00:00,48373,,
9/29/2010 00:00,44228,,
9/30/2010 00:00,43756,,
10/1/2010 00:00,54818,,
10/2/2010 00:00,56887,,
10/3/2010 00:00,55895,,
10/4/2010 00:00,40366,,
10/5/2010 00:00,36577,,
10/6/2010 00:00,35942,,
10/7/2010 00:00,34820,,
10/8/2010 00:00,45322,,
10/9/2010 00:00,47748,,
10/10/2010 00:00,46207,,
10/11/2010 00:00,38106,,
10/12/2010 00:00,30828,,
10/13/2010 00:00,28748,,
10/14/2010 00:00,29148,,
10/15/2010 00:00,38921,,
10/16/2010 00:00,40918,,
10/17/2010 00:00,39594,,
10/18/2010 00:00,28828,,
10/19/2010 00:00,26200,,
10/20/2010 00:00,25081,,
10/21/2010 00:00,27695,,
10/22/2010 00:00,35893,,
10/23/2010 00:00,38311,,
10/24/2010 00:00,36737,,
10/25/2010 00:00,26780,,
10/26/2010 00:00,26721,,
10/27/2010 00:00,24471,,
10/28/2010 00:00,25330,,
10/29/2010 00:00,26473,,
10/30/2010 00:00,35300,,
10/31/2010 00:00,34543,,
11/1/2010 00:00,26627,,
11/2/2010 00:00,24490,,
11/3/2010 00:00,23360,,
11/4/2010 00:00,23490,,
11/5/2010 00:00,31625,,
11/6/2010 00:00,32529,,
11/7/2010 00:00,32427,,
11/8/2010 00:00,22706,,
11/9/2010 00:00,20813,,
11/10/2010 00:00,22350,,
11/11/2010 00:00,22582,,
11/12/2010 00:00,27551,,
11/13/2010 00:00,29154,,
11/14/2010 00:00,29196,,
11/15/2010 00:00,20541,,
11/16/2010 00:00,19500,,
11/17/2010 00:00,18165,,
11/18/2010 00:00,18804,,
11/19/2010 00:00,25293,,
11/20/2010 00:00,27359,,
11/21/2010 00:00,27031,,
11/22/2010 00:00,19433,,
11/23/2010 00:00,19368,,
11/24/2010 00:00,21282,,
11/25/2010 00:00,22557,,
11/26/2010 00:00,24857,,
11/27/2010 00:00,26119,,
11/28/2010 00:00,26252,,
11/29/2010 00:00,17793,,
11/30/2010 00:00,17257,,
12/1/2010 00:00,17340,,
12/2/2010 00:00,17531,,
12/3/2010 00:00,24785,,
12/4/2010 00:00,26591,,
12/5/2010 00:00,26705,,
12/6/2010 00:00,18307,,
12/7/2010 00:00,17008,,
12/8/2010 00:00,16695,,
12/9/2010 00:00,16351,,
12/10/2010 00:00,23250,,
12/11/2010 00:00,25348,,
12/12/2010 00:00,25416,,
12/13/2010 00:00,17851,,
12/14/2010 00:00,16716,,
12/15/2010 00:00,17214,,
12/16/2010 00:00,19283,,
12/17/2010 00:00,26698,,
12/18/2010 00:00,28371,,
12/19/2010 00:00,28581,,
12/20/2010 00:00,22111,,
12/21/2010 00:00,20771,,
12/22/2010 00:00,20983,,
12/23/2010 00:00,21779,,
12/24/2010 00:00,27764,,
12/25/2010 00:00,33019,,
12/26/2010 00:00,33705,,
12/27/2010 00:00,32134,,
12/28/2010 00:00,30472,,
12/29/2010 00:00,29660,,
12/30/2010 00:00,29297,,
12/31/2010 00:00,33255,,
1/1/2011 00:00,34773,,
1/2/2011 00:00,33303,,
1/3/2011 00:00,26575,,
1/4/2011 00:00,23424,,
1/5/2011 00:00,22836,,
1/6/2011 00:00,22327,,
1/7/2011 00:00,30401,,
1/8/2011 00:00,31888,,
1/9/2011 00:00,32290,,
1/10/2011 00:00,22299,,
1/11/2011 00:00,21147,,
1/12/2011 00:00,20824,,
1/13/2011 00:00,19507,,
1/14/2011 00:00,27910,,
1/15/2011 00:00,29916,,
1/16/2011 00:00,30223,,
1/17/2011 00:00,23813,,
1/18/2011 00:00,19800,,
1/19/2011 00:00,18736,,
1/20/2011 00:00,19936,,
1/21/2011 00:00,27198,,
1/22/2011 00:00,29624,,
1/23/2011 00:00,28945,,
1/24/2011 00:00,19125,,
1/25/2011 00:00,18095,,
1/26/2011 00:00,18212,,
1/27/2011 00:00,18106,,
1/28/2011 00:00,25741,,
1/29/2011 00:00,28265,,
1/30/2011 00:00,28457,,
1/31/2011 00:00,18970,,
2/1/2011 00:00,19794,,
2/2/2011 00:00,20129,,
2/3/2011 00:00,18596,,
2/4/2011 00:00,25566,,
2/5/2011 00:00,27322,,
2/6/2011 00:00,27314,,
2/7/2011 00:00,18473,,
2/8/2011 00:00,17773,,
2/9/2011 00:00,16654,,
2/10/2011 00:00,16899,,
2/11/2011 00:00,24286,,
2/12/2011 00:00,26499,,
2/13/2011 00:00,26342,,
2/14/2011 00:00,17256,,
2/15/2011 00:00,17047,,
2/16/2011 00:00,16430,,
2/17/2011 00:00,18254,,
2/18/2011 00:00,26258,,
2/19/2011 00:00,29750,,
2/20/2011 00:00,29840,,
2/21/2011 00:00,24719,,
2/22/2011 00:00,19210,,
2/23/2011 00:00,17501,,
2/24/2011 00:00,17797,,
2/25/2011 00:00,24614,,
2/26/2011 00:00,26696,,
2/27/2011 00:00,26850,,
2/28/2011 00:00,17529,,
3/1/2011 00:00,16327,,
3/2/2011 00:00,17979,,
3/3/2011 00:00,19055,,
3/4/2011 00:00,27161,,
3/5/2011 00:00,29485,,
3/6/2011 00:00,29618,,
