DateTime,Players,Flags,Twitch Viewers
9/22/2011 00:00,194,,
9/23/2011 00:00,240,,
9/24/2011 00:00,,,
9/25/2011 00:00,233,,
9/26/2011 00:00,222,,
9/27/2011 00:00,303,,
9/28/2011 00:00,312,,
9/29/2011 00:00,299,,
9/30/2011 00:00,,,
10/1/2011 00:00,,,
10/2/2011 00:00,376,,
10/3/2011 00:00,344,,
10/4/2011 00:00,389,,
10/5/2011 00:00,466,,
10/6/2011 00:00,439,,
10/7/2011 00:00,479,,
10/8/2011 00:00,442,,
10/9/2011 00:00,530,,
10/10/2011 00:00,504,,
10/11/2011 00:00,490,,
10/12/2011 00:00,457,,
10/13/2011 00:00,450,,
10/14/2011 00:00,465,,
10/15/2011 00:00,500,,
10/16/2011 00:00,587,,
10/17/2011 00:00,544,,
10/18/2011 00:00,470,,
10/19/2011 00:00,506,,
10/20/2011 00:00,506,,
10/21/2011 00:00,474,,
10/22/2011 00:00,331,,
10/23/2011 00:00,483,,
10/24/2011 00:00,483,,
10/25/2011 00:00,508,,
10/26/2011 00:00,474,,
10/27/2011 00:00,580,,
10/28/2011 00:00,542,,
10/29/2011 00:00,562,,
10/30/2011 00:00,468,,
10/31/2011 00:00,522,,
11/1/2011 00:00,512,,
11/2/2011 00:00,931,,
11/3/2011 00:00,915,,
11/4/2011 00:00,1002,,
11/5/2011 00:00,1112,,
11/6/2011 00:00,1089,,
11/7/2011 00:00,912,,
11/8/2011 00:00,1353,,
11/9/2011 00:00,2190,,
11/10/2011 00:00,2396,,
11/11/2011 00:00,2822,,
11/12/2011 00:00,2787,,
11/13/2011 00:00,2921,,
11/14/2011 00:00,3131,,
11/15/2011 00:00,3182,,
11/16/2011 00:00,3769,,
11/17/2011 00:00,5463,,
11/18/2011 00:00,7353,,
11/19/2011 00:00,7504,,
11/20/2011 00:00,7443,,
11/21/2011 00:00,6702,,
11/22/2011 00:00,7624,,
11/23/2011 00:00,8324,,
11/24/2011 00:00,8342,,
11/25/2011 00:00,8342,,
11/26/2011 00:00,11701,,
11/27/2011 00:00,10915,,
11/28/2011 00:00,9247,,
11/29/2011 00:00,9733,,
11/30/2011 00:00,12385,,
12/1/2011 00:00,12211,,
12/2/2011 00:00,16862,,
12/3/2011 00:00,16827,,
12/4/2011 00:00,16661,,
12/5/2011 00:00,15360,,
12/6/2011 00:00,15360,,
12/7/2011 00:00,18026,,
12/8/2011 00:00,19107,,
12/9/2011 00:00,19650,,
12/10/2011 00:00,20156,,
12/11/2011 00:00,19998,,
12/12/2011 00:00,19730,,
12/13/2011 00:00,18776,,
12/14/2011 00:00,17219,,
12/15/2011 00:00,16494,,
12/16/2011 00:00,17269,,
12/17/2011 00:00,17830,,
12/18/2011 00:00,17254,,
12/19/2011 00:00,16634,,
12/20/2011 00:00,15581,,
12/21/2011 00:00,17513,,
12/22/2011 00:00,17388,,
12/23/2011 00:00,16227,,
12/24/2011 00:00,15041,,
12/25/2011 00:00,16424,,
12/26/2011 00:00,16485,,
12/27/2011 00:00,16214,,
12/28/2011 00:00,15182,,
12/29/2011 00:00,16695,,
12/30/2011 00:00,16709,,
12/31/2011 00:00,14058,,
1/1/2012 00:00,17889,,
1/2/2012 00:00,17976,,
1/3/2012 00:00,17148,,
1/4/2012 00:00,17226,,
1/5/2012 00:00,17385,,
1/6/2012 00:00,17404,,
1/7/2012 00:00,18379,,
1/8/2012 00:00,18365,,
1/9/2012 00:00,17113,,
1/10/2012 00:00,17006,,
1/11/2012 00:00,16451,,
1/12/2012 00:00,19558,,
1/13/2012 00:00,21221,,
1/14/2012 00:00,21194,,
1/15/2012 00:00,20633,,
1/16/2012 00:00,19621,,
1/17/2012 00:00,18764,,
1/18/2012 00:00,18764,,
1/19/2012 00:00,18764,,
1/20/2012 00:00,18764,,
1/21/2012 00:00,18764,,
1/22/2012 00:00,18764,,
1/23/2012 00:00,19170,,
1/24/2012 00:00,18926,,
1/25/2012 00:00,18999,,
1/26/2012 00:00,21080,,
1/27/2012 00:00,23112,,
1/28/2012 00:00,23539,,
1/29/2012 00:00,23022,,
1/30/2012 00:00,21220,,
1/31/2012 00:00,20421,,
2/1/2012 00:00,20784,,
2/2/2012 00:00,20601,,
2/3/2012 00:00,24123,,
2/4/2012 00:00,24765,,
2/5/2012 00:00,24341,,
2/6/2012 00:00,20716,,
2/7/2012 00:00,21282,,
2/8/2012 00:00,20790,,
2/9/2012 00:00,21224,,
2/10/2012 00:00,23509,,
2/11/2012 00:00,23587,,
2/12/2012 00:00,21358,,
2/13/2012 00:00,21378,,
2/14/2012 00:00,10515,,
2/15/2012 00:00,22142,,
2/16/2012 00:00,23965,,
2/17/2012 00:00,25875,,
2/18/2012 00:00,26129,,
2/19/2012 00:00,25313,,
2/20/2012 00:00,24898,,
2/21/2012 00:00,23934,,
2/22/2012 00:00,23196,,
2/23/2012 00:00,23331,,
2/24/2012 00:00,24787,,
2/25/2012 00:00,25703,,
2/26/2012 00:00,25956,,
2/27/2012 00:00,23389,,
2/28/2012 00:00,23090,,
2/29/2012 00:00,21986,,
3/1/2012 00:00,23921,,
3/2/2012 00:00,27976,,
3/3/2012 00:00,27962,,
3/4/2012 00:00,24636,,
3/5/2012 00:00,24488,,
3/6/2012 00:00,26116,,
3/7/2012 00:00,26014,,
3/8/2012 00:00,26343,,
3/9/2012 00:00,28451,,
3/10/2012 00:00,30030,,
3/11/2012 00:00,30095,,
3/12/2012 00:00,26781,,
3/13/2012 00:00,25122,,
3/14/2012 00:00,27043,,
3/15/2012 00:00,28397,,
3/16/2012 00:00,31583,,
3/17/2012 00:00,32405,,
3/18/2012 00:00,31417,,
3/19/2012 00:00,27437,,
3/20/2012 00:00,27422,,
3/21/2012 00:00,27558,,
3/22/2012 00:00,31865,,
3/23/2012 00:00,36133,,
3/24/2012 00:00,38596,,
3/25/2012 00:00,36933,,
3/26/2012 00:00,34441,,
3/27/2012 00:00,33528,,
3/28/2012 00:00,36163,,
3/29/2012 00:00,37128,,
3/30/2012 00:00,39910,,
3/31/2012 00:00,40661,,
4/1/2012 00:00,39847,,
4/2/2012 00:00,35849,,
4/3/2012 00:00,33762,,
4/4/2012 00:00,34628,,
4/5/2012 00:00,38702,,
4/6/2012 00:00,37997,,
4/7/2012 00:00,37414,,
4/8/2012 00:00,35948,,
4/9/2012 00:00,34111,,
4/10/2012 00:00,34086,,
4/11/2012 00:00,36582,,
4/12/2012 00:00,38184,,
4/13/2012 00:00,47205,,
4/14/2012 00:00,44638,,
4/15/2012 00:00,42522,,
4/16/2012 00:00,38866,,
4/17/2012 00:00,40906,,
4/18/2012 00:00,44056,,
4/19/2012 00:00,50109,,
4/20/2012 00:00,53426,,
4/21/2012 00:00,53303,,
4/22/2012 00:00,48604,,
4/23/2012 00:00,47750,,
4/24/2012 00:00,45989,,
4/25/2012 00:00,43659,,
4/26/2012 00:00,47117,,
4/27/2012 00:00,50368,,
4/28/2012 00:00,50846,,
4/29/2012 00:00,47405,,
4/30/2012 00:00,48329,,
5/1/2012 00:00,44391,,
5/2/2012 00:00,43930,,
5/3/2012 00:00,49005,,
5/4/2012 00:00,53039,,
5/5/2012 00:00,51878,,
5/6/2012 00:00,49171,,
5/7/2012 00:00,46270,,
5/8/2012 00:00,44412,,
5/9/2012 00:00,44074,,
5/10/2012 00:00,47828,,
5/11/2012 00:00,51321,,
5/12/2012 00:00,49382,,
5/13/2012 00:00,46077,,
5/14/2012 00:00,39273,,
5/15/2012 00:00,35758,,
5/16/2012 00:00,37289,,
5/17/2012 00:00,39921,,
5/18/2012 00:00,40719,,
5/19/2012 00:00,43504,,
5/20/2012 00:00,37125,,
5/21/2012 00:00,37744,,
5/22/2012 00:00,37725,,
5/23/2012 00:00,38456,,
5/24/2012 00:00,41958,,
5/25/2012 00:00,43822,,
5/26/2012 00:00,43950,,
5/27/2012 00:00,41905,,
5/28/2012 00:00,42415,,
5/29/2012 00:00,42576,,
5/30/2012 00:00,41547,,
5/31/2012 00:00,54098,,
6/1/2012 00:00,55519,,
6/2/2012 00:00,57901,,
6/3/2012 00:00,52426,,
6/4/2012 00:00,51161,,
6/5/2012 00:00,53217,,
6/6/2012 00:00,52856,,
6/7/2012 00:00,51574,,
6/8/2012 00:00,54040,,
6/9/2012 00:00,54436,,
6/10/2012 00:00,50965,,
6/11/2012 00:00,57093,,
6/12/2012 00:00,52085,,
6/13/2012 00:00,52847,,
6/14/2012 00:00,52847,,
6/15/2012 00:00,55173,,
6/16/2012 00:00,54638,,
6/17/2012 00:00,50802,,
6/18/2012 00:00,53139,,
6/19/2012 00:00,53443,,
6/20/2012 00:00,52659,,
6/21/2012 00:00,54787,,
6/22/2012 00:00,58113,,
6/23/2012 00:00,59926,,
6/24/2012 00:00,56954,,
6/25/2012 00:00,56683,,
6/26/2012 00:00,57238,,
6/27/2012 00:00,57286,,
6/28/2012 00:00,60217,,
6/29/2012 00:00,62084,,
6/30/2012 00:00,65425,,
7/1/2012 00:00,75041,,
7/2/2012 00:00,60228,,
7/3/2012 00:00,59497,,
7/4/2012 00:00,60026,,
7/5/2012 00:00,62443,,
7/6/2012 00:00,63809,,
7/7/2012 00:00,64205,,
7/8/2012 00:00,63422,,
7/9/2012 00:00,60932,,
7/10/2012 00:00,59984,,
7/11/2012 00:00,62252,,
7/12/2012 00:00,63871,,
7/13/2012 00:00,67993,,
7/14/2012 00:00,71015,,
7/15/2012 00:00,67098,,
7/16/2012 00:00,68630,,
7/17/2012 00:00,66545,,
7/18/2012 00:00,67216,,
7/19/2012 00:00,66061,,
7/20/2012 00:00,70753,,
7/21/2012 00:00,72372,,
7/22/2012 00:00,69750,,
7/23/2012 00:00,68914,,
7/24/2012 00:00,66929,,
7/25/2012 00:00,67416,,
7/26/2012 00:00,73650,,
7/27/2012 00:00,74310,,
7/28/2012 00:00,75355,,
7/29/2012 00:00,72723,,
7/30/2012 00:00,72386,,
7/31/2012 00:00,69243,,
8/1/2012 00:00,108689,,
8/2/2012 00:00,72073,,
8/3/2012 00:00,74376,,
8/4/2012 00:00,76025,,
8/5/2012 00:00,72061,,
8/6/2012 00:00,71082,,
8/7/2012 00:00,71463,,
8/8/2012 00:00,70657,,
8/9/2012 00:00,70398,,
8/10/2012 00:00,75505,,
8/11/2012 00:00,75726,,
8/12/2012 00:00,71559,,
8/13/2012 00:00,70019,,
8/14/2012 00:00,69520,,
8/15/2012 00:00,69927,,
8/16/2012 00:00,70338,,
8/17/2012 00:00,73551,,
8/18/2012 00:00,78599,,
8/19/2012 00:00,74711,,
8/20/2012 00:00,69926,,
8/21/2012 00:00,71310,,
8/22/2012 00:00,73540,,
8/23/2012 00:00,73043,,
8/24/2012 00:00,73583,,
8/25/2012 00:00,108472,,
8/26/2012 00:00,105839,,
8/27/2012 00:00,105167,,
8/28/2012 00:00,80479,,
8/29/2012 00:00,77752,,
8/30/2012 00:00,111804,,
8/31/2012 00:00,108557,,
9/1/2012 00:00,118901,,
9/2/2012 00:00,118479,,
9/3/2012 00:00,83298,,
9/4/2012 00:00,80584,,
9/5/2012 00:00,81657,,
9/6/2012 00:00,70409,,
9/7/2012 00:00,70409,,
9/8/2012 00:00,70409,,
9/9/2012 00:00,80110,,
9/10/2012 00:00,80574,,
9/11/2012 00:00,80452,,
9/12/2012 00:00,81733,,
9/13/2012 00:00,81592,,
9/14/2012 00:00,90409,,
9/15/2012 00:00,91719,,
9/16/2012 00:00,79965,,
9/17/2012 00:00,82755,,
9/18/2012 00:00,79405,,
9/19/2012 00:00,81340,,
9/20/2012 00:00,84664,,
9/21/2012 00:00,97697,,
9/22/2012 00:00,97784,,
9/23/2012 00:00,87176,,
9/24/2012 00:00,81954,,
9/25/2012 00:00,84298,,
9/26/2012 00:00,83483,,
9/27/2012 00:00,88965,,
9/28/2012 00:00,99129,,
9/29/2012 00:00,102129,,
9/30/2012 00:00,89750,,
10/1/2012 00:00,171860,,
10/2/2012 00:00,89614,,
10/3/2012 00:00,97314,,
10/4/2012 00:00,110976,,
10/5/2012 00:00,116386,,
10/6/2012 00:00,112941,,
10/7/2012 00:00,106831,,
10/8/2012 00:00,101962,,
10/9/2012 00:00,99846,,
10/10/2012 00:00,100426,,
10/11/2012 00:00,105059,,
10/12/2012 00:00,112481,,
10/13/2012 00:00,110661,,
10/14/2012 00:00,99318,,
10/15/2012 00:00,99647,,
10/16/2012 00:00,96812,,
10/17/2012 00:00,97340,,
10/18/2012 00:00,97340,,
10/19/2012 00:00,97340,,
10/20/2012 00:00,127958,,
10/21/2012 00:00,121831,,
10/22/2012 00:00,134845,,
10/23/2012 00:00,121309,,
10/24/2012 00:00,131905,,
10/25/2012 00:00,133295,,
10/26/2012 00:00,145041,,
10/27/2012 00:00,147013,,
10/28/2012 00:00,133301,,
10/29/2012 00:00,133498,,
10/30/2012 00:00,171931,,
10/31/2012 00:00,166805,,
11/1/2012 00:00,169631,,
11/2/2012 00:00,158228,,
11/3/2012 00:00,154925,,
11/4/2012 00:00,142382,,
11/5/2012 00:00,135504,,
11/6/2012 00:00,138398,,
11/7/2012 00:00,140618,,
11/8/2012 00:00,146990,,
11/9/2012 00:00,163993,,
11/10/2012 00:00,164331,,
11/11/2012 00:00,149020,,
11/12/2012 00:00,140023,,
11/13/2012 00:00,138005,,
11/14/2012 00:00,141691,,
11/15/2012 00:00,148705,,
11/16/2012 00:00,159020,,
11/17/2012 00:00,156169,,
11/18/2012 00:00,137382,,
11/19/2012 00:00,137902,,
11/20/2012 00:00,139073,,
11/21/2012 00:00,147056,,
11/22/2012 00:00,155884,,
11/23/2012 00:00,170248,,
11/24/2012 00:00,166166,,
11/25/2012 00:00,147390,,
11/26/2012 00:00,148120,,
11/27/2012 00:00,151154,,
11/28/2012 00:00,153963,,
11/29/2012 00:00,153010,,
11/30/2012 00:00,170847,,
12/1/2012 00:00,213521,,
12/2/2012 00:00,152503,,
12/3/2012 00:00,153770,,
12/4/2012 00:00,152190,,
12/5/2012 00:00,154020,,
12/6/2012 00:00,163280,,
12/7/2012 00:00,180544,,
12/8/2012 00:00,180298,,
12/9/2012 00:00,164689,,
12/10/2012 00:00,168620,,
12/11/2012 00:00,166710,,
12/12/2012 00:00,171101,,
12/13/2012 00:00,185975,,
12/14/2012 00:00,201442,,
12/15/2012 00:00,203484,,
12/16/2012 00:00,188619,,
12/17/2012 00:00,187555,,
12/18/2012 00:00,186837,,
12/19/2012 00:00,215557,,
12/20/2012 00:00,202605,,
12/21/2012 00:00,208194,,
12/22/2012 00:00,204246,,
12/23/2012 00:00,184129,,
12/24/2012 00:00,178981,,
12/25/2012 00:00,184889,,
12/26/2012 00:00,188263,,
12/27/2012 00:00,190168,,
12/28/2012 00:00,194478,,
12/29/2012 00:00,193507,,
12/30/2012 00:00,183476,,
12/31/2012 00:00,179569,,
1/1/2013 00:00,260989,,
1/2/2013 00:00,191548,,
1/3/2013 00:00,195662,,
1/4/2013 00:00,206468,,
1/5/2013 00:00,207823,,
1/6/2013 00:00,200878,,
1/7/2013 00:00,197441,,
1/8/2013 00:00,195051,,
1/9/2013 00:00,199860,,
1/10/2013 00:00,213862,,
1/11/2013 00:00,234693,,
1/12/2013 00:00,223423,,
1/13/2013 00:00,204455,,
1/14/2013 00:00,205046,,
1/15/2013 00:00,206108,,
1/16/2013 00:00,209216,,
1/17/2013 00:00,224598,,
1/18/2013 00:00,249092,,
1/19/2013 00:00,243759,,
1/20/2013 00:00,227237,,
1/21/2013 00:00,224170,,
1/22/2013 00:00,228490,,
1/23/2013 00:00,230012,,
1/24/2013 00:00,243819,,
1/25/2013 00:00,261921,,
1/26/2013 00:00,258661,,
1/27/2013 00:00,237414,,
1/28/2013 00:00,236552,,
1/29/2013 00:00,233726,,
1/30/2013 00:00,238047,,
1/31/2013 00:00,217567,,
2/1/2013 00:00,283870,,
2/2/2013 00:00,261182,,
2/3/2013 00:00,236051,,
2/4/2013 00:00,234582,,
2/5/2013 00:00,235657,,
2/6/2013 00:00,238126,,
2/7/2013 00:00,254630,,
2/8/2013 00:00,273953,,
2/9/2013 00:00,273967,,
2/10/2013 00:00,255378,,
2/11/2013 00:00,253257,,
2/12/2013 00:00,250883,,
2/13/2013 00:00,237422,,
2/14/2013 00:00,259980,,
2/15/2013 00:00,284234,,
2/16/2013 00:00,281180,,
2/17/2013 00:00,256970,,
2/18/2013 00:00,252643,,
2/19/2013 00:00,253259,,
2/20/2013 00:00,255376,,
2/21/2013 00:00,266857,,
2/22/2013 00:00,274436,,
2/23/2013 00:00,283477,,
2/24/2013 00:00,250751,,
2/25/2013 00:00,253759,,
2/26/2013 00:00,248683,,
2/27/2013 00:00,252186,,
2/28/2013 00:00,269649,,
3/1/2013 00:00,325598,,
3/2/2013 00:00,289711,,
3/3/2013 00:00,256668,,
3/4/2013 00:00,257875,,
3/5/2013 00:00,257117,,
3/6/2013 00:00,265725,,
3/7/2013 00:00,266333,,
3/8/2013 00:00,303068,,
3/9/2013 00:00,325897,,
3/10/2013 00:00,267082,,
3/11/2013 00:00,263995,,
3/12/2013 00:00,260335,,
3/13/2013 00:00,262759,,
3/14/2013 00:00,279310,,
3/15/2013 00:00,297313,,
3/16/2013 00:00,293090,,
3/17/2013 00:00,261736,,
3/18/2013 00:00,263445,,
3/19/2013 00:00,263566,,
3/20/2013 00:00,270405,,
3/21/2013 00:00,281979,,
3/22/2013 00:00,303083,,
3/23/2013 00:00,311078,,
3/24/2013 00:00,281143,,
3/25/2013 00:00,272025,,
3/26/2013 00:00,274017,,
3/27/2013 00:00,282141,,
3/28/2013 00:00,299627,,
3/29/2013 00:00,301486,,
3/30/2013 00:00,293265,,
3/31/2013 00:00,274605,,
4/1/2013 00:00,299667,,
4/2/2013 00:00,271429,,
4/3/2013 00:00,267248,,
4/4/2013 00:00,285748,,
4/5/2013 00:00,297580,,
4/6/2013 00:00,300414,,
4/7/2013 00:00,273058,,
4/8/2013 00:00,270882,,
4/9/2013 00:00,269293,,
4/10/2013 00:00,269683,,
4/11/2013 00:00,282225,,
4/12/2013 00:00,297510,,
4/13/2013 00:00,292130,,
4/14/2013 00:00,261387,,
4/15/2013 00:00,262444,,
4/16/2013 00:00,259406,,
4/17/2013 00:00,260680,,
4/18/2013 00:00,270114,,
4/19/2013 00:00,285389,,
4/20/2013 00:00,286189,,
4/21/2013 00:00,267804,,
4/22/2013 00:00,267223,,
4/23/2013 00:00,264998,,
4/24/2013 00:00,261898,,
4/25/2013 00:00,269414,,
4/26/2013 00:00,286214,,
4/27/2013 00:00,292781,,
4/28/2013 00:00,266221,,
4/29/2013 00:00,275774,,
4/30/2013 00:00,261609,,
5/1/2013 00:00,325815,,
5/2/2013 00:00,272184,,
5/3/2013 00:00,292144,,
5/4/2013 00:00,280686,,
5/5/2013 00:00,259738,,
5/6/2013 00:00,256628,,
5/7/2013 00:00,262217,,
5/8/2013 00:00,252705,,
5/9/2013 00:00,269240,,
5/10/2013 00:00,298705,,
5/11/2013 00:00,295032,,
5/12/2013 00:00,302958,,
5/13/2013 00:00,304621,,
5/14/2013 00:00,306467,,
5/15/2013 00:00,302926,,
5/16/2013 00:00,318890,,
5/17/2013 00:00,329977,,
5/18/2013 00:00,328713,,
5/19/2013 00:00,312562,,
5/20/2013 00:00,307248,,
5/21/2013 00:00,304716,,
5/22/2013 00:00,324498,,
5/23/2013 00:00,303529,,
