DateTime,Players,Flags,Twitch Viewers
10/16/2019 00:00,,,3
10/17/2019 00:00,,,0
10/18/2019 00:00,,,0
10/19/2019 00:00,,,0
10/20/2019 00:00,,,0
10/21/2019 00:00,,,4221
10/22/2019 00:00,,,3
10/23/2019 00:00,,,226
10/24/2019 00:00,,,47
10/25/2019 00:00,,,4
10/26/2019 00:00,,,3
10/27/2019 00:00,,,4
10/28/2019 00:00,,,0
10/29/2019 00:00,,,3
10/30/2019 00:00,,,5
10/31/2019 00:00,16451,,3196
11/1/2019 00:00,22678,,2443
11/2/2019 00:00,24116,,2896
11/3/2019 00:00,28280,,1732
11/4/2019 00:00,28582,,3691
11/5/2019 00:00,27685,,2187
11/6/2019 00:00,28152,,3136
11/7/2019 00:00,28389,,2028
11/8/2019 00:00,27692,,1938
11/9/2019 00:00,30413,,1425
11/10/2019 00:00,31589,,1207
11/11/2019 00:00,31886,,3131
11/12/2019 00:00,31219,,2133
11/13/2019 00:00,30367,,1839
11/14/2019 00:00,30571,,4463
11/15/2019 00:00,29485,,1370
11/16/2019 00:00,32743,,1301
11/17/2019 00:00,35957,,1252
11/18/2019 00:00,36127,,4979
11/19/2019 00:00,55685,,4270
11/20/2019 00:00,58988,,23781
11/21/2019 00:00,59401,,2183
11/22/2019 00:00,57460,,2476
11/23/2019 00:00,62135,,21013
11/24/2019 00:00,68400,,24481
11/25/2019 00:00,65409,,10414
11/26/2019 00:00,61769,,22624
11/27/2019 00:00,60739,,21906
11/28/2019 00:00,60206,,22722
11/29/2019 00:00,57139,,21794
11/30/2019 00:00,61859,,3601
12/1/2019 00:00,67346,,23061
12/2/2019 00:00,64848,,19038
12/3/2019 00:00,62974,,4710
12/4/2019 00:00,60270,,2049
12/5/2019 00:00,60308,,5229
12/6/2019 00:00,56826,,3337
12/7/2019 00:00,61452,,3305
12/8/2019 00:00,67299,,4050
12/9/2019 00:00,63823,,2490
12/10/2019 00:00,62345,,2849
12/11/2019 00:00,60803,,2527
12/12/2019 00:00,59202,,2290
12/13/2019 00:00,56257,,1680
12/14/2019 00:00,61793,,2293
12/15/2019 00:00,66119,,2367
12/16/2019 00:00,64329,,2322
12/17/2019 00:00,62760,,4015
12/18/2019 00:00,58053,,1354
12/19/2019 00:00,57426,,2977
12/20/2019 00:00,54069,,4420
12/21/2019 00:00,60407,,1158
12/22/2019 00:00,65384,,6369
12/23/2019 00:00,62316,,4071
12/24/2019 00:00,57303,,1890
12/25/2019 00:00,56760,,1051
12/26/2019 00:00,63555,,6209
12/27/2019 00:00,68588,,4655
12/28/2019 00:00,71660,,1805
12/29/2019 00:00,74704,,6488
12/30/2019 00:00,75170,,2479
12/31/2019 00:00,67443,,2240
1/1/2020 00:00,73362,,3876
1/2/2020 00:00,76242,,2432
1/3/2020 00:00,74738,,3034
1/4/2020 00:00,75121,,2943
1/5/2020 00:00,77827,,2064
1/6/2020 00:00,71589,,2539
1/7/2020 00:00,70204,,2181
1/8/2020 00:00,70250,,2684
1/9/2020 00:00,68904,,2267
1/10/2020 00:00,66229,,1679
1/11/2020 00:00,70883,,1908
1/12/2020 00:00,77041,,3265
1/13/2020 00:00,71784,,3643
1/14/2020 00:00,69681,,2291
1/15/2020 00:00,67754,,3500
