DateTime,Players,Flags,Twitch Viewers
8/14/2017 00:00,2,,
8/15/2017 00:00,2,,
8/16/2017 00:00,3,,
8/17/2017 00:00,2,,
8/18/2017 00:00,2,,
8/19/2017 00:00,,,
8/20/2017 00:00,,,
8/21/2017 00:00,2,,
8/22/2017 00:00,3,,
8/23/2017 00:00,2,,
8/24/2017 00:00,2,,
8/25/2017 00:00,3,,
8/26/2017 00:00,,,
8/27/2017 00:00,,,
8/28/2017 00:00,2,,
8/29/2017 00:00,2,,
8/30/2017 00:00,2,,
8/31/2017 00:00,2,,
9/1/2017 00:00,2,,
9/2/2017 00:00,,,
9/3/2017 00:00,,,
9/4/2017 00:00,3,,
9/5/2017 00:00,1,,
9/6/2017 00:00,1,,10
9/7/2017 00:00,3,,8
9/8/2017 00:00,3,,4
9/9/2017 00:00,,,3
9/10/2017 00:00,,,11
9/11/2017 00:00,2,,44
9/12/2017 00:00,2,,2
9/13/2017 00:00,1,,1
9/14/2017 00:00,1,,3
9/15/2017 00:00,3,,1
9/16/2017 00:00,3,,3
9/17/2017 00:00,,,1
9/18/2017 00:00,2,,0
9/19/2017 00:00,,,1
9/20/2017 00:00,3,,1
9/21/2017 00:00,1,,4
9/22/2017 00:00,3,,3
9/23/2017 00:00,,,3
9/24/2017 00:00,,,3
9/25/2017 00:00,1,,4
9/26/2017 00:00,1,,0
9/27/2017 00:00,1,,0
9/28/2017 00:00,2,,0
9/29/2017 00:00,2,,0
9/30/2017 00:00,,,0
10/1/2017 00:00,,,93
10/2/2017 00:00,2,,2
10/3/2017 00:00,3,,7
10/4/2017 00:00,2,,0
10/5/2017 00:00,,,0
10/6/2017 00:00,1,,14
10/7/2017 00:00,,,6
10/8/2017 00:00,,,10
10/9/2017 00:00,1,,4
10/10/2017 00:00,1,,0
10/11/2017 00:00,1,,2
10/12/2017 00:00,1,,0
10/13/2017 00:00,2,,4
10/14/2017 00:00,,,0
10/15/2017 00:00,,,10
10/16/2017 00:00,2,,3
10/17/2017 00:00,2,,2
10/18/2017 00:00,1,,14
10/19/2017 00:00,,,1
10/20/2017 00:00,,,34
10/21/2017 00:00,,,17
10/22/2017 00:00,,,9
10/23/2017 00:00,2,,13
10/24/2017 00:00,3,,0
10/25/2017 00:00,2,,6
10/26/2017 00:00,2,,7
10/27/2017 00:00,3,,3
10/28/2017 00:00,,,1
10/29/2017 00:00,,,4
10/30/2017 00:00,3,,0
10/31/2017 00:00,3,,0
11/1/2017 00:00,4,,4
11/2/2017 00:00,3,,3
11/3/2017 00:00,3,,5
11/4/2017 00:00,,,6
11/5/2017 00:00,,,2
11/6/2017 00:00,2,,4
11/7/2017 00:00,3,,4
11/8/2017 00:00,3,,0
11/9/2017 00:00,4,,2
11/10/2017 00:00,3,,12
11/11/2017 00:00,,,8
11/12/2017 00:00,,,9
11/13/2017 00:00,4,,4
11/14/2017 00:00,3,,10
11/15/2017 00:00,3,,1
11/16/2017 00:00,4,,23
11/17/2017 00:00,4,,5
11/18/2017 00:00,1,,3
11/19/2017 00:00,,,4
11/20/2017 00:00,2,,7
11/21/2017 00:00,3,,3
11/22/2017 00:00,1,,12
11/23/2017 00:00,3,,1
11/24/2017 00:00,1,,1
11/25/2017 00:00,,,23
11/26/2017 00:00,1,,1
11/27/2017 00:00,2,,0
11/28/2017 00:00,3,,1
11/29/2017 00:00,2,,7
11/30/2017 00:00,2,,4
12/1/2017 00:00,9,,0
12/2/2017 00:00,1,,2
12/3/2017 00:00,1,,8
12/4/2017 00:00,2,,1
12/5/2017 00:00,2,,1
12/6/2017 00:00,3,,1
12/7/2017 00:00,2,,3
12/8/2017 00:00,2,,3
12/9/2017 00:00,,,3
12/10/2017 00:00,,,2
12/11/2017 00:00,1,,1
12/12/2017 00:00,2,,0
12/13/2017 00:00,2,,6
12/14/2017 00:00,3,,5
12/15/2017 00:00,4,,1
12/16/2017 00:00,,,7
12/17/2017 00:00,,,18
12/18/2017 00:00,3,,18
12/19/2017 00:00,3,,1
12/20/2017 00:00,3,,2
12/21/2017 00:00,,,6
12/22/2017 00:00,3,,0
12/23/2017 00:00,,,1
12/24/2017 00:00,,,6
12/25/2017 00:00,,,1
12/26/2017 00:00,,,287
12/27/2017 00:00,2,,2
12/28/2017 00:00,2,,2
12/29/2017 00:00,,,2
12/30/2017 00:00,,,2
12/31/2017 00:00,,,1
1/1/2018 00:00,,,3
1/2/2018 00:00,2,,2
1/3/2018 00:00,2,,486
1/4/2018 00:00,3,,3
1/5/2018 00:00,3,,1
1/6/2018 00:00,,,2
1/7/2018 00:00,1,,8
1/8/2018 00:00,2,,11
1/9/2018 00:00,2,,9
1/10/2018 00:00,2,,17
1/11/2018 00:00,2,,9
1/12/2018 00:00,3,,3
1/13/2018 00:00,,,9
1/14/2018 00:00,,,2
1/15/2018 00:00,2,,2
1/16/2018 00:00,3,,3
1/17/2018 00:00,2,,808
1/18/2018 00:00,2,,2
1/19/2018 00:00,3,,101
1/20/2018 00:00,,,2
1/21/2018 00:00,,,4
1/22/2018 00:00,2,,32
1/23/2018 00:00,3,,1
1/24/2018 00:00,3,,3
1/25/2018 00:00,3,,10
1/26/2018 00:00,5,,2
1/27/2018 00:00,,,14
1/28/2018 00:00,,,210
1/29/2018 00:00,3,,0
1/30/2018 00:00,3,,17
1/31/2018 00:00,3,,3
2/1/2018 00:00,3,,88
2/2/2018 00:00,7,,5
2/3/2018 00:00,8,,2
2/4/2018 00:00,8,,55
2/5/2018 00:00,7,,0
2/6/2018 00:00,2,,1
2/7/2018 00:00,4,,2
2/8/2018 00:00,5,,5
2/9/2018 00:00,7,,9
2/10/2018 00:00,3,,7
2/11/2018 00:00,1,,20
2/12/2018 00:00,3,,3
2/13/2018 00:00,3,,3
2/14/2018 00:00,3,,4
2/15/2018 00:00,4,,2
2/16/2018 00:00,1,,1
2/17/2018 00:00,,,1
2/18/2018 00:00,4,,7
2/19/2018 00:00,3,,2
2/20/2018 00:00,4,,1
2/21/2018 00:00,3,,5
2/22/2018 00:00,3,,6
2/23/2018 00:00,2,,6
2/24/2018 00:00,,,15
2/25/2018 00:00,,,7
2/26/2018 00:00,1,,3
2/27/2018 00:00,2,,7
2/28/2018 00:00,2,,7
3/1/2018 00:00,1,,2
3/2/2018 00:00,2,,3
3/3/2018 00:00,,,3
3/4/2018 00:00,,,5
3/5/2018 00:00,2,,7
3/6/2018 00:00,2,,3
3/7/2018 00:00,2,,4
3/8/2018 00:00,2,,0
3/9/2018 00:00,,,0
3/10/2018 00:00,,,5
3/11/2018 00:00,,,3
3/12/2018 00:00,,,92
3/13/2018 00:00,2,,11
3/14/2018 00:00,2,,10
3/15/2018 00:00,3,,3
3/16/2018 00:00,2,,7
3/17/2018 00:00,2,,6
3/18/2018 00:00,1,,1
3/19/2018 00:00,2,,3
3/20/2018 00:00,3,,2
3/21/2018 00:00,2,,4
3/22/2018 00:00,2,,4
3/23/2018 00:00,3,,2
3/24/2018 00:00,1,,2
3/25/2018 00:00,1,,2
3/26/2018 00:00,1,,0
3/27/2018 00:00,2,,3
3/28/2018 00:00,2,,5
3/29/2018 00:00,,,0
3/30/2018 00:00,,,3
3/31/2018 00:00,,,0
4/1/2018 00:00,,,2
4/2/2018 00:00,,,6
4/3/2018 00:00,,,4
4/4/2018 00:00,,,5
4/5/2018 00:00,,,6
4/6/2018 00:00,,,0
4/7/2018 00:00,,,7
4/8/2018 00:00,,,6
4/9/2018 00:00,,,5
4/10/2018 00:00,,,10036
4/11/2018 00:00,,,248
4/12/2018 00:00,,,3
4/13/2018 00:00,,,2
4/14/2018 00:00,,,5
4/15/2018 00:00,,,1
4/16/2018 00:00,,,47
4/17/2018 00:00,,,16
4/18/2018 00:00,,,37
4/19/2018 00:00,,,5
4/20/2018 00:00,,,4
4/21/2018 00:00,,,27
4/22/2018 00:00,,,6
4/23/2018 00:00,,,3
4/24/2018 00:00,,,3
4/25/2018 00:00,,,0
4/26/2018 00:00,,,13
4/27/2018 00:00,,,3
4/28/2018 00:00,,,1
4/29/2018 00:00,,,8
4/30/2018 00:00,,,4
5/1/2018 00:00,,,6
5/2/2018 00:00,,,4
5/3/2018 00:00,,,1
5/4/2018 00:00,,,0
5/5/2018 00:00,,,2
5/6/2018 00:00,,,2
5/7/2018 00:00,,,2
5/8/2018 00:00,,,1
5/9/2018 00:00,,,2
5/10/2018 00:00,,,2
5/11/2018 00:00,,,9
5/12/2018 00:00,,,4
5/13/2018 00:00,,,5
5/14/2018 00:00,,,6
5/15/2018 00:00,,,4
5/16/2018 00:00,,,12
5/17/2018 00:00,,,15
5/18/2018 00:00,,,215
5/19/2018 00:00,,,1036
5/20/2018 00:00,,,815
5/21/2018 00:00,,,1619
5/22/2018 00:00,,,3677
5/23/2018 00:00,8260,,136585
5/24/2018 00:00,14117,,55879
5/25/2018 00:00,15531,,55950
5/26/2018 00:00,18371,,22817
5/27/2018 00:00,18929,,37115
