Country/Region,Province,Date,Type,Reference
Afghanistan,,3/24/20,Full,https://www.thestatesman.com/world/afghan-govt-imposes-lockdown-coronavirus-cases-increase-15-1502870945.html
Albania,,3/8/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Albania
Algeria,,3/24/20,Full,https://www.garda.com/crisis24/news-alerts/325896/algeria-government-implements-lockdown-and-curfew-in-blida-and-algiers-march-23-update-7
Andorra,,3/16/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Andorra
Angola,,3/24/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Angola
Antigua and Barbuda,,,None,
Argentina,,3/20/20,Full,https://www.bloomberg.com/news/articles/2020-03-20/argentina-orders-exceptional-lockdown-in-bid-to-contain-virus
Armenia,,3/24/20,Full,https://www.azatutyun.am/a/30506939.html
Australia,Australian Capital Territory,,None,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Australia
Australia,New South Wales,,None,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Australia
Australia,Northern Territory,,None,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Australia
Australia,Queensland,,None,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Australia
Australia,South Australia,,None,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Australia
Australia,Tasmania,,None,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Australia
Australia,Victoria,3/24/20,Full,https://www.theage.com.au/national/victoria/schools-closed-from-tuesday-in-drastic-bid-to-curb-coronavirus-spread-20200322-p54cpw.html
Australia,Western Australia,,None,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Australia
Austria,,3/16/20,Full,https://www.reuters.com/article/us-health-coronavirus-austria/austria-close-to-standstill-starts-biggest-repatriation-effort-ever-idUSKBN21427X
Azerbaijan,,3/2/20,Full,https://en.trend.az/azerbaijan/society/3200643.html
Bahamas,,3/20/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Bahamas
Bahrain,,2/25/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Bahrain
Bangladesh,,3/19/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Bangladesh
Barbados,,3/28/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Barbados
Belarus,,,None,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Belarus
Belgium,,3/17/20,Full,https://www.businessinsider.com/countries-on-lockdown-coronavirus-italy-2020-3?r=US&IR=T#the-uk-went-into-full-coronavirus-lockdown-on-monday-evening-7
Belize,,3/30/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Belize
Benin,,,None,
Bhutan,,3/6/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Bhutan
Bolivia,,3/12/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Bolivia
Bosnia and Herzegovina,,3/11/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Bosnia_and_Herzegovina
Botswana,,4/2/20,Full,https://www.voanews.com/science-health/coronavirus-outbreak/botswana-declares-emergency-first-confirmed-covid-cases
Brazil,,,None,https://www.aljazeera.com/ajimpact/brazil-bolsonaro-denounces-mayors-virus-lockdowns-200325223340032.html
Brunei,,,None,
Bulgaria,,3/13/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Bulgaria
Burkina Faso,,3/21/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Burkina_Faso
Burma,,,None,
Cabo Verde,,,None,
Cambodia,,3/28/20,Partial,https://www.bangkokpost.com/world/1888300/cambodia-steps-up-travel-curbs-on-foreigners
Cameroon,,,None,
Canada,Alberta,3/17/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Canada
Canada,British Columbia,3/18/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Canada
Canada,Manitoba,3/20/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Canada
Canada,New Brunswick,3/19/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Canada
Canada,Newfoundland and Labrador,3/18/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Canada
Canada,Northwest Territories,3/18/20,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Canada
Canada,Nova Scotia,3/22/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Canada
Canada,Ontario,3/14/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Canada
Canada,Prince Edward Island,3/16/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Canada
Canada,Quebec,3/12/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Canada
Canada,Saskatchewan,3/18/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Canada
Canada,Yukon,3/18/20,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Canada
Central African Republic,,,None,
Chad,,,None,
Chile,,3/26/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Chile
China,Anhui,1/23/20,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
China,Beijing,1/23/20,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
China,Chongqing,1/23/20,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
China,Fujian,1/23/20,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
China,Gansu,1/23/20,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
China,Guangdong,1/23/20,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
China,Guangxi,1/23/20,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
China,Guizhou,1/23/20,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
China,Hainan,1/23/20,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
China,Hebei,1/23/20,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
China,Heilongjiang,1/23/20,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
China,Henan,1/23/20,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
China,Hong Kong,3/23/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Hong_Kong
China,Hubei,1/23/20,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
China,Hunan,1/23/20,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
China,Inner Mongolia,1/23/20,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
China,Jiangsu,1/23/20,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
China,Jiangxi,1/23/20,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
China,Jilin,1/23/20,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
China,Liaoning,1/23/20,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
China,Macau,1/26/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Macau
China,Ningxia,1/23/20,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
China,Qinghai,1/23/20,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
China,Shaanxi,1/23/20,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
China,Shandong,1/23/20,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
China,Shanghai,1/23/20,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
China,Shanxi,1/23/20,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
China,Sichuan,1/23/20,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
China,Tianjin,1/23/20,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
China,Tibet,1/23/20,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
China,Xinjiang,1/23/20,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
China,Yunnan,1/23/20,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
China,Zhejiang,1/23/20,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
