,Country/Region,Province,Date,Type,Reference,Lat,Lng
0,Afghanistan,,3/24/20,Full,https://www.thestatesman.com/world/afghan-govt-imposes-lockdown-coronavirus-cases-increase-15-1502870945.html,33.93911,67.709953
1,Albania,,3/8/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Albania,41.153332,20.168331
2,Algeria,,3/24/20,Full,https://www.garda.com/crisis24/news-alerts/325896/algeria-government-implements-lockdown-and-curfew-in-blida-and-algiers-march-23-update-7,28.033886,1.659626
3,Andorra,,3/16/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Andorra,42.506285,1.521801
4,Angola,,3/24/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Angola,-11.202692,17.873887
5,Antigua and Barbuda,,,None,,17.060816,-61.796428
6,Argentina,,3/20/20,Full,https://www.bloomberg.com/news/articles/2020-03-20/argentina-orders-exceptional-lockdown-in-bid-to-contain-virus,-38.416097,-63.61667199999999
7,Armenia,,3/24/20,Full,https://www.azatutyun.am/a/30506939.html,40.069099,45.038189
8,Australia,Australian Capital Territory,,None,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Australia,-35.4734679,149.0123679
9,Australia,New South Wales,,None,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Australia,-31.2532183,146.921099
10,Australia,Northern Territory,,None,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Australia,-19.4914108,132.5509603
11,Australia,Queensland,,None,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Australia,-20.9175738,142.7027956
12,Australia,South Australia,,None,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Australia,-30.0002315,136.2091547
13,Australia,Tasmania,,None,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Australia,-41.4545196,145.9706647
14,Australia,Victoria,3/24/20,Full,https://www.theage.com.au/national/victoria/schools-closed-from-tuesday-in-drastic-bid-to-curb-coronavirus-spread-20200322-p54cpw.html,-37.4713077,144.7851531
15,Australia,Western Australia,,None,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Australia,-27.6728168,121.6283098
16,Austria,,3/16/20,Full,https://www.reuters.com/article/us-health-coronavirus-austria/austria-close-to-standstill-starts-biggest-repatriation-effort-ever-idUSKBN21427X,47.516231,14.550072
17,Azerbaijan,,3/2/20,Full,https://en.trend.az/azerbaijan/society/3200643.html,40.143105,47.576927
18,Bahamas,,3/20/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Bahamas,25.03428,-77.39627999999999
19,Bahrain,,2/25/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Bahrain,26.0667,50.5577
20,Bangladesh,,3/19/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Bangladesh,23.684994,90.356331
21,Barbados,,3/28/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Barbados,13.193887,-59.543198
22,Belarus,,,None,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Belarus,53.709807,27.953389
23,Belgium,,3/17/20,Full,https://www.businessinsider.com/countries-on-lockdown-coronavirus-italy-2020-3?r=US&IR=T#the-uk-went-into-full-coronavirus-lockdown-on-monday-evening-7,50.503887,4.469936
24,Belize,,3/30/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Belize,17.189877,-88.49765
25,Benin,,,None,,9.30769,2.315834
26,Bhutan,,3/6/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Bhutan,27.514162,90.433601
27,Bolivia,,3/12/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Bolivia,-16.290154,-63.58865299999999
28,Bosnia and Herzegovina,,3/11/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Bosnia_and_Herzegovina,43.915886,17.679076
29,Botswana,,4/2/20,Full,https://www.voanews.com/science-health/coronavirus-outbreak/botswana-declares-emergency-first-confirmed-covid-cases,-22.328474,24.684866
30,Brazil,,,None,https://www.aljazeera.com/ajimpact/brazil-bolsonaro-denounces-mayors-virus-lockdowns-200325223340032.html,-14.235004,-51.92528
31,Brunei,,,None,,4.535277,114.727669
32,Bulgaria,,3/13/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Bulgaria,42.733883,25.48583
33,Burkina Faso,,3/21/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Burkina_Faso,12.238333,-1.561593
34,Burma,,,None,,21.916221,95.955974
35,Cabo Verde,,,None,,16.5388,-23.0418
36,Cambodia,,3/28/20,Partial,https://www.bangkokpost.com/world/1888300/cambodia-steps-up-travel-curbs-on-foreigners,12.565679,104.990963
37,Cameroon,,,None,,7.369721999999999,12.354722
38,Canada,Alberta,3/17/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Canada,53.9332706,-116.5765035
39,Canada,British Columbia,3/18/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Canada,53.7266683,-127.6476205
40,Canada,Manitoba,3/20/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Canada,53.7608608,-98.8138762
41,Canada,New Brunswick,3/19/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Canada,46.5653163,-66.46191639999999
42,Canada,Newfoundland and Labrador,3/18/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Canada,53.1355091,-57.6604364
43,Canada,Northwest Territories,3/18/20,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Canada,64.8255441,-124.8457334
44,Canada,Nova Scotia,3/22/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Canada,44.68198659999999,-63.744311
45,Canada,Ontario,3/14/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Canada,51.253775,-85.323214
