DateTime,Players,Flags,Twitch Viewers
6/11/2017 00:00,1,,
6/12/2017 00:00,1,,
6/13/2017 00:00,1,,
6/14/2017 00:00,2,,
6/15/2017 00:00,2,,
6/16/2017 00:00,2,,
6/17/2017 00:00,2,,
6/18/2017 00:00,1,,
6/19/2017 00:00,2,,
6/20/2017 00:00,3,,
6/21/2017 00:00,3,,
6/22/2017 00:00,3,,
6/23/2017 00:00,2,,
6/24/2017 00:00,2,,
6/25/2017 00:00,1,,
6/26/2017 00:00,1,,
6/27/2017 00:00,2,,
6/28/2017 00:00,2,,
6/29/2017 00:00,2,,
6/30/2017 00:00,2,,
7/1/2017 00:00,1,,
7/2/2017 00:00,1,,
7/3/2017 00:00,1,,
7/4/2017 00:00,1,,
7/5/2017 00:00,1,,
7/6/2017 00:00,1,,
7/7/2017 00:00,1,,
7/8/2017 00:00,1,,
7/9/2017 00:00,1,,
7/10/2017 00:00,1,,
7/11/2017 00:00,1,,
7/12/2017 00:00,1,,
7/13/2017 00:00,1,,
7/14/2017 00:00,1,,
7/15/2017 00:00,1,,
7/16/2017 00:00,1,,
7/17/2017 00:00,1,,
7/18/2017 00:00,1,,
7/19/2017 00:00,1,,
7/20/2017 00:00,1,,
7/21/2017 00:00,1,,
7/22/2017 00:00,2,,
7/23/2017 00:00,1,,
7/24/2017 00:00,2,,
7/25/2017 00:00,2,,
7/26/2017 00:00,2,,
7/27/2017 00:00,2,,
7/28/2017 00:00,2,,
7/29/2017 00:00,1,,
7/30/2017 00:00,2,,
7/31/2017 00:00,2,,
8/1/2017 00:00,3,,
8/2/2017 00:00,3,,
8/3/2017 00:00,3,,
8/4/2017 00:00,3,,
8/5/2017 00:00,1,,
8/6/2017 00:00,,,
8/7/2017 00:00,,,
8/8/2017 00:00,1,,
8/9/2017 00:00,1,,
8/10/2017 00:00,2,,
8/11/2017 00:00,2,,
8/12/2017 00:00,1,,
8/13/2017 00:00,,,
8/14/2017 00:00,1,,
8/15/2017 00:00,1,,
8/16/2017 00:00,1,,
8/17/2017 00:00,2,,
8/18/2017 00:00,1,,
8/19/2017 00:00,1,,
8/20/2017 00:00,1,,
8/21/2017 00:00,1,,
8/22/2017 00:00,1,,3095
8/23/2017 00:00,1,,0
8/24/2017 00:00,2,,0
8/25/2017 00:00,2,,0
8/26/2017 00:00,2,,0
8/27/2017 00:00,1,,0
8/28/2017 00:00,2,,0
