DateTime,Players,Flags,Twitch Viewers
12/1/2016 00:00,4,,
12/2/2016 00:00,,,
12/3/2016 00:00,,,
12/4/2016 00:00,1,,
12/5/2016 00:00,1,,
12/6/2016 00:00,1,,
12/7/2016 00:00,1,,
12/8/2016 00:00,1,,
12/9/2016 00:00,2,,
12/10/2016 00:00,1,,
12/11/2016 00:00,2,,
12/12/2016 00:00,2,,
12/13/2016 00:00,1,,
12/14/2016 00:00,1,,
12/15/2016 00:00,2,,
12/16/2016 00:00,2,,
12/17/2016 00:00,1,,
12/18/2016 00:00,1,,
12/19/2016 00:00,3,,
12/20/2016 00:00,2,,
12/21/2016 00:00,2,,
12/22/2016 00:00,1,,
12/23/2016 00:00,1,,
12/24/2016 00:00,1,,
12/25/2016 00:00,1,,
12/26/2016 00:00,1,,
12/27/2016 00:00,1,,
12/28/2016 00:00,3,,
12/29/2016 00:00,4,,
12/30/2016 00:00,4,,
12/31/2016 00:00,2,,
1/1/2017 00:00,2,,
1/2/2017 00:00,4,,
1/3/2017 00:00,2,,
1/4/2017 00:00,4,,
1/5/2017 00:00,4,,
1/6/2017 00:00,3,,
1/7/2017 00:00,4,,
1/8/2017 00:00,4,,
1/9/2017 00:00,5,,
1/10/2017 00:00,5,,
1/11/2017 00:00,5,,
1/12/2017 00:00,5,,
1/13/2017 00:00,6,,
1/14/2017 00:00,5,,
1/15/2017 00:00,6,,
1/16/2017 00:00,6,,
1/17/2017 00:00,4,,
1/18/2017 00:00,5,,
1/19/2017 00:00,4,,
1/20/2017 00:00,3,,
1/21/2017 00:00,2,,
1/22/2017 00:00,4,,
1/23/2017 00:00,3,,
1/24/2017 00:00,4,,
1/25/2017 00:00,4,,
1/26/2017 00:00,4,,
1/27/2017 00:00,3,,
1/28/2017 00:00,5,,
1/29/2017 00:00,2,,
1/30/2017 00:00,3,,
1/31/2017 00:00,1,,
2/1/2017 00:00,2,,
2/2/2017 00:00,2,,
2/3/2017 00:00,3,,
2/4/2017 00:00,1,,
2/5/2017 00:00,2,,
2/6/2017 00:00,4,,
2/7/2017 00:00,3,,
2/8/2017 00:00,3,,
2/9/2017 00:00,3,,
2/10/2017 00:00,3,,
2/11/2017 00:00,3,,
2/12/2017 00:00,4,,
2/13/2017 00:00,3,,
2/14/2017 00:00,3,,
2/15/2017 00:00,5,,
2/16/2017 00:00,6,,
2/17/2017 00:00,5,,
2/18/2017 00:00,5,,
2/19/2017 00:00,3,,
2/20/2017 00:00,4,,
2/21/2017 00:00,7,,
2/22/2017 00:00,4,,
2/23/2017 00:00,23,,
2/24/2017 00:00,812,,
2/25/2017 00:00,902,,
2/26/2017 00:00,2094,,
2/27/2017 00:00,1679,,
2/28/2017 00:00,1746,,
3/1/2017 00:00,1633,,
3/2/2017 00:00,1598,,
3/3/2017 00:00,1470,,
3/4/2017 00:00,2027,,
3/5/2017 00:00,2017,,
3/6/2017 00:00,1776,,
3/7/2017 00:00,1426,,
3/8/2017 00:00,1366,,
3/9/2017 00:00,1321,,
3/10/2017 00:00,1268,,
3/11/2017 00:00,1779,,
3/12/2017 00:00,1748,,
3/13/2017 00:00,1401,,
3/14/2017 00:00,1282,,
3/15/2017 00:00,1279,,
3/16/2017 00:00,1202,,
3/17/2017 00:00,1268,,
3/18/2017 00:00,1788,,
3/19/2017 00:00,1902,,
3/20/2017 00:00,1513,,
3/21/2017 00:00,1336,,
3/22/2017 00:00,735,,
3/23/2017 00:00,1282,,
3/24/2017 00:00,1371,,
3/25/2017 00:00,1579,,
3/26/2017 00:00,1606,,
3/27/2017 00:00,1351,,
3/28/2017 00:00,1047,,
3/29/2017 00:00,976,,
3/30/2017 00:00,929,,
3/31/2017 00:00,957,,
4/1/2017 00:00,1235,,
4/2/2017 00:00,1296,,
4/3/2017 00:00,1024,,
4/4/2017 00:00,800,,
4/5/2017 00:00,761,,
4/6/2017 00:00,737,,
4/7/2017 00:00,808,,
4/8/2017 00:00,979,,
4/9/2017 00:00,919,,
4/10/2017 00:00,761,,
4/11/2017 00:00,698,,
4/12/2017 00:00,834,,
4/13/2017 00:00,783,,
4/14/2017 00:00,1038,,
4/15/2017 00:00,1173,,
4/16/2017 00:00,1181,,
4/17/2017 00:00,1088,,
4/18/2017 00:00,905,,
4/19/2017 00:00,860,,
4/20/2017 00:00,804,,
4/21/2017 00:00,880,,
4/22/2017 00:00,1128,,
4/23/2017 00:00,1103,,
4/24/2017 00:00,887,,
4/25/2017 00:00,811,,
4/26/2017 00:00,724,,
4/27/2017 00:00,742,,
4/28/2017 00:00,766,,
4/29/2017 00:00,1027,,
4/30/2017 00:00,1030,,
5/1/2017 00:00,905,,
5/2/2017 00:00,751,,
5/3/2017 00:00,692,,
5/4/2017 00:00,670,,
5/5/2017 00:00,659,,
5/6/2017 00:00,930,,
5/7/2017 00:00,1048,,
5/8/2017 00:00,943,,
5/9/2017 00:00,722,,
5/10/2017 00:00,728,,
5/11/2017 00:00,742,,
5/12/2017 00:00,724,,
5/13/2017 00:00,938,,
5/14/2017 00:00,972,,
5/15/2017 00:00,875,,
5/16/2017 00:00,775,,
5/17/2017 00:00,928,,
5/18/2017 00:00,1349,,
5/19/2017 00:00,1492,,
5/20/2017 00:00,1863,,
5/21/2017 00:00,2020,,
5/22/2017 00:00,1886,,
5/23/2017 00:00,1584,,
5/24/2017 00:00,1350,,
5/25/2017 00:00,1317,,
5/26/2017 00:00,1243,,
5/27/2017 00:00,1418,,
5/28/2017 00:00,1512,,
5/29/2017 00:00,1453,,
5/30/2017 00:00,1381,,
5/31/2017 00:00,1007,,
6/1/2017 00:00,950,,
6/2/2017 00:00,951,,
6/3/2017 00:00,1124,,
6/4/2017 00:00,1277,,
6/5/2017 00:00,1226,,
6/6/2017 00:00,925,,
6/7/2017 00:00,821,,
6/8/2017 00:00,811,,
6/9/2017 00:00,805,,
6/10/2017 00:00,981,,
6/11/2017 00:00,1058,,
6/12/2017 00:00,897,,
6/13/2017 00:00,736,,
6/14/2017 00:00,736,,
6/15/2017 00:00,749,,
6/16/2017 00:00,740,,
6/17/2017 00:00,864,,
6/18/2017 00:00,882,,
6/19/2017 00:00,853,,
6/20/2017 00:00,730,,
6/21/2017 00:00,704,,
6/22/2017 00:00,2099,,
6/23/2017 00:00,3674,,
6/24/2017 00:00,4993,,
6/25/2017 00:00,6038,,
6/26/2017 00:00,5842,,
6/27/2017 00:00,5022,,
6/28/2017 00:00,4727,,
6/29/2017 00:00,4429,,
6/30/2017 00:00,4332,,
7/1/2017 00:00,4936,,
7/2/2017 00:00,5297,,
7/3/2017 00:00,4895,,
7/4/2017 00:00,5659,,
7/5/2017 00:00,5418,,
7/6/2017 00:00,4699,,
7/7/2017 00:00,4186,,
7/8/2017 00:00,4774,,
7/9/2017 00:00,4990,,
7/10/2017 00:00,4637,,
7/11/2017 00:00,3541,,
7/12/2017 00:00,3180,,
7/13/2017 00:00,3033,,
7/14/2017 00:00,2898,,
7/15/2017 00:00,3340,,
7/16/2017 00:00,3562,,
7/17/2017 00:00,3339,,
7/18/2017 00:00,2505,,
7/19/2017 00:00,2351,,
7/20/2017 00:00,2288,,
7/21/2017 00:00,2093,,
7/22/2017 00:00,2463,,
7/23/2017 00:00,2605,,
7/24/2017 00:00,2140,,
7/25/2017 00:00,1915,,
7/26/2017 00:00,1813,,
7/27/2017 00:00,1720,,
7/28/2017 00:00,1641,,
7/29/2017 00:00,1965,,
7/30/2017 00:00,2132,,
7/31/2017 00:00,1760,,
8/1/2017 00:00,1559,,
8/2/2017 00:00,1452,,
8/3/2017 00:00,2713,,
8/4/2017 00:00,2978,,
8/5/2017 00:00,3942,,
8/6/2017 00:00,4777,,
8/7/2017 00:00,3973,,
8/8/2017 00:00,3570,,
8/9/2017 00:00,3007,,
8/10/2017 00:00,2795,,
8/11/2017 00:00,2530,,
8/12/2017 00:00,3100,,
8/13/2017 00:00,3044,,
8/14/2017 00:00,2546,,
8/15/2017 00:00,2115,,
8/16/2017 00:00,1977,,
8/17/2017 00:00,1839,,
8/18/2017 00:00,1823,,
8/19/2017 00:00,2256,,
8/20/2017 00:00,2308,,
8/21/2017 00:00,1809,,
8/22/2017 00:00,1634,,379
8/23/2017 00:00,1575,,541
8/24/2017 00:00,1426,,182
8/25/2017 00:00,1396,,210
8/26/2017 00:00,1864,,1304
8/27/2017 00:00,1971,,576
8/28/2017 00:00,1569,,153
8/29/2017 00:00,1299,,2404
8/30/2017 00:00,1162,,2403
8/31/2017 00:00,1134,,218
9/1/2017 00:00,1245,,374
9/2/2017 00:00,1569,,360
9/3/2017 00:00,1657,,804
9/4/2017 00:00,1556,,731
9/5/2017 00:00,1240,,864
9/6/2017 00:00,1053,,841
9/7/2017 00:00,1002,,710
9/8/2017 00:00,1045,,978
9/9/2017 00:00,1414,,830
9/10/2017 00:00,1489,,698
9/11/2017 00:00,1149,,906
