DateTime,Players,Flags,Twitch Viewers
4/18/2011 00:00,93215,,
4/19/2011 00:00,98460,,
4/20/2011 00:00,79497,,
4/21/2011 00:00,55955,,
4/22/2011 00:00,49575,,
4/23/2011 00:00,45468,,
4/24/2011 00:00,38607,,
4/25/2011 00:00,26668,,
4/26/2011 00:00,23128,,
4/27/2011 00:00,20120,,
4/28/2011 00:00,19275,,
4/29/2011 00:00,22712,,
4/30/2011 00:00,22819,,
5/1/2011 00:00,21800,,
5/2/2011 00:00,14530,,
5/3/2011 00:00,12962,,
5/4/2011 00:00,12522,,
5/5/2011 00:00,12015,,
5/6/2011 00:00,14372,,
5/7/2011 00:00,14435,,
5/8/2011 00:00,12838,,
5/9/2011 00:00,9057,,
5/10/2011 00:00,8298,,
5/11/2011 00:00,7996,,
5/12/2011 00:00,8583,,
5/13/2011 00:00,11122,,
5/14/2011 00:00,20876,,
5/15/2011 00:00,19886,,
5/16/2011 00:00,14157,,
5/17/2011 00:00,12047,,
5/18/2011 00:00,10758,,
5/19/2011 00:00,10338,,
5/20/2011 00:00,12569,,
5/21/2011 00:00,12261,,
5/22/2011 00:00,11716,,
5/23/2011 00:00,8742,,
5/24/2011 00:00,7430,,
5/25/2011 00:00,7426,,
5/26/2011 00:00,8398,,
5/27/2011 00:00,9759,,
5/28/2011 00:00,9745,,
5/29/2011 00:00,9062,,
5/30/2011 00:00,8748,,
5/31/2011 00:00,6842,,
6/1/2011 00:00,6849,,
6/2/2011 00:00,6259,,
6/3/2011 00:00,7554,,
6/4/2011 00:00,7564,,
6/5/2011 00:00,7386,,
6/6/2011 00:00,5544,,
6/7/2011 00:00,5430,,
6/8/2011 00:00,5349,,
6/9/2011 00:00,5535,,
6/10/2011 00:00,6305,,
6/11/2011 00:00,6474,,
6/12/2011 00:00,6276,,
6/13/2011 00:00,4821,,
6/14/2011 00:00,4840,,
6/15/2011 00:00,4702,,
6/16/2011 00:00,4788,,
6/17/2011 00:00,5285,,
6/18/2011 00:00,5442,,
6/19/2011 00:00,5339,,
6/20/2011 00:00,4736,,
6/21/2011 00:00,4510,,
6/22/2011 00:00,4347,,
6/23/2011 00:00,4186,,
6/24/2011 00:00,4400,,
6/25/2011 00:00,4412,,
6/26/2011 00:00,4383,,
6/27/2011 00:00,3982,,
6/28/2011 00:00,3860,,
6/29/2011 00:00,3645,,
6/30/2011 00:00,4207,,
7/1/2011 00:00,5010,,
7/2/2011 00:00,5628,,
7/3/2011 00:00,5671,,
