DateTime,Players,Flags,Twitch Viewers
5/1/2015 00:00,28,0,
5/2/2015 00:00,,0,
5/3/2015 00:00,,0,
5/4/2015 00:00,,0,
5/5/2015 00:00,,0,
5/6/2015 00:00,,0,
5/7/2015 00:00,,0,
5/8/2015 00:00,,0,
5/9/2015 00:00,,0,
5/10/2015 00:00,,0,
5/11/2015 00:00,,0,
5/12/2015 00:00,4,0,
5/13/2015 00:00,5,0,
5/14/2015 00:00,6,0,
5/15/2015 00:00,7,0,
5/16/2015 00:00,2,0,
5/17/2015 00:00,15,0,
5/18/2015 00:00,8,0,
5/19/2015 00:00,7,0,
5/20/2015 00:00,10,0,
5/21/2015 00:00,7,0,
5/22/2015 00:00,2,0,
5/23/2015 00:00,7,0,
5/24/2015 00:00,10,0,
5/25/2015 00:00,10,0,
5/26/2015 00:00,15,0,
5/27/2015 00:00,29,0,
5/28/2015 00:00,22,0,
5/29/2015 00:00,20,0,
5/30/2015 00:00,18,0,
5/31/2015 00:00,20,0,
6/1/2015 00:00,75,0,
6/2/2015 00:00,184,0,
6/3/2015 00:00,30908,0,
6/4/2015 00:00,36860,0,
6/5/2015 00:00,42539,0,
6/6/2015 00:00,53151,0,
6/7/2015 00:00,64976,0,
6/8/2015 00:00,62815,0,
6/9/2015 00:00,64702,0,
6/10/2015 00:00,63018,0,
6/11/2015 00:00,61792,0,
6/12/2015 00:00,61140,0,
6/13/2015 00:00,69895,0,
6/14/2015 00:00,80398,0,
6/15/2015 00:00,71851,0,
6/16/2015 00:00,70201,0,
6/17/2015 00:00,66322,0,
6/18/2015 00:00,63814,0,
6/19/2015 00:00,66715,0,
6/20/2015 00:00,71540,0,
6/21/2015 00:00,76271,0,
6/22/2015 00:00,70024,0,
6/23/2015 00:00,69018,0,
6/24/2015 00:00,66001,0,
6/25/2015 00:00,61141,0,
6/26/2015 00:00,65984,0,
6/27/2015 00:00,71541,0,
6/28/2015 00:00,76818,0,
6/29/2015 00:00,70179,0,
6/30/2015 00:00,62950,0,
7/1/2015 00:00,64482,0,
7/2/2015 00:00,58786,0,
7/3/2015 00:00,67422,0,
7/4/2015 00:00,65545,0,
7/5/2015 00:00,75177,0,
7/6/2015 00:00,69711,0,
7/7/2015 00:00,67282,0,
7/8/2015 00:00,68871,0,
7/9/2015 00:00,64522,0,
7/10/2015 00:00,63227,0,
7/11/2015 00:00,66244,0,
7/12/2015 00:00,72452,0,
7/13/2015 00:00,64964,0,
7/14/2015 00:00,61655,0,
7/15/2015 00:00,62838,0,
7/16/2015 00:00,61202,0,
7/17/2015 00:00,59382,0,
7/18/2015 00:00,65454,0,
7/19/2015 00:00,71248,0,
7/20/2015 00:00,63921,0,
7/21/2015 00:00,60731,0,
7/22/2015 00:00,58898,0,
7/23/2015 00:00,58423,0,
7/24/2015 00:00,57009,0,
7/25/2015 00:00,57208,0,
7/26/2015 00:00,66531,0,
7/27/2015 00:00,60604,0,
7/28/2015 00:00,58125,0,
7/29/2015 00:00,54595,0,
7/30/2015 00:00,55629,0,
7/31/2015 00:00,51567,0,
8/1/2015 00:00,58113,0,
8/2/2015 00:00,68958,0,
8/3/2015 00:00,61578,0,
8/4/2015 00:00,59865,0,
8/5/2015 00:00,57643,0,
8/6/2015 00:00,57677,0,
8/7/2015 00:00,53242,0,
8/8/2015 00:00,61936,0,
8/9/2015 00:00,67031,0,
8/10/2015 00:00,60140,0,
8/11/2015 00:00,57836,0,
8/12/2015 00:00,53521,0,
8/13/2015 00:00,54334,0,
8/14/2015 00:00,49613,0,
8/15/2015 00:00,62732,0,
8/16/2015 00:00,67929,0,
8/17/2015 00:00,60591,0,
8/18/2015 00:00,56828,0,
8/19/2015 00:00,59993,0,
8/20/2015 00:00,58073,0,
8/21/2015 00:00,57591,0,
8/22/2015 00:00,62869,0,
8/23/2015 00:00,65787,0,
8/24/2015 00:00,56654,0,
8/25/2015 00:00,52737,0,
8/26/2015 00:00,53627,0,
8/27/2015 00:00,52715,0,
8/28/2015 00:00,73057,0,
8/29/2015 00:00,84801,0,
8/30/2015 00:00,80715,0,
8/31/2015 00:00,59494,0,
9/1/2015 00:00,51751,0,
9/2/2015 00:00,49527,0,
9/3/2015 00:00,48651,0,
9/4/2015 00:00,51435,0,
9/5/2015 00:00,58795,0,
9/6/2015 00:00,60215,0,
9/7/2015 00:00,59947,0,
9/8/2015 00:00,49536,0,
9/9/2015 00:00,44412,0,
9/10/2015 00:00,42915,0,
9/11/2015 00:00,43232,0,
9/12/2015 00:00,58696,0,
9/13/2015 00:00,56553,0,
9/14/2015 00:00,49005,0,
9/15/2015 00:00,43928,0,
9/16/2015 00:00,43803,0,
9/17/2015 00:00,41976,0,
9/18/2015 00:00,43048,0,
9/19/2015 00:00,53422,0,
9/20/2015 00:00,55492,0,
9/21/2015 00:00,44586,0,
9/22/2015 00:00,38838,0,
9/23/2015 00:00,42900,0,
9/24/2015 00:00,42105,0,
9/25/2015 00:00,46134,0,
9/26/2015 00:00,53459,0,
9/27/2015 00:00,55295,0,
9/28/2015 00:00,53050,0,
9/29/2015 00:00,51570,0,
9/30/2015 00:00,50428,0,
10/1/2015 00:00,47312,0,
10/2/2015 00:00,48662,0,
10/3/2015 00:00,59387,0,
10/4/2015 00:00,60284,0,
10/5/2015 00:00,48573,0,
10/6/2015 00:00,46126,0,
10/7/2015 00:00,50629,0,
10/8/2015 00:00,47271,0,
10/9/2015 00:00,54827,0,
10/10/2015 00:00,61627,0,
10/11/2015 00:00,64468,0,
10/12/2015 00:00,56402,0,
10/13/2015 00:00,50260,0,
10/14/2015 00:00,45546,0,
10/15/2015 00:00,52089,0,
10/16/2015 00:00,56378,0,
10/17/2015 00:00,62147,0,
10/18/2015 00:00,64903,0,
10/19/2015 00:00,53437,0,
10/20/2015 00:00,48490,0,
10/21/2015 00:00,48403,0,
10/22/2015 00:00,46879,0,
10/23/2015 00:00,50791,0,
10/24/2015 00:00,57974,0,
10/25/2015 00:00,61079,0,
10/26/2015 00:00,48930,0,
10/27/2015 00:00,46367,0,
10/28/2015 00:00,44882,0,
10/29/2015 00:00,47622,0,
10/30/2015 00:00,50553,0,
10/31/2015 00:00,54121,0,
11/1/2015 00:00,59909,0,
11/2/2015 00:00,48651,0,
11/3/2015 00:00,46474,0,
11/4/2015 00:00,44514,0,
11/5/2015 00:00,47042,0,
11/6/2015 00:00,48057,0,
11/7/2015 00:00,58437,0,
11/8/2015 00:00,59432,0,
11/9/2015 00:00,47376,0,
11/10/2015 00:00,41048,0,
11/11/2015 00:00,41821,0,
11/12/2015 00:00,39589,0,
11/13/2015 00:00,45209,0,
11/14/2015 00:00,52623,0,
11/15/2015 00:00,54498,0,
11/16/2015 00:00,42734,0,
11/17/2015 00:00,41143,0,
11/18/2015 00:00,39421,0,
11/19/2015 00:00,38175,0,
11/20/2015 00:00,42117,0,
11/21/2015 00:00,49171,0,
11/22/2015 00:00,50991,0,
11/23/2015 00:00,41352,0,
11/24/2015 00:00,39398,0,
11/25/2015 00:00,37831,0,
11/26/2015 00:00,42346,0,
11/27/2015 00:00,48874,0,
11/28/2015 00:00,50791,0,
11/29/2015 00:00,52473,0,
11/30/2015 00:00,41745,0,
12/1/2015 00:00,40438,0,
12/2/2015 00:00,41481,0,
12/3/2015 00:00,40028,0,
12/4/2015 00:00,44123,0,
12/5/2015 00:00,50631,0,
12/6/2015 00:00,52613,0,
12/7/2015 00:00,42563,0,
12/8/2015 00:00,41861,0,
12/9/2015 00:00,39667,0,
12/10/2015 00:00,38813,0,
12/11/2015 00:00,41698,0,
12/12/2015 00:00,48022,0,
12/13/2015 00:00,49668,0,
12/14/2015 00:00,40113,0,
12/15/2015 00:00,38654,0,
12/16/2015 00:00,37056,0,
12/17/2015 00:00,36518,0,
12/18/2015 00:00,39064,0,
12/19/2015 00:00,41191,0,
12/20/2015 00:00,47258,0,
12/21/2015 00:00,44422,0,
12/22/2015 00:00,43801,0,
12/23/2015 00:00,46098,0,
12/24/2015 00:00,42619,0,
12/25/2015 00:00,42997,0,
12/26/2015 00:00,49940,0,
12/27/2015 00:00,55929,0,
12/28/2015 00:00,55818,0,
12/29/2015 00:00,55776,0,
12/30/2015 00:00,55734,0,
12/31/2015 00:00,52204,0,
1/1/2016 00:00,60311,0,
1/2/2016 00:00,63827,0,
1/3/2016 00:00,66246,0,
1/4/2016 00:00,57733,0,
1/5/2016 00:00,50147,0,
1/6/2016 00:00,51341,0,
1/7/2016 00:00,52305,0,
1/8/2016 00:00,55843,0,
1/9/2016 00:00,66470,0,
1/10/2016 00:00,66986,0,
1/11/2016 00:00,52541,0,
1/12/2016 00:00,51794,0,
1/13/2016 00:00,50522,0,
1/14/2016 00:00,49668,0,
1/15/2016 00:00,54360,0,
1/16/2016 00:00,64014,0,
1/17/2016 00:00,65914,0,
1/18/2016 00:00,59333,0,
1/19/2016 00:00,50448,0,
1/20/2016 00:00,49292,0,
1/21/2016 00:00,48422,0,
1/22/2016 00:00,55206,0,
1/23/2016 00:00,63399,0,
1/24/2016 00:00,63305,0,
1/25/2016 00:00,50593,0,
1/26/2016 00:00,48532,0,
1/27/2016 00:00,46897,0,
1/28/2016 00:00,46445,0,
