DateTime,Players,Flags,Twitch Viewers
6/1/2016 00:00,12,,
6/2/2016 00:00,,,
6/3/2016 00:00,,,
6/4/2016 00:00,,,
6/5/2016 00:00,,,
6/6/2016 00:00,,,
6/7/2016 00:00,,,
6/8/2016 00:00,,,
6/9/2016 00:00,1,,
6/10/2016 00:00,4,,
6/11/2016 00:00,2,,
6/12/2016 00:00,2,,
6/13/2016 00:00,3,,
6/14/2016 00:00,5,,
6/15/2016 00:00,5,,
6/16/2016 00:00,3,,
6/17/2016 00:00,27,,
6/18/2016 00:00,3,,
6/19/2016 00:00,3,,
6/20/2016 00:00,3,,
6/21/2016 00:00,2,,
6/22/2016 00:00,1,,
6/23/2016 00:00,5,,
6/24/2016 00:00,12,,
6/25/2016 00:00,1,,
6/26/2016 00:00,,,
6/27/2016 00:00,3,,
6/28/2016 00:00,2,,
6/29/2016 00:00,3,,
6/30/2016 00:00,4,,
7/1/2016 00:00,17,,
7/2/2016 00:00,,,
7/3/2016 00:00,1,,
7/4/2016 00:00,2,,
7/5/2016 00:00,1,,
7/6/2016 00:00,1,,
7/7/2016 00:00,2,,
7/8/2016 00:00,1,,
7/9/2016 00:00,,,
7/10/2016 00:00,,,
7/11/2016 00:00,1,,
7/12/2016 00:00,1,,
7/13/2016 00:00,1,,
7/14/2016 00:00,1,,
7/15/2016 00:00,,,
7/16/2016 00:00,,,
7/17/2016 00:00,,,
7/18/2016 00:00,5,,
7/19/2016 00:00,7,,
7/20/2016 00:00,3,,
7/21/2016 00:00,3,,
7/22/2016 00:00,2,,
7/23/2016 00:00,,,
7/24/2016 00:00,,,
7/25/2016 00:00,1,,
7/26/2016 00:00,2,,
7/27/2016 00:00,1,,
7/28/2016 00:00,4,,
7/29/2016 00:00,1,,
7/30/2016 00:00,,,
7/31/2016 00:00,,,
8/1/2016 00:00,4,,
8/2/2016 00:00,5,,
8/3/2016 00:00,3,,
8/4/2016 00:00,5,,
8/5/2016 00:00,2,,
8/6/2016 00:00,,,
8/7/2016 00:00,1,,
8/8/2016 00:00,7,,
8/9/2016 00:00,7,,
8/10/2016 00:00,6,,
8/11/2016 00:00,8,,
8/12/2016 00:00,22,,
8/13/2016 00:00,2,,
8/14/2016 00:00,1,,
8/15/2016 00:00,6,,
8/16/2016 00:00,7,,
8/17/2016 00:00,7,,
8/18/2016 00:00,7,,
8/19/2016 00:00,7,,
8/20/2016 00:00,2,,
8/21/2016 00:00,,,
8/22/2016 00:00,8,,
8/23/2016 00:00,9,,
8/24/2016 00:00,8,,
8/25/2016 00:00,8,,
8/26/2016 00:00,31,,
8/27/2016 00:00,3,,
8/28/2016 00:00,3,,
8/29/2016 00:00,8,,
8/30/2016 00:00,6,,
8/31/2016 00:00,7,,
9/1/2016 00:00,10,,
9/2/2016 00:00,32,,
9/3/2016 00:00,4,,
9/4/2016 00:00,5,,
9/5/2016 00:00,6,,
9/6/2016 00:00,11,,
9/7/2016 00:00,9,,
9/8/2016 00:00,10,,
9/9/2016 00:00,38,,
9/10/2016 00:00,2,,
9/11/2016 00:00,2,,
9/12/2016 00:00,8,,
9/13/2016 00:00,13,,
9/14/2016 00:00,11,,
9/15/2016 00:00,33,,
9/16/2016 00:00,42,,
9/17/2016 00:00,4,,
9/18/2016 00:00,4,,
9/19/2016 00:00,9,,
9/20/2016 00:00,4,,
9/21/2016 00:00,5,,
9/22/2016 00:00,9,,
9/23/2016 00:00,34,,
9/24/2016 00:00,2,,
9/25/2016 00:00,1,,
9/26/2016 00:00,9,,
9/27/2016 00:00,8,,
9/28/2016 00:00,11,,
9/29/2016 00:00,13,,
9/30/2016 00:00,25,,
10/1/2016 00:00,1,,
10/2/2016 00:00,1,,
10/3/2016 00:00,4,,
10/4/2016 00:00,10,,
10/5/2016 00:00,8,,
10/6/2016 00:00,11,,
10/7/2016 00:00,21,,
10/8/2016 00:00,3,,
10/9/2016 00:00,3,,
10/10/2016 00:00,10,,
10/11/2016 00:00,11,,
10/12/2016 00:00,8,,
10/13/2016 00:00,3,,
10/14/2016 00:00,30,,
10/15/2016 00:00,,,
10/16/2016 00:00,,,
10/17/2016 00:00,2,,
10/18/2016 00:00,3,,
10/19/2016 00:00,6,,
10/20/2016 00:00,4,,
10/21/2016 00:00,28,,
10/22/2016 00:00,1,,
10/23/2016 00:00,2,,
10/24/2016 00:00,4,,
10/25/2016 00:00,2,,
10/26/2016 00:00,8,,
10/27/2016 00:00,6,,
10/28/2016 00:00,18,,
10/29/2016 00:00,2,,
10/30/2016 00:00,2,,
10/31/2016 00:00,4,,
11/1/2016 00:00,11,,
11/2/2016 00:00,10,,
11/3/2016 00:00,12,,
11/4/2016 00:00,69,,
11/5/2016 00:00,2,,
11/6/2016 00:00,2,,
11/7/2016 00:00,14,,
11/8/2016 00:00,10,,
11/9/2016 00:00,11,,
11/10/2016 00:00,6,,
11/11/2016 00:00,34,,
11/12/2016 00:00,1,,
11/13/2016 00:00,3,,
11/14/2016 00:00,10,,
11/15/2016 00:00,6,,
11/16/2016 00:00,12,,
11/17/2016 00:00,5,,
11/18/2016 00:00,35,,
11/19/2016 00:00,1,,
11/20/2016 00:00,2,,
11/21/2016 00:00,8,,
11/22/2016 00:00,4,,
11/23/2016 00:00,5,,
11/24/2016 00:00,6,,
11/25/2016 00:00,31,,
11/26/2016 00:00,,,
11/27/2016 00:00,1,,
11/28/2016 00:00,8,,
11/29/2016 00:00,7,,
11/30/2016 00:00,12,,
12/1/2016 00:00,18,,
12/2/2016 00:00,75,,
12/3/2016 00:00,4,,
12/4/2016 00:00,3,,
12/5/2016 00:00,11,,
12/6/2016 00:00,12,,
12/7/2016 00:00,8,,
12/8/2016 00:00,10,,
12/9/2016 00:00,36,,
12/10/2016 00:00,7,,
12/11/2016 00:00,3,,
12/12/2016 00:00,34,,
12/13/2016 00:00,35,,
12/14/2016 00:00,14,,
12/15/2016 00:00,23,,
12/16/2016 00:00,35,,
12/17/2016 00:00,15,,
12/18/2016 00:00,15,,
12/19/2016 00:00,11,,
12/20/2016 00:00,11,,
12/21/2016 00:00,9,,
12/22/2016 00:00,22,,
12/23/2016 00:00,17,,
12/24/2016 00:00,5,,
12/25/2016 00:00,3,,
12/26/2016 00:00,4,,
12/27/2016 00:00,5,,
12/28/2016 00:00,8,,
12/29/2016 00:00,8,,
12/30/2016 00:00,5,,
12/31/2016 00:00,1,,
1/1/2017 00:00,2,,
1/2/2017 00:00,4,,
1/3/2017 00:00,11,,
1/4/2017 00:00,19,,
1/5/2017 00:00,15,,
1/6/2017 00:00,33,,
1/7/2017 00:00,11,,
1/8/2017 00:00,8,,
1/9/2017 00:00,19,,
1/10/2017 00:00,26,,
1/11/2017 00:00,69,,
1/12/2017 00:00,28,,
1/13/2017 00:00,24,,
1/14/2017 00:00,14,,
1/15/2017 00:00,12,,
1/16/2017 00:00,28,,
1/17/2017 00:00,82,,
1/18/2017 00:00,34,,
1/19/2017 00:00,30,,
1/20/2017 00:00,32,,
1/21/2017 00:00,25,,
1/22/2017 00:00,25,,
1/23/2017 00:00,32,,
1/24/2017 00:00,76,,
1/25/2017 00:00,28,,
1/26/2017 00:00,78,,
1/27/2017 00:00,31,,
1/28/2017 00:00,18,,
1/29/2017 00:00,22,,
1/30/2017 00:00,271,,
1/31/2017 00:00,32979,,
2/1/2017 00:00,39536,,
2/2/2017 00:00,41194,,
2/3/2017 00:00,42194,,
2/4/2017 00:00,51064,,
2/5/2017 00:00,53174,,
2/6/2017 00:00,43588,,
2/7/2017 00:00,41093,,
2/8/2017 00:00,34662,,
2/9/2017 00:00,35875,,
2/10/2017 00:00,35713,,
2/11/2017 00:00,40128,,
2/12/2017 00:00,40961,,
2/13/2017 00:00,32449,,
2/14/2017 00:00,26375,,
2/15/2017 00:00,26150,,
2/16/2017 00:00,25084,,
2/17/2017 00:00,21003,,
2/18/2017 00:00,29566,,
2/19/2017 00:00,30206,,
2/20/2017 00:00,25301,,
2/21/2017 00:00,21239,,
2/22/2017 00:00,19736,,
2/23/2017 00:00,17836,,
2/24/2017 00:00,19005,,
2/25/2017 00:00,20364,,
2/26/2017 00:00,20729,,
2/27/2017 00:00,16543,,
2/28/2017 00:00,15356,,
3/1/2017 00:00,14049,,
3/2/2017 00:00,13226,,
3/3/2017 00:00,10647,,
3/4/2017 00:00,15276,,
3/5/2017 00:00,15707,,
3/6/2017 00:00,12653,,
3/7/2017 00:00,11981,,
3/8/2017 00:00,10932,,
3/9/2017 00:00,10699,,
3/10/2017 00:00,10906,,
3/11/2017 00:00,11767,,
3/12/2017 00:00,12364,,
3/13/2017 00:00,10135,,
3/14/2017 00:00,9639,,
3/15/2017 00:00,9328,,
3/16/2017 00:00,8069,,
3/17/2017 00:00,8382,,
3/18/2017 00:00,9434,,
3/19/2017 00:00,9850,,
3/20/2017 00:00,7719,,
3/21/2017 00:00,5306,,
3/22/2017 00:00,2953,,
3/23/2017 00:00,7662,,
3/24/2017 00:00,8179,,
3/25/2017 00:00,8942,,
3/26/2017 00:00,9329,,
3/27/2017 00:00,7363,,
3/28/2017 00:00,7527,,
3/29/2017 00:00,7044,,
3/30/2017 00:00,6250,,
3/31/2017 00:00,6851,,
4/1/2017 00:00,7293,,
4/2/2017 00:00,7597,,
4/3/2017 00:00,6340,,
4/4/2017 00:00,5876,,
4/5/2017 00:00,5535,,
4/6/2017 00:00,5008,,
4/7/2017 00:00,6161,,
4/8/2017 00:00,6719,,
4/9/2017 00:00,6940,,
4/10/2017 00:00,6007,,
4/11/2017 00:00,5483,,
4/12/2017 00:00,5420,,
4/13/2017 00:00,5846,,
4/14/2017 00:00,6192,,
