DateTime,Players,Flags,Twitch Viewers
8/14/2017 00:00,3,0,0
8/15/2017 00:00,3,0,0
8/16/2017 00:00,5,0,0
8/17/2017 00:00,5,0,
8/18/2017 00:00,4,0,
8/19/2017 00:00,,0,
8/20/2017 00:00,,0,
8/21/2017 00:00,6,0,
8/22/2017 00:00,5,0,
8/23/2017 00:00,4,0,
8/24/2017 00:00,4,0,
8/25/2017 00:00,4,0,
8/26/2017 00:00,,0,
8/27/2017 00:00,,0,
8/28/2017 00:00,4,0,
8/29/2017 00:00,5,0,
8/30/2017 00:00,4,0,
8/31/2017 00:00,3,0,
9/1/2017 00:00,3,0,
9/2/2017 00:00,1,0,
9/3/2017 00:00,,0,
9/4/2017 00:00,6,0,
9/5/2017 00:00,7,0,
9/6/2017 00:00,6,0,
9/7/2017 00:00,5,0,
9/8/2017 00:00,6,0,
9/9/2017 00:00,,0,
9/10/2017 00:00,,0,
9/11/2017 00:00,2,0,
9/12/2017 00:00,6,0,
9/13/2017 00:00,6,0,
9/14/2017 00:00,5,0,
9/15/2017 00:00,5,0,
9/16/2017 00:00,1,0,
9/17/2017 00:00,1,0,
9/18/2017 00:00,1,0,
9/19/2017 00:00,5,0,
9/20/2017 00:00,5,0,
9/21/2017 00:00,5,0,
9/22/2017 00:00,5,0,
9/23/2017 00:00,1,0,
9/24/2017 00:00,1,0,
9/25/2017 00:00,5,0,
9/26/2017 00:00,9,0,
9/27/2017 00:00,8,0,
9/28/2017 00:00,8,0,
9/29/2017 00:00,7,0,
9/30/2017 00:00,,0,
10/1/2017 00:00,,0,
10/2/2017 00:00,9,0,
10/3/2017 00:00,5,0,
10/4/2017 00:00,5,0,
10/5/2017 00:00,7,0,
10/6/2017 00:00,5,0,
10/7/2017 00:00,,0,
10/8/2017 00:00,,0,
10/9/2017 00:00,,0,
10/10/2017 00:00,6,0,
10/11/2017 00:00,8,0,
10/12/2017 00:00,8,0,
10/13/2017 00:00,9,0,
10/14/2017 00:00,1,0,
10/15/2017 00:00,1,0,
10/16/2017 00:00,7,0,
10/17/2017 00:00,7,0,
10/18/2017 00:00,9,0,
10/19/2017 00:00,8,0,
10/20/2017 00:00,8,0,
10/21/2017 00:00,,0,
10/22/2017 00:00,1,0,
10/23/2017 00:00,8,0,
10/24/2017 00:00,7,0,
10/25/2017 00:00,9,0,
10/26/2017 00:00,7,0,
10/27/2017 00:00,8,0,
10/28/2017 00:00,3,0,
10/29/2017 00:00,4,0,
