DateTime,Players,Flags,Twitch Viewers
8/1/2016 00:00,5,0,0
8/2/2016 00:00,,0,0
8/3/2016 00:00,,0,0
8/4/2016 00:00,,0,0
8/5/2016 00:00,,0,0
8/6/2016 00:00,,0,0
8/7/2016 00:00,,0,0
8/8/2016 00:00,,0,0
8/9/2016 00:00,,0,0
8/10/2016 00:00,,0,0
8/11/2016 00:00,,0,0
8/12/2016 00:00,,0,0
8/13/2016 00:00,,0,0
8/14/2016 00:00,,0,0
8/15/2016 00:00,,0,0
8/16/2016 00:00,,0,0
8/17/2016 00:00,,0,0
8/18/2016 00:00,,0,0
8/19/2016 00:00,,0,0
8/20/2016 00:00,,0,0
8/21/2016 00:00,,0,0
8/22/2016 00:00,1,0,0
8/23/2016 00:00,,0,0
8/24/2016 00:00,,0,0
8/25/2016 00:00,,0,0
8/26/2016 00:00,,0,0
8/27/2016 00:00,,0,0
8/28/2016 00:00,,0,0
8/29/2016 00:00,,0,0
8/30/2016 00:00,,0,0
8/31/2016 00:00,8,0,0
9/1/2016 00:00,8,0,0
9/2/2016 00:00,9,0,0
9/3/2016 00:00,3,0,0
9/4/2016 00:00,3,0,0
9/5/2016 00:00,3,0,0
9/6/2016 00:00,6,0,0
9/7/2016 00:00,6,0,0
9/8/2016 00:00,2,0,0
9/9/2016 00:00,2,0,0
9/10/2016 00:00,,0,0
9/11/2016 00:00,,0,0
9/12/2016 00:00,3,0,0
9/13/2016 00:00,3,0,0
9/14/2016 00:00,4,0,0
9/15/2016 00:00,3,0,0
9/16/2016 00:00,4,0,0
9/17/2016 00:00,1,0,0
9/18/2016 00:00,1,0,0
9/19/2016 00:00,4,0,0
9/20/2016 00:00,4,0,0
9/21/2016 00:00,5,0,0
9/22/2016 00:00,2,0,0
9/23/2016 00:00,18,0,0
9/24/2016 00:00,3,0,0
9/25/2016 00:00,1,0,0
9/26/2016 00:00,3,0,0
9/27/2016 00:00,4,0,0
9/28/2016 00:00,4,0,0
9/29/2016 00:00,5,0,0
9/30/2016 00:00,12,0,0
10/1/2016 00:00,7,0,0
10/2/2016 00:00,2,0,0
10/3/2016 00:00,4,0,0
10/4/2016 00:00,2,0,0
10/5/2016 00:00,2,0,0
10/6/2016 00:00,3,0,0
10/7/2016 00:00,2,0,0
10/8/2016 00:00,2,0,0
10/9/2016 00:00,1,0,0
10/10/2016 00:00,5,0,0
10/11/2016 00:00,7,0,0
10/12/2016 00:00,4,0,0
10/13/2016 00:00,3,0,0
10/14/2016 00:00,6,0,0
10/15/2016 00:00,4,0,0
10/16/2016 00:00,7,0,0
10/17/2016 00:00,5,0,0
10/18/2016 00:00,5,0,0
10/19/2016 00:00,6,0,0
10/20/2016 00:00,5,0,0
10/21/2016 00:00,6,0,0
10/22/2016 00:00,3,0,0
10/23/2016 00:00,6,0,0
10/24/2016 00:00,5,0,0
10/25/2016 00:00,9,0,0
10/26/2016 00:00,8,0,0
10/27/2016 00:00,13,0,0
10/28/2016 00:00,56184,0,0
10/29/2016 00:00,62924,0,0
10/30/2016 00:00,69776,0,0
10/31/2016 00:00,56876,0,0
11/1/2016 00:00,52246,0,0
11/2/2016 00:00,51756,0,0
11/3/2016 00:00,51145,0,0
11/4/2016 00:00,49910,0,0
11/5/2016 00:00,59738,0,0
11/6/2016 00:00,65949,0,0
11/7/2016 00:00,52754,0,0
11/8/2016 00:00,43623,0,0
11/9/2016 00:00,38626,0,0
11/10/2016 00:00,37467,0,0
11/11/2016 00:00,42824,0,0
11/12/2016 00:00,51351,0,0
11/13/2016 00:00,54677,0,0
11/14/2016 00:00,44905,0,0
11/15/2016 00:00,35319,0,0
11/16/2016 00:00,33074,0,0
11/17/2016 00:00,28978,0,0
11/18/2016 00:00,31456,0,0
11/19/2016 00:00,39895,0,0
11/20/2016 00:00,43219,0,0
11/21/2016 00:00,35144,0,0
11/22/2016 00:00,29330,0,0
11/23/2016 00:00,29073,0,0
11/24/2016 00:00,28651,0,0
11/25/2016 00:00,29695,0,0
11/26/2016 00:00,32853,0,0
11/27/2016 00:00,35249,0,0
11/28/2016 00:00,29264,0,0
11/29/2016 00:00,22622,0,0
11/30/2016 00:00,21518,0,0
12/1/2016 00:00,20913,0,0
12/2/2016 00:00,21542,0,0
12/3/2016 00:00,28369,0,0
12/4/2016 00:00,30520,0,0
12/5/2016 00:00,25231,0,0
12/6/2016 00:00,19840,0,0
12/7/2016 00:00,19110,0,0
12/8/2016 00:00,18828,0,0
12/9/2016 00:00,19682,0,0
12/10/2016 00:00,25826,0,0
12/11/2016 00:00,28018,0,0
12/12/2016 00:00,23173,0,0
12/13/2016 00:00,18125,0,0
12/14/2016 00:00,17343,0,0
12/15/2016 00:00,17357,0,0
12/16/2016 00:00,17879,0,0
12/17/2016 00:00,22612,0,0
12/18/2016 00:00,24516,0,0
12/19/2016 00:00,20891,0,0
12/20/2016 00:00,18426,0,0
12/21/2016 00:00,18000,0,0
12/22/2016 00:00,17915,0,0
12/23/2016 00:00,16473,0,0
12/24/2016 00:00,16909,0,0
12/25/2016 00:00,17434,0,0
12/26/2016 00:00,20212,0,0
12/27/2016 00:00,19569,0,0
12/28/2016 00:00,19328,0,0
12/29/2016 00:00,19560,0,0
12/30/2016 00:00,19629,0,0
12/31/2016 00:00,18671,0,0
1/1/2017 00:00,22083,0,0
1/2/2017 00:00,22827,0,0
1/3/2017 00:00,20607,0,0
1/4/2017 00:00,17262,0,0
1/5/2017 00:00,16833,0,0
1/6/2017 00:00,15458,0,0
1/7/2017 00:00,21798,0,0
1/8/2017 00:00,22378,0,0
1/9/2017 00:00,15167,0,0
1/10/2017 00:00,14745,0,0
1/11/2017 00:00,13807,0,0
1/12/2017 00:00,14079,0,0
1/13/2017 00:00,15281,0,0
1/14/2017 00:00,19740,0,0
1/15/2017 00:00,21336,0,0
1/16/2017 00:00,18148,0,0
1/17/2017 00:00,15628,0,0
1/18/2017 00:00,13953,0,0
1/19/2017 00:00,13501,0,0
1/20/2017 00:00,14327,0,0
1/21/2017 00:00,18622,0,0
1/22/2017 00:00,20535,0,0
1/23/2017 00:00,16923,0,0
1/24/2017 00:00,13051,0,0
1/25/2017 00:00,12467,0,0
1/26/2017 00:00,12499,0,0
1/27/2017 00:00,12977,0,0
