DateTime,Players,Flags,Twitch Viewers
6/7/2014 00:00,,0,
4/27/2015 00:00,1,0,
4/28/2015 00:00,1,0,
4/29/2015 00:00,,0,
4/30/2015 00:00,,0,
5/1/2015 00:00,92268,0,
5/2/2015 00:00,,0,
5/3/2015 00:00,,0,
5/4/2015 00:00,1,0,
5/5/2015 00:00,1,0,
5/6/2015 00:00,1,0,
5/7/2015 00:00,3,0,
5/8/2015 00:00,2,0,
5/9/2015 00:00,2,0,
5/10/2015 00:00,,0,
5/11/2015 00:00,3,0,
5/12/2015 00:00,3,0,
5/13/2015 00:00,3,0,
5/14/2015 00:00,3,0,
5/15/2015 00:00,2,0,
5/16/2015 00:00,1,0,
5/17/2015 00:00,2,0,
5/18/2015 00:00,3,0,
5/19/2015 00:00,89906,0,
5/20/2015 00:00,82937,0,
5/21/2015 00:00,80432,0,
5/22/2015 00:00,77046,0,
5/23/2015 00:00,85426,0,
5/24/2015 00:00,92266,0,
5/25/2015 00:00,88948,0,
5/26/2015 00:00,72340,0,
5/27/2015 00:00,66933,0,
5/28/2015 00:00,61896,0,
5/29/2015 00:00,57196,0,
5/30/2015 00:00,66551,0,
5/31/2015 00:00,73608,0,
6/1/2015 00:00,57107,0,
6/2/2015 00:00,50030,0,
6/3/2015 00:00,46325,0,
6/4/2015 00:00,45326,0,
6/5/2015 00:00,42861,0,
6/6/2015 00:00,49586,0,
6/7/2015 00:00,55353,0,
6/8/2015 00:00,43099,0,
6/9/2015 00:00,38844,0,
6/10/2015 00:00,35526,0,
6/11/2015 00:00,32564,0,
6/12/2015 00:00,30957,0,
6/13/2015 00:00,37403,0,
6/14/2015 00:00,41739,0,
6/15/2015 00:00,32152,0,
6/16/2015 00:00,29010,0,
6/17/2015 00:00,27900,0,
6/18/2015 00:00,26649,0,
6/19/2015 00:00,25222,0,
6/20/2015 00:00,30369,0,
6/21/2015 00:00,34033,0,
6/22/2015 00:00,26667,0,
6/23/2015 00:00,24177,0,
6/24/2015 00:00,23038,0,
6/25/2015 00:00,21290,0,
6/26/2015 00:00,19912,0,
6/27/2015 00:00,24680,0,
6/28/2015 00:00,27939,0,
6/29/2015 00:00,21590,0,
6/30/2015 00:00,18462,0,
7/1/2015 00:00,18146,0,
7/2/2015 00:00,16755,0,
7/3/2015 00:00,17473,0,
7/4/2015 00:00,18935,0,
7/5/2015 00:00,22147,0,
7/6/2015 00:00,17968,0,
7/7/2015 00:00,16126,0,
7/8/2015 00:00,14753,0,
7/9/2015 00:00,14654,0,
7/10/2015 00:00,13833,0,
7/11/2015 00:00,16690,0,
7/12/2015 00:00,19655,0,
7/13/2015 00:00,15468,0,
7/14/2015 00:00,13659,0,
7/15/2015 00:00,12635,0,
7/16/2015 00:00,11857,0,
7/17/2015 00:00,11194,0,
7/18/2015 00:00,14531,0,
7/19/2015 00:00,18532,0,
7/20/2015 00:00,14304,0,
7/21/2015 00:00,13087,0,
7/22/2015 00:00,12593,0,
7/23/2015 00:00,12074,0,
7/24/2015 00:00,11458,0,
7/25/2015 00:00,14148,0,
7/26/2015 00:00,16623,0,
7/27/2015 00:00,12923,0,
7/28/2015 00:00,11901,0,
7/29/2015 00:00,10931,0,
7/30/2015 00:00,10334,0,
7/31/2015 00:00,9902,0,
8/1/2015 00:00,11949,0,
8/2/2015 00:00,13881,0,
8/3/2015 00:00,10978,0,
8/4/2015 00:00,10170,0,
8/5/2015 00:00,9317,0,
8/6/2015 00:00,8861,0,
8/7/2015 00:00,8865,0,
8/8/2015 00:00,11414,0,
8/9/2015 00:00,13573,0,
8/10/2015 00:00,10811,0,
8/11/2015 00:00,9982,0,
8/12/2015 00:00,9164,0,
8/13/2015 00:00,8944,0,
8/14/2015 00:00,8567,0,
8/15/2015 00:00,10933,0,
8/16/2015 00:00,12846,0,
8/17/2015 00:00,10606,0,
8/18/2015 00:00,10330,0,
8/19/2015 00:00,9728,0,
8/20/2015 00:00,9230,0,
8/21/2015 00:00,8905,0,
8/22/2015 00:00,10778,0,
8/23/2015 00:00,12298,0,
8/24/2015 00:00,9734,0,
8/25/2015 00:00,9029,0,
8/26/2015 00:00,8221,0,
8/27/2015 00:00,8222,0,
8/28/2015 00:00,7926,0,
8/29/2015 00:00,9532,0,
8/30/2015 00:00,11076,0,
8/31/2015 00:00,8534,0,
9/1/2015 00:00,7351,0,
9/2/2015 00:00,6951,0,
9/3/2015 00:00,6952,0,
9/4/2015 00:00,7159,0,
9/5/2015 00:00,8844,0,
9/6/2015 00:00,10182,0,
9/7/2015 00:00,9510,0,
9/8/2015 00:00,7533,0,
9/9/2015 00:00,7158,0,
9/10/2015 00:00,7131,0,
9/11/2015 00:00,8037,0,
9/12/2015 00:00,11064,0,
9/13/2015 00:00,13692,0,
9/14/2015 00:00,10850,0,
9/15/2015 00:00,10229,0,
9/16/2015 00:00,9963,0,
9/17/2015 00:00,9752,0,
9/18/2015 00:00,9418,0,
9/19/2015 00:00,11537,0,
9/20/2015 00:00,12898,0,
9/21/2015 00:00,9745,0,
9/22/2015 00:00,9139,0,
9/23/2015 00:00,8537,0,
9/24/2015 00:00,8206,0,
9/25/2015 00:00,8045,0,
9/26/2015 00:00,10066,0,
9/27/2015 00:00,11627,0,
9/28/2015 00:00,8709,0,
9/29/2015 00:00,8193,0,
9/30/2015 00:00,7777,0,
10/1/2015 00:00,7585,0,
10/2/2015 00:00,7671,0,
10/3/2015 00:00,10077,0,
10/4/2015 00:00,11197,0,
10/5/2015 00:00,8094,0,
10/6/2015 00:00,7852,0,
10/7/2015 00:00,7874,0,
10/8/2015 00:00,7170,0,
10/9/2015 00:00,7185,0,
10/10/2015 00:00,11026,0,
10/11/2015 00:00,12762,0,
10/12/2015 00:00,11051,0,
10/13/2015 00:00,19852,0,
10/14/2015 00:00,17762,0,
10/15/2015 00:00,16342,0,
10/16/2015 00:00,15518,0,
10/17/2015 00:00,18879,0,
10/18/2015 00:00,20711,0,
10/19/2015 00:00,14771,0,
10/20/2015 00:00,12795,0,
10/21/2015 00:00,11850,0,
10/22/2015 00:00,11526,0,
10/23/2015 00:00,11476,0,
10/24/2015 00:00,14803,0,
10/25/2015 00:00,16411,0,
10/26/2015 00:00,11406,0,
10/27/2015 00:00,10283,0,
10/28/2015 00:00,9691,0,
10/29/2015 00:00,9335,0,
10/30/2015 00:00,9508,0,
10/31/2015 00:00,12776,0,
11/1/2015 00:00,15197,0,
11/2/2015 00:00,11570,0,
11/3/2015 00:00,10608,0,
11/4/2015 00:00,10200,0,
11/5/2015 00:00,9634,0,
11/6/2015 00:00,9456,0,
11/7/2015 00:00,12605,0,
11/8/2015 00:00,13820,0,
11/9/2015 00:00,9696,0,
11/10/2015 00:00,7298,0,
11/11/2015 00:00,7544,0,
11/12/2015 00:00,7042,0,
11/13/2015 00:00,6945,0,
11/14/2015 00:00,9086,0,
11/15/2015 00:00,9877,0,
11/16/2015 00:00,6898,0,
11/17/2015 00:00,6553,0,
11/18/2015 00:00,6022,0,
11/19/2015 00:00,6007,0,
11/20/2015 00:00,6052,0,
11/21/2015 00:00,7925,0,
11/22/2015 00:00,8811,0,
11/23/2015 00:00,6134,0,
11/24/2015 00:00,5861,0,
11/25/2015 00:00,5800,0,
11/26/2015 00:00,7054,0,
11/27/2015 00:00,8740,0,
11/28/2015 00:00,11496,0,
11/29/2015 00:00,13584,0,
11/30/2015 00:00,10514,0,
12/1/2015 00:00,10327,0,
12/2/2015 00:00,10008,0,
12/3/2015 00:00,9642,0,
12/4/2015 00:00,10505,0,
12/5/2015 00:00,14202,0,
12/6/2015 00:00,15643,0,
12/7/2015 00:00,11565,0,
12/8/2015 00:00,11178,0,
12/9/2015 00:00,10262,0,
12/10/2015 00:00,10026,0,
12/11/2015 00:00,10079,0,
12/12/2015 00:00,12706,0,
12/13/2015 00:00,13756,0,
12/14/2015 00:00,10231,0,
12/15/2015 00:00,9508,0,
12/16/2015 00:00,9042,0,
12/17/2015 00:00,8529,0,
12/18/2015 00:00,8796,0,
12/19/2015 00:00,10820,0,
12/20/2015 00:00,12099,0,
12/21/2015 00:00,9836,0,
12/22/2015 00:00,9358,0,
12/23/2015 00:00,11297,0,
12/24/2015 00:00,11007,0,
12/25/2015 00:00,13370,0,
12/26/2015 00:00,16258,0,
12/27/2015 00:00,18457,0,
12/28/2015 00:00,17614,0,
12/29/2015 00:00,17668,0,
12/30/2015 00:00,17692,0,
12/31/2015 00:00,16496,0,
1/1/2016 00:00,21373,0,
1/2/2016 00:00,22043,0,
1/3/2016 00:00,23474,0,
1/4/2016 00:00,19812,0,
1/5/2016 00:00,18442,0,
1/6/2016 00:00,17659,0,
1/7/2016 00:00,16837,0,
1/8/2016 00:00,16489,0,
1/9/2016 00:00,20122,0,
1/10/2016 00:00,21154,0,
1/11/2016 00:00,15886,0,
1/12/2016 00:00,14415,0,
1/13/2016 00:00,13399,0,
1/14/2016 00:00,12966,0,
1/15/2016 00:00,13021,0,
1/16/2016 00:00,16695,0,
1/17/2016 00:00,17771,0,
1/18/2016 00:00,14520,0,
1/19/2016 00:00,11881,0,
1/20/2016 00:00,11453,0,
1/21/2016 00:00,11041,0,
1/22/2016 00:00,11531,0,
1/23/2016 00:00,15056,0,
