DateTime,Players,Flags,Twitch Viewers
9/11/2018 00:00,27514,,22368
9/12/2018 00:00,29026,,22145
9/13/2018 00:00,27490,,14866
9/14/2018 00:00,26630,,32498
9/15/2018 00:00,26326,,11951
9/16/2018 00:00,26514,,13292
9/17/2018 00:00,24438,,13042
9/18/2018 00:00,23714,,20123
9/19/2018 00:00,22991,,17863
9/20/2018 00:00,21695,,11776
9/21/2018 00:00,21327,,10735
9/22/2018 00:00,21163,,14338
9/23/2018 00:00,21359,,14746
9/24/2018 00:00,19798,,12702
9/25/2018 00:00,20134,,14388
9/26/2018 00:00,19468,,15177
9/27/2018 00:00,19197,,12506
9/28/2018 00:00,19048,,17270
9/29/2018 00:00,19609,,7296
9/30/2018 00:00,18285,,12571
10/1/2018 00:00,17442,,10958
10/2/2018 00:00,16655,,20039
10/3/2018 00:00,16468,,19382
10/4/2018 00:00,16404,,17616
10/5/2018 00:00,17124,,8047
10/6/2018 00:00,18225,,11762
10/7/2018 00:00,18358,,14242
10/8/2018 00:00,16956,,13459
10/9/2018 00:00,17294,,15325
10/10/2018 00:00,16824,,17418
10/11/2018 00:00,16693,,19772
10/12/2018 00:00,18168,,7928
10/13/2018 00:00,18258,,29784
10/14/2018 00:00,17095,,15393
10/15/2018 00:00,16836,,13284
10/16/2018 00:00,16422,,11064
10/17/2018 00:00,16547,,10351
10/18/2018 00:00,17555,,12597
10/19/2018 00:00,18270,,11374
10/20/2018 00:00,19171,,10241
10/21/2018 00:00,19559,,8512
10/22/2018 00:00,18482,,14328
10/23/2018 00:00,18492,,7348
10/24/2018 00:00,18179,,10904
10/25/2018 00:00,18116,,6098
10/26/2018 00:00,18717,,6223
10/27/2018 00:00,18398,,5580
10/28/2018 00:00,17819,,8834
10/29/2018 00:00,16840,,6974
10/30/2018 00:00,16989,,8259
10/31/2018 00:00,16699,,8347
11/1/2018 00:00,17697,,8014
11/2/2018 00:00,17770,,5669
11/3/2018 00:00,17568,,14858
11/4/2018 00:00,17189,,7391
11/5/2018 00:00,16105,,7333
11/6/2018 00:00,15981,,6385
11/7/2018 00:00,15809,,7826
11/8/2018 00:00,16127,,8293
11/9/2018 00:00,16120,,7268
11/10/2018 00:00,17636,,13191
11/11/2018 00:00,16924,,8863
11/12/2018 00:00,16264,,16634
11/13/2018 00:00,16116,,9773
11/14/2018 00:00,16412,,6186
11/15/2018 00:00,15957,,5435
11/16/2018 00:00,18210,,6743
11/17/2018 00:00,20546,,7828
11/18/2018 00:00,20140,,7267
11/19/2018 00:00,18311,,7016
11/20/2018 00:00,19097,,9694
11/21/2018 00:00,19108,,7983
11/22/2018 00:00,19740,,6433
11/23/2018 00:00,19656,,6980
11/24/2018 00:00,20826,,7632
11/25/2018 00:00,20571,,5308
11/26/2018 00:00,19666,,9919
11/27/2018 00:00,19837,,8549
11/28/2018 00:00,19709,,11373
11/29/2018 00:00,19702,,6516
11/30/2018 00:00,20099,,8765
12/1/2018 00:00,21358,,13426
12/2/2018 00:00,20282,,13017
12/3/2018 00:00,18957,,8458
12/4/2018 00:00,18646,,7939
12/5/2018 00:00,18229,,20434
12/6/2018 00:00,18689,,10044
12/7/2018 00:00,18497,,7572
12/8/2018 00:00,19698,,9143
12/9/2018 00:00,19069,,10542
12/10/2018 00:00,18087,,6191
12/11/2018 00:00,17610,,10918
12/12/2018 00:00,17336,,7416
12/13/2018 00:00,17405,,7388
12/14/2018 00:00,17734,,6027
12/15/2018 00:00,18683,,9239
12/16/2018 00:00,18232,,6989
12/17/2018 00:00,17094,,13499
12/18/2018 00:00,17517,,6618
12/19/2018 00:00,17491,,6550
12/20/2018 00:00,16996,,6467
12/21/2018 00:00,17798,,4551
12/22/2018 00:00,19942,,4326
12/23/2018 00:00,19224,,5604
12/24/2018 00:00,18967,,8407
