DateTime,Players,Flags,Twitch Viewers
2/18/2018 00:00,1,,
2/19/2018 00:00,1,,
2/20/2018 00:00,1,,
2/21/2018 00:00,,,
2/22/2018 00:00,,,
2/23/2018 00:00,,,
2/24/2018 00:00,,,
2/25/2018 00:00,,,
2/26/2018 00:00,,,
2/27/2018 00:00,,,
2/28/2018 00:00,,,
3/1/2018 00:00,,,
3/2/2018 00:00,,,
3/3/2018 00:00,,,
3/4/2018 00:00,,,
3/5/2018 00:00,,,
3/6/2018 00:00,,,
3/7/2018 00:00,,,
3/8/2018 00:00,,,
3/9/2018 00:00,1,,
3/10/2018 00:00,1,,
3/11/2018 00:00,1,,
3/12/2018 00:00,1,,
3/13/2018 00:00,1,,
3/14/2018 00:00,,,
3/15/2018 00:00,,,
3/16/2018 00:00,,,
3/17/2018 00:00,,,
3/18/2018 00:00,,,
3/19/2018 00:00,,,
3/20/2018 00:00,2,,
3/21/2018 00:00,,,
3/22/2018 00:00,2,,
3/23/2018 00:00,2,,
3/24/2018 00:00,1,,
3/25/2018 00:00,2,,
3/26/2018 00:00,2,,
3/27/2018 00:00,2,,
3/28/2018 00:00,2,,
3/29/2018 00:00,,,
3/30/2018 00:00,,,
3/31/2018 00:00,,,
4/1/2018 00:00,,,
4/2/2018 00:00,,,
4/3/2018 00:00,,,
4/4/2018 00:00,,,
4/5/2018 00:00,,,
4/6/2018 00:00,,,
4/7/2018 00:00,,,
4/8/2018 00:00,,,
4/9/2018 00:00,,,
4/10/2018 00:00,,,
4/11/2018 00:00,,,
4/12/2018 00:00,,,
4/13/2018 00:00,,,
4/14/2018 00:00,,,
4/15/2018 00:00,,,
4/16/2018 00:00,,,
4/17/2018 00:00,,,
4/18/2018 00:00,,,
4/19/2018 00:00,,,
4/20/2018 00:00,,,
4/21/2018 00:00,,,
4/22/2018 00:00,,,
4/23/2018 00:00,,,
4/24/2018 00:00,,,
4/25/2018 00:00,,,
4/26/2018 00:00,,,
4/27/2018 00:00,,,
4/28/2018 00:00,,,
4/29/2018 00:00,,,
4/30/2018 00:00,,,
5/1/2018 00:00,1115,,3932
5/2/2018 00:00,912,,4522
5/3/2018 00:00,942,,5118
5/4/2018 00:00,874,,4769
5/5/2018 00:00,969,,1941
5/6/2018 00:00,940,,1199
5/7/2018 00:00,805,,11825
5/8/2018 00:00,796,,3519
5/9/2018 00:00,678,,1590
5/10/2018 00:00,712,,541
5/11/2018 00:00,720,,2470
5/12/2018 00:00,965,,36513
5/13/2018 00:00,856,,16207
5/14/2018 00:00,722,,2265
5/15/2018 00:00,737,,2402
5/16/2018 00:00,690,,2555
5/17/2018 00:00,707,,8825
5/18/2018 00:00,933,,4936
5/19/2018 00:00,1216,,8058
5/20/2018 00:00,1157,,3511
5/21/2018 00:00,992,,13859
5/22/2018 00:00,977,,18385
5/23/2018 00:00,968,,2315
5/24/2018 00:00,1018,,1492
5/25/2018 00:00,1006,,4469
5/26/2018 00:00,1179,,4144
5/27/2018 00:00,1196,,3107
5/28/2018 00:00,1213,,10262
5/29/2018 00:00,1162,,3658
5/30/2018 00:00,1047,,6097
5/31/2018 00:00,1060,,11967
6/1/2018 00:00,1138,,13543
6/2/2018 00:00,1457,,2682
6/3/2018 00:00,1409,,1249
6/4/2018 00:00,1187,,4072
6/5/2018 00:00,1107,,1731
6/6/2018 00:00,1084,,3312
6/7/2018 00:00,1079,,3125
6/8/2018 00:00,1280,,3119
6/9/2018 00:00,1504,,4104
6/10/2018 00:00,1528,,7190
6/11/2018 00:00,1310,,2588
6/12/2018 00:00,1115,,2961
6/13/2018 00:00,1113,,2498
6/14/2018 00:00,1158,,518
6/15/2018 00:00,1215,,2502
6/16/2018 00:00,1368,,1172
6/17/2018 00:00,1443,,1371
6/18/2018 00:00,1177,,12039
6/19/2018 00:00,1165,,2807
6/20/2018 00:00,1157,,2974
6/21/2018 00:00,1171,,2417
6/22/2018 00:00,1309,,1798
6/23/2018 00:00,1483,,3701
6/24/2018 00:00,1473,,6024
6/25/2018 00:00,1241,,2378
6/26/2018 00:00,1201,,899
6/27/2018 00:00,1160,,4104
6/28/2018 00:00,1182,,1891
6/29/2018 00:00,1175,,3994
6/30/2018 00:00,1418,,1360
7/1/2018 00:00,1487,,2773
7/2/2018 00:00,1181,,1986
7/3/2018 00:00,1161,,1090
7/4/2018 00:00,1350,,2409
7/5/2018 00:00,1329,,1730
7/6/2018 00:00,1183,,7203
7/7/2018 00:00,1359,,11844
7/8/2018 00:00,1418,,3498
7/9/2018 00:00,1136,,1067
7/10/2018 00:00,1174,,7274
7/11/2018 00:00,1122,,1794
7/12/2018 00:00,1165,,2860
7/13/2018 00:00,1215,,6195
7/14/2018 00:00,1370,,3414
7/15/2018 00:00,1408,,2244
7/16/2018 00:00,1178,,5269
7/17/2018 00:00,1115,,4860
7/18/2018 00:00,1131,,3670
7/19/2018 00:00,1154,,4149
7/20/2018 00:00,1212,,1671
7/21/2018 00:00,1480,,1692
7/22/2018 00:00,1439,,6934
7/23/2018 00:00,1235,,3108
7/24/2018 00:00,1181,,3400
7/25/2018 00:00,1173,,5278
7/26/2018 00:00,1169,,4989
7/27/2018 00:00,1201,,3578
7/28/2018 00:00,1415,,1552
7/29/2018 00:00,1483,,890
7/30/2018 00:00,1229,,5138
7/31/2018 00:00,1204,,2348
8/1/2018 00:00,1207,,1606
8/2/2018 00:00,1172,,6161
8/3/2018 00:00,1255,,3073
8/4/2018 00:00,1472,,1035
8/5/2018 00:00,1486,,735
8/6/2018 00:00,1295,,2729
8/7/2018 00:00,1211,,3837
8/8/2018 00:00,1194,,8721
8/9/2018 00:00,1244,,12767
8/10/2018 00:00,1294,,2665
8/11/2018 00:00,1530,,7030
8/12/2018 00:00,1534,,7158
8/13/2018 00:00,1252,,3464
8/14/2018 00:00,1201,,3384
8/15/2018 00:00,1199,,2147
8/16/2018 00:00,1215,,1087
8/17/2018 00:00,1323,,2937
8/18/2018 00:00,1521,,659
8/19/2018 00:00,1556,,2676
8/20/2018 00:00,1252,,329
8/21/2018 00:00,1174,,2922
8/22/2018 00:00,1125,,2064
8/23/2018 00:00,1223,,2541
8/24/2018 00:00,1278,,3798
8/25/2018 00:00,1519,,3115
8/26/2018 00:00,1521,,2111
8/27/2018 00:00,1254,,4274
8/28/2018 00:00,1145,,2248
8/29/2018 00:00,1118,,2037
8/30/2018 00:00,1064,,1824
8/31/2018 00:00,1249,,2171
9/1/2018 00:00,1535,,4895
9/2/2018 00:00,1501,,472
9/3/2018 00:00,1410,,4974
9/4/2018 00:00,1197,,6974
9/5/2018 00:00,1048,,2396
9/6/2018 00:00,1024,,793
9/7/2018 00:00,1160,,792
9/8/2018 00:00,1470,,5379
9/9/2018 00:00,1417,,2978
9/10/2018 00:00,1097,,6089
9/11/2018 00:00,1041,,1294
9/12/2018 00:00,1046,,950
9/13/2018 00:00,1040,,4373
9/14/2018 00:00,1178,,2263
9/15/2018 00:00,1477,,673
9/16/2018 00:00,1419,,631
9/17/2018 00:00,1087,,583
9/18/2018 00:00,1013,,2597
9/19/2018 00:00,1009,,777
9/20/2018 00:00,1015,,1107
9/21/2018 00:00,1192,,711
9/22/2018 00:00,1494,,882
9/23/2018 00:00,1477,,6223
9/24/2018 00:00,1106,,3836
9/25/2018 00:00,1025,,10181
9/26/2018 00:00,991,,1478
9/27/2018 00:00,992,,2100
9/28/2018 00:00,1168,,1683
9/29/2018 00:00,1487,,3351
9/30/2018 00:00,1434,,697
10/1/2018 00:00,1100,,2319
10/2/2018 00:00,983,,2261
10/3/2018 00:00,982,,512
10/4/2018 00:00,1026,,3037
10/5/2018 00:00,1207,,2599
10/6/2018 00:00,1528,,963
10/7/2018 00:00,1414,,2690
10/8/2018 00:00,1152,,2354
10/9/2018 00:00,973,,1532
10/10/2018 00:00,952,,3114
10/11/2018 00:00,980,,2112
10/12/2018 00:00,1229,,1765
10/13/2018 00:00,1526,,1254
10/14/2018 00:00,1407,,2755
10/15/2018 00:00,959,,948
10/16/2018 00:00,930,,1820
10/17/2018 00:00,997,,1266
10/18/2018 00:00,982,,802
10/19/2018 00:00,1189,,472
10/20/2018 00:00,1521,,2961
10/21/2018 00:00,1375,,3654
10/22/2018 00:00,1031,,1786
10/23/2018 00:00,924,,2635
10/24/2018 00:00,954,,1161
10/25/2018 00:00,984,,2884
10/26/2018 00:00,1240,,2503
10/27/2018 00:00,1483,,2335
10/28/2018 00:00,1386,,949
10/29/2018 00:00,1030,,862
10/30/2018 00:00,978,,781
10/31/2018 00:00,1021,,5092
11/1/2018 00:00,1054,,3995
11/2/2018 00:00,1282,,2215
11/3/2018 00:00,1583,,1948
11/4/2018 00:00,1481,,3335
11/5/2018 00:00,1059,,4677
11/6/2018 00:00,988,,350
11/7/2018 00:00,917,,473
11/8/2018 00:00,960,,859
11/9/2018 00:00,1238,,1996
11/10/2018 00:00,1590,,3651
11/11/2018 00:00,1707,,1709
11/12/2018 00:00,1204,,3405
11/13/2018 00:00,1072,,2181
11/14/2018 00:00,1112,,1670
11/15/2018 00:00,1047,,3930
11/16/2018 00:00,1234,,2098
11/17/2018 00:00,1664,,1092
11/18/2018 00:00,1522,,765
11/19/2018 00:00,1150,,2636
11/20/2018 00:00,1109,,2646
11/21/2018 00:00,1182,,1299
11/22/2018 00:00,1642,,1747
11/23/2018 00:00,1811,,902
11/24/2018 00:00,1869,,5736
11/25/2018 00:00,1863,,5602
11/26/2018 00:00,1334,,1885
11/27/2018 00:00,1388,,2339
11/28/2018 00:00,1441,,3386
11/29/2018 00:00,1468,,2822
11/30/2018 00:00,1743,,965
12/1/2018 00:00,2197,,2318
12/2/2018 00:00,2062,,1512
12/3/2018 00:00,1586,,5670
12/4/2018 00:00,1421,,1307
12/5/2018 00:00,1422,,2204
