DateTime,Players,Flags,Twitch Viewers
4/1/2015 00:00,1997,,
4/2/2015 00:00,,,
4/3/2015 00:00,,,
4/4/2015 00:00,,,
4/5/2015 00:00,,,
4/6/2015 00:00,,,
4/7/2015 00:00,,,
4/8/2015 00:00,,,
4/9/2015 00:00,,,
4/10/2015 00:00,,,
4/11/2015 00:00,,,
4/12/2015 00:00,,,
4/13/2015 00:00,,,
4/14/2015 00:00,,,
4/15/2015 00:00,,,
4/16/2015 00:00,,,
4/17/2015 00:00,,,
4/18/2015 00:00,,,
4/19/2015 00:00,,,
4/20/2015 00:00,,,
4/21/2015 00:00,,,
4/22/2015 00:00,,,
4/23/2015 00:00,,,
4/24/2015 00:00,,,
4/25/2015 00:00,,,
4/26/2015 00:00,,,
4/27/2015 00:00,1215,,
4/28/2015 00:00,1911,,
4/29/2015 00:00,2000,,
4/30/2015 00:00,1901,,
5/1/2015 00:00,1977,,
5/2/2015 00:00,1904,,
5/3/2015 00:00,2054,,
5/4/2015 00:00,1803,,
5/5/2015 00:00,1686,,
5/6/2015 00:00,1512,,
5/7/2015 00:00,1264,,
5/8/2015 00:00,1183,,
5/9/2015 00:00,1214,,
5/10/2015 00:00,1130,,
5/11/2015 00:00,1028,,
5/12/2015 00:00,959,,
5/13/2015 00:00,894,,
5/14/2015 00:00,952,,
5/15/2015 00:00,996,,
5/16/2015 00:00,944,,
5/17/2015 00:00,963,,
5/18/2015 00:00,833,,
5/19/2015 00:00,785,,
5/20/2015 00:00,714,,
5/21/2015 00:00,712,,
5/22/2015 00:00,737,,
5/23/2015 00:00,781,,
5/24/2015 00:00,721,,
5/25/2015 00:00,751,,
5/26/2015 00:00,1338,,
5/27/2015 00:00,1141,,
5/28/2015 00:00,994,,
5/29/2015 00:00,922,,
5/30/2015 00:00,958,,
5/31/2015 00:00,988,,
6/1/2015 00:00,833,,
6/2/2015 00:00,753,,
6/3/2015 00:00,827,,
6/4/2015 00:00,733,,
6/5/2015 00:00,705,,
6/6/2015 00:00,700,,
6/7/2015 00:00,699,,
6/8/2015 00:00,701,,
6/9/2015 00:00,648,,
6/10/2015 00:00,596,,
6/11/2015 00:00,618,,
6/12/2015 00:00,658,,
6/13/2015 00:00,686,,
6/14/2015 00:00,788,,
6/15/2015 00:00,722,,
6/16/2015 00:00,778,,
6/17/2015 00:00,1085,,
6/18/2015 00:00,961,,
6/19/2015 00:00,883,,
6/20/2015 00:00,890,,
6/21/2015 00:00,990,,
6/22/2015 00:00,974,,
6/23/2015 00:00,879,,
6/24/2015 00:00,817,,
6/25/2015 00:00,749,,
6/26/2015 00:00,734,,
6/27/2015 00:00,816,,
6/28/2015 00:00,796,,
6/29/2015 00:00,1499,,
6/30/2015 00:00,1361,,
7/1/2015 00:00,1228,,
7/2/2015 00:00,1183,,
7/3/2015 00:00,1089,,
7/4/2015 00:00,1001,,
7/5/2015 00:00,1139,,
7/6/2015 00:00,1073,,
7/7/2015 00:00,1053,,
7/8/2015 00:00,1071,,
7/9/2015 00:00,1050,,
7/10/2015 00:00,886,,
7/11/2015 00:00,894,,
7/12/2015 00:00,998,,
7/13/2015 00:00,914,,
7/14/2015 00:00,884,,
7/15/2015 00:00,870,,
7/16/2015 00:00,799,,
7/17/2015 00:00,786,,
7/18/2015 00:00,787,,
7/19/2015 00:00,863,,
7/20/2015 00:00,788,,
7/21/2015 00:00,765,,
7/22/2015 00:00,770,,
7/23/2015 00:00,735,,
7/24/2015 00:00,677,,
7/25/2015 00:00,738,,
7/26/2015 00:00,810,,
7/27/2015 00:00,787,,
7/28/2015 00:00,704,,
7/29/2015 00:00,701,,
7/30/2015 00:00,701,,
7/31/2015 00:00,614,,
8/1/2015 00:00,634,,
8/2/2015 00:00,708,,
8/3/2015 00:00,1677,,
8/4/2015 00:00,1532,,
8/5/2015 00:00,1270,,
8/6/2015 00:00,1102,,
8/7/2015 00:00,998,,
8/8/2015 00:00,1050,,
8/9/2015 00:00,1032,,
8/10/2015 00:00,978,,
8/11/2015 00:00,915,,
8/12/2015 00:00,823,,
8/13/2015 00:00,815,,
8/14/2015 00:00,738,,
8/15/2015 00:00,814,,
8/16/2015 00:00,900,,
8/17/2015 00:00,891,,
8/18/2015 00:00,775,,
8/19/2015 00:00,768,,
8/20/2015 00:00,752,,
8/21/2015 00:00,684,,
8/22/2015 00:00,761,,
8/23/2015 00:00,823,,
8/24/2015 00:00,831,,
8/25/2015 00:00,1462,,
8/26/2015 00:00,1258,,
8/27/2015 00:00,1219,,
8/28/2015 00:00,1172,,
8/29/2015 00:00,1139,,
8/30/2015 00:00,1188,,
8/31/2015 00:00,1181,,
9/1/2015 00:00,1090,,
9/2/2015 00:00,1008,,
9/3/2015 00:00,917,,
9/4/2015 00:00,857,,
9/5/2015 00:00,941,,
9/6/2015 00:00,1010,,
9/7/2015 00:00,1034,,
9/8/2015 00:00,964,,
9/9/2015 00:00,818,,
9/10/2015 00:00,797,,
9/11/2015 00:00,841,,
9/12/2015 00:00,861,,
9/13/2015 00:00,907,,
9/14/2015 00:00,833,,
9/15/2015 00:00,768,,
9/16/2015 00:00,741,,
9/17/2015 00:00,736,,
9/18/2015 00:00,746,,
9/19/2015 00:00,747,,
9/20/2015 00:00,833,,
9/21/2015 00:00,373,,
9/22/2015 00:00,731,,
9/23/2015 00:00,767,,
9/24/2015 00:00,746,,
9/25/2015 00:00,735,,
9/26/2015 00:00,745,,
9/27/2015 00:00,764,,
9/28/2015 00:00,421,,
9/29/2015 00:00,728,,
9/30/2015 00:00,1478,,
10/1/2015 00:00,1602,,
10/2/2015 00:00,1522,,
10/3/2015 00:00,1568,,
10/4/2015 00:00,1545,,
10/5/2015 00:00,1500,,
10/6/2015 00:00,1351,,
10/7/2015 00:00,1301,,
10/8/2015 00:00,1040,,
10/9/2015 00:00,1126,,
10/10/2015 00:00,1219,,
10/11/2015 00:00,1227,,
10/12/2015 00:00,1126,,
10/13/2015 00:00,1026,,
10/14/2015 00:00,1030,,
10/15/2015 00:00,1032,,
10/16/2015 00:00,1044,,
10/17/2015 00:00,1124,,
10/18/2015 00:00,1205,,
10/19/2015 00:00,1055,,
10/20/2015 00:00,971,,
10/21/2015 00:00,974,,
10/22/2015 00:00,952,,
10/23/2015 00:00,1265,,
10/24/2015 00:00,1534,,
10/25/2015 00:00,1709,,
10/26/2015 00:00,1686,,
10/27/2015 00:00,1452,,
10/28/2015 00:00,1330,,
10/29/2015 00:00,830,,
10/30/2015 00:00,1151,,
10/31/2015 00:00,1202,,
11/1/2015 00:00,1295,,
11/2/2015 00:00,1542,,
11/3/2015 00:00,1654,,
11/4/2015 00:00,1640,,
11/5/2015 00:00,1599,,
11/6/2015 00:00,1501,,
11/7/2015 00:00,1680,,
11/8/2015 00:00,1669,,
11/9/2015 00:00,1420,,
11/10/2015 00:00,1290,,
11/11/2015 00:00,1256,,
11/12/2015 00:00,1286,,
11/13/2015 00:00,1199,,
11/14/2015 00:00,1317,,
11/15/2015 00:00,1369,,
11/16/2015 00:00,1203,,
11/17/2015 00:00,1179,,
11/18/2015 00:00,1150,,
11/19/2015 00:00,1139,,
11/20/2015 00:00,1174,,
11/21/2015 00:00,1264,,
11/22/2015 00:00,1284,,
11/23/2015 00:00,1090,,
11/24/2015 00:00,1072,,
11/25/2015 00:00,1034,,
11/26/2015 00:00,1111,,
11/27/2015 00:00,1147,,
11/28/2015 00:00,1329,,
11/29/2015 00:00,1341,,
11/30/2015 00:00,1234,,
12/1/2015 00:00,1237,,
12/2/2015 00:00,1147,,
12/3/2015 00:00,1116,,
12/4/2015 00:00,1237,,
12/5/2015 00:00,1244,,
12/6/2015 00:00,1236,,
12/7/2015 00:00,2138,,
12/8/2015 00:00,2692,,
12/9/2015 00:00,2403,,
12/10/2015 00:00,2270,,
12/11/2015 00:00,2174,,
12/12/2015 00:00,2515,,
12/13/2015 00:00,2430,,
12/14/2015 00:00,2262,,
12/15/2015 00:00,1967,,
12/16/2015 00:00,1894,,
12/17/2015 00:00,1833,,
12/18/2015 00:00,1862,,
12/19/2015 00:00,2041,,
12/20/2015 00:00,2167,,
12/21/2015 00:00,1882,,
12/22/2015 00:00,1758,,
12/23/2015 00:00,1800,,
12/24/2015 00:00,1670,,
12/25/2015 00:00,1947,,
12/26/2015 00:00,2016,,
12/27/2015 00:00,2191,,
12/28/2015 00:00,1990,,
12/29/2015 00:00,1937,,
12/30/2015 00:00,1968,,
12/31/2015 00:00,1946,,
1/1/2016 00:00,1785,,
1/2/2016 00:00,2017,,
1/3/2016 00:00,1993,,
1/4/2016 00:00,1742,,
1/5/2016 00:00,1633,,
1/6/2016 00:00,1566,,
1/7/2016 00:00,1645,,
1/8/2016 00:00,1653,,
1/9/2016 00:00,1906,,
1/10/2016 00:00,1958,,
1/11/2016 00:00,1582,,
1/12/2016 00:00,1624,,
1/13/2016 00:00,1511,,
1/14/2016 00:00,1552,,
1/15/2016 00:00,1551,,
1/16/2016 00:00,1710,,
1/17/2016 00:00,1761,,
1/18/2016 00:00,1464,,
1/19/2016 00:00,1417,,
1/20/2016 00:00,1401,,
1/21/2016 00:00,1330,,
1/22/2016 00:00,1470,,
1/23/2016 00:00,1727,,
1/24/2016 00:00,1755,,
1/25/2016 00:00,1538,,
1/26/2016 00:00,1406,,
1/27/2016 00:00,1384,,
1/28/2016 00:00,1349,,
1/29/2016 00:00,1366,,
1/30/2016 00:00,1579,,
1/31/2016 00:00,1559,,
2/1/2016 00:00,1358,,
2/2/2016 00:00,1460,,
2/3/2016 00:00,1465,,
2/4/2016 00:00,1452,,
2/5/2016 00:00,1372,,
2/6/2016 00:00,1587,,
2/7/2016 00:00,1633,,
2/8/2016 00:00,1494,,
2/9/2016 00:00,1435,,
2/10/2016 00:00,1386,,
2/11/2016 00:00,1409,,
2/12/2016 00:00,1414,,
2/13/2016 00:00,1612,,
2/14/2016 00:00,1572,,
2/15/2016 00:00,1540,,
2/16/2016 00:00,1308,,
2/17/2016 00:00,1249,,
2/18/2016 00:00,1300,,
2/19/2016 00:00,1258,,
2/20/2016 00:00,1445,,
2/21/2016 00:00,1475,,
2/22/2016 00:00,1314,,
2/23/2016 00:00,1272,,
2/24/2016 00:00,701,,
2/25/2016 00:00,1257,,
2/26/2016 00:00,1216,,
2/27/2016 00:00,1428,,
2/28/2016 00:00,1466,,
2/29/2016 00:00,1225,,
3/1/2016 00:00,1197,,
3/2/2016 00:00,1170,,
3/3/2016 00:00,1156,,
3/4/2016 00:00,1237,,
3/5/2016 00:00,1382,,
3/6/2016 00:00,1403,,
3/7/2016 00:00,1187,,
3/8/2016 00:00,1027,,
3/9/2016 00:00,1095,,
3/10/2016 00:00,1056,,
3/11/2016 00:00,577,,
3/12/2016 00:00,1275,,
3/13/2016 00:00,1223,,
3/14/2016 00:00,1093,,
3/15/2016 00:00,1071,,
3/16/2016 00:00,1012,,
3/17/2016 00:00,1036,,
3/18/2016 00:00,1101,,
3/19/2016 00:00,1225,,
3/20/2016 00:00,1240,,
3/21/2016 00:00,1083,,
3/22/2016 00:00,999,,
3/23/2016 00:00,1045,,
3/24/2016 00:00,1111,,
3/25/2016 00:00,1230,,
3/26/2016 00:00,1176,,
3/27/2016 00:00,1222,,
3/28/2016 00:00,1217,,
3/29/2016 00:00,1055,,
3/30/2016 00:00,1027,,
3/31/2016 00:00,1039,,
4/1/2016 00:00,1079,,
4/2/2016 00:00,1060,,
4/3/2016 00:00,1131,,
4/4/2016 00:00,1073,,
4/5/2016 00:00,1464,,
4/6/2016 00:00,1825,,
4/7/2016 00:00,1865,,
4/8/2016 00:00,1963,,
4/9/2016 00:00,2215,,
4/10/2016 00:00,2245,,
4/11/2016 00:00,2086,,
4/12/2016 00:00,1781,,
4/13/2016 00:00,1688,,
4/14/2016 00:00,1638,,
4/15/2016 00:00,1611,,
4/16/2016 00:00,1708,,
4/17/2016 00:00,1771,,
4/18/2016 00:00,1562,,
4/19/2016 00:00,1527,,
4/20/2016 00:00,1418,,
4/21/2016 00:00,1437,,
4/22/2016 00:00,1473,,
4/23/2016 00:00,1594,,
4/24/2016 00:00,1758,,
4/25/2016 00:00,1496,,
4/26/2016 00:00,1474,,
4/27/2016 00:00,1343,,
4/28/2016 00:00,1425,,
4/29/2016 00:00,1344,,
4/30/2016 00:00,1425,,
5/1/2016 00:00,1472,,
5/2/2016 00:00,1338,,
5/3/2016 00:00,1235,,
5/4/2016 00:00,1132,,
5/5/2016 00:00,1083,,
5/6/2016 00:00,1062,,
5/7/2016 00:00,1061,,
5/8/2016 00:00,1116,,
5/9/2016 00:00,1013,,
5/10/2016 00:00,1041,,
5/11/2016 00:00,1021,,
5/12/2016 00:00,1031,,
5/13/2016 00:00,1091,,
5/14/2016 00:00,1182,,
5/15/2016 00:00,1224,,
5/16/2016 00:00,1168,,
5/17/2016 00:00,1046,,
5/18/2016 00:00,964,,
5/19/2016 00:00,971,,
5/20/2016 00:00,978,,
5/21/2016 00:00,1011,,
5/22/2016 00:00,1090,,
5/23/2016 00:00,1057,,
5/24/2016 00:00,937,,
5/25/2016 00:00,952,,
5/26/2016 00:00,893,,
5/27/2016 00:00,860,,
5/28/2016 00:00,883,,
5/29/2016 00:00,1030,,
5/30/2016 00:00,999,,
5/31/2016 00:00,897,,
6/1/2016 00:00,865,,
6/2/2016 00:00,866,,
6/3/2016 00:00,881,,
6/4/2016 00:00,898,,
6/5/2016 00:00,970,,
6/6/2016 00:00,828,,
6/7/2016 00:00,837,,
6/8/2016 00:00,825,,
6/9/2016 00:00,843,,
6/10/2016 00:00,1057,,
6/11/2016 00:00,1437,,
6/12/2016 00:00,1605,,
6/13/2016 00:00,1377,,
6/14/2016 00:00,1263,,
6/15/2016 00:00,1102,,
6/16/2016 00:00,1147,,
6/17/2016 00:00,1170,,
6/18/2016 00:00,1231,,
6/19/2016 00:00,1270,,
6/20/2016 00:00,1028,,
6/21/2016 00:00,1009,,
6/22/2016 00:00,863,,
6/23/2016 00:00,824,,
6/24/2016 00:00,818,,
6/25/2016 00:00,987,,
6/26/2016 00:00,1034,,
6/27/2016 00:00,1120,,
6/28/2016 00:00,1079,,
6/29/2016 00:00,1006,,
6/30/2016 00:00,986,,
7/1/2016 00:00,998,,
7/2/2016 00:00,1092,,
7/3/2016 00:00,1177,,
7/4/2016 00:00,1136,,
7/5/2016 00:00,1020,,
7/6/2016 00:00,971,,
7/7/2016 00:00,869,,
7/8/2016 00:00,894,,
7/9/2016 00:00,955,,
7/10/2016 00:00,932,,
7/11/2016 00:00,864,,
7/12/2016 00:00,1024,,
7/13/2016 00:00,1003,,
7/14/2016 00:00,971,,
7/15/2016 00:00,916,,
7/16/2016 00:00,936,,
7/17/2016 00:00,965,,
7/18/2016 00:00,833,,
7/19/2016 00:00,766,,
7/20/2016 00:00,754,,
7/21/2016 00:00,781,,
7/22/2016 00:00,796,,
7/23/2016 00:00,861,,
7/24/2016 00:00,870,,
7/25/2016 00:00,851,,
7/26/2016 00:00,827,,
7/27/2016 00:00,765,,
7/28/2016 00:00,779,,
7/29/2016 00:00,785,,
7/30/2016 00:00,831,,
7/31/2016 00:00,1019,,
8/1/2016 00:00,918,,
8/2/2016 00:00,880,,
8/3/2016 00:00,875,,
8/4/2016 00:00,825,,
8/5/2016 00:00,791,,
8/6/2016 00:00,807,,
8/7/2016 00:00,833,,
8/8/2016 00:00,807,,
8/9/2016 00:00,830,,
8/10/2016 00:00,874,,
8/11/2016 00:00,844,,
8/12/2016 00:00,778,,
8/13/2016 00:00,779,,
8/14/2016 00:00,798,,
8/15/2016 00:00,763,,
8/16/2016 00:00,768,,
8/17/2016 00:00,746,,
8/18/2016 00:00,723,,
8/19/2016 00:00,769,,
8/20/2016 00:00,829,,
8/21/2016 00:00,934,,
8/22/2016 00:00,803,,
8/23/2016 00:00,750,,
8/24/2016 00:00,739,,
8/25/2016 00:00,676,,
8/26/2016 00:00,707,,
8/27/2016 00:00,703,,
8/28/2016 00:00,807,,
8/29/2016 00:00,804,,
8/30/2016 00:00,675,,
8/31/2016 00:00,675,,
9/1/2016 00:00,648,,
9/2/2016 00:00,665,,
9/3/2016 00:00,755,,
9/4/2016 00:00,870,,
9/5/2016 00:00,794,,
9/6/2016 00:00,732,,
9/7/2016 00:00,674,,
9/8/2016 00:00,722,,
9/9/2016 00:00,717,,
9/10/2016 00:00,749,,
9/11/2016 00:00,767,,
9/12/2016 00:00,670,,
9/13/2016 00:00,674,,
9/14/2016 00:00,549,,
9/15/2016 00:00,711,,
9/16/2016 00:00,756,,
9/17/2016 00:00,857,,
9/18/2016 00:00,919,,
9/19/2016 00:00,785,,
9/20/2016 00:00,721,,
9/21/2016 00:00,688,,
9/22/2016 00:00,722,,
9/23/2016 00:00,758,,
9/24/2016 00:00,835,,
9/25/2016 00:00,861,,
9/26/2016 00:00,781,,
9/27/2016 00:00,697,,
9/28/2016 00:00,718,,
9/29/2016 00:00,743,,
9/30/2016 00:00,956,,
10/1/2016 00:00,1213,,
10/2/2016 00:00,1362,,
10/3/2016 00:00,1179,,
10/4/2016 00:00,1086,,
10/5/2016 00:00,992,,
10/6/2016 00:00,948,,
10/7/2016 00:00,914,,
10/8/2016 00:00,1042,,
10/9/2016 00:00,1073,,
10/10/2016 00:00,867,,
10/11/2016 00:00,810,,
10/12/2016 00:00,862,,
10/13/2016 00:00,857,,
10/14/2016 00:00,837,,
10/15/2016 00:00,930,,
10/16/2016 00:00,998,,
10/17/2016 00:00,902,,
10/18/2016 00:00,869,,
10/19/2016 00:00,805,,
10/20/2016 00:00,814,,
10/21/2016 00:00,836,,
10/22/2016 00:00,880,,
10/23/2016 00:00,941,,
10/24/2016 00:00,817,,
10/25/2016 00:00,779,,
10/26/2016 00:00,733,,
10/27/2016 00:00,783,,
10/28/2016 00:00,777,,
10/29/2016 00:00,885,,
10/30/2016 00:00,922,,
10/31/2016 00:00,806,,
