DateTime,Players,Flags,Twitch Viewers
7/1/2019 00:00,,,4
7/2/2019 00:00,,,3
7/3/2019 00:00,,,0
7/4/2019 00:00,,,0
7/5/2019 00:00,,,13
7/6/2019 00:00,,,0
7/7/2019 00:00,,,0
7/8/2019 00:00,,,0
7/9/2019 00:00,,,0
7/10/2019 00:00,,,0
7/11/2019 00:00,,,0
7/12/2019 00:00,,,0
7/13/2019 00:00,,,0
7/14/2019 00:00,,,0
7/15/2019 00:00,,,0
7/16/2019 00:00,,,0
7/17/2019 00:00,,,0
7/18/2019 00:00,,,882
7/19/2019 00:00,,,803
7/20/2019 00:00,,,4
7/21/2019 00:00,,,1
7/22/2019 00:00,,,1
7/23/2019 00:00,,,0
7/24/2019 00:00,,,119
7/25/2019 00:00,,,0
7/26/2019 00:00,,,0
7/27/2019 00:00,,,1
7/28/2019 00:00,,,0
7/29/2019 00:00,,,5535
7/30/2019 00:00,,,8227
7/31/2019 00:00,,,3421
8/1/2019 00:00,,,961
8/2/2019 00:00,,,2015
8/3/2019 00:00,,,172
8/4/2019 00:00,,,455
8/5/2019 00:00,,,233
8/6/2019 00:00,,,321
8/7/2019 00:00,,,133
8/8/2019 00:00,,,342
8/9/2019 00:00,,,229
8/10/2019 00:00,,,65
8/11/2019 00:00,,,58
8/12/2019 00:00,,,141
8/13/2019 00:00,,,519
8/14/2019 00:00,,,119
8/15/2019 00:00,,,211
8/16/2019 00:00,,,148
8/17/2019 00:00,,,114
8/18/2019 00:00,,,100
8/19/2019 00:00,,,69
8/20/2019 00:00,,,225
8/21/2019 00:00,,,145
8/22/2019 00:00,,,104
8/23/2019 00:00,,,317
8/24/2019 00:00,,,768
8/25/2019 00:00,,,90
8/26/2019 00:00,,,445
8/27/2019 00:00,,,244
8/28/2019 00:00,,,94
8/29/2019 00:00,,,439
8/30/2019 00:00,,,275
8/31/2019 00:00,,,161
9/1/2019 00:00,,,105
9/2/2019 00:00,,,591
9/3/2019 00:00,,,1213
9/4/2019 00:00,,,185
9/5/2019 00:00,,,375
9/6/2019 00:00,,,539
9/7/2019 00:00,,,345
9/8/2019 00:00,,,869
9/9/2019 00:00,,,10679
