DateTime,Players,Flags,Twitch Viewers
10/18/2018 00:00,18130,,3421
10/19/2018 00:00,23016,,15221
10/20/2018 00:00,24371,,4402
10/21/2018 00:00,27584,,11732
10/22/2018 00:00,27277,,11913
10/23/2018 00:00,25509,,2264
10/24/2018 00:00,25272,,2229
10/25/2018 00:00,25191,,1579
10/26/2018 00:00,24944,,1528
10/27/2018 00:00,27303,,1560
10/28/2018 00:00,28735,,905
10/29/2018 00:00,27427,,2332
10/30/2018 00:00,27229,,1059
10/31/2018 00:00,26738,,1687
11/1/2018 00:00,35013,,3139
11/2/2018 00:00,49773,,6331
11/3/2018 00:00,54972,,5747
11/4/2018 00:00,61943,,3431
11/5/2018 00:00,58189,,2466
11/6/2018 00:00,55807,,3582
11/7/2018 00:00,56259,,6814
11/8/2018 00:00,55903,,11882
11/9/2018 00:00,54589,,7595
11/10/2018 00:00,59641,,2876
11/11/2018 00:00,62791,,6207
11/12/2018 00:00,60235,,4932
11/13/2018 00:00,57156,,10835
11/14/2018 00:00,56517,,5564
11/15/2018 00:00,55235,,6186
11/16/2018 00:00,52687,,2324
11/17/2018 00:00,58219,,4730
11/18/2018 00:00,62784,,4081
11/19/2018 00:00,57782,,2503
11/20/2018 00:00,55159,,4641
11/21/2018 00:00,54343,,11888
11/22/2018 00:00,52339,,10844
11/23/2018 00:00,48535,,2465
11/24/2018 00:00,52881,,11807
11/25/2018 00:00,58909,,12380
11/26/2018 00:00,55537,,2316
11/27/2018 00:00,53305,,9138
11/28/2018 00:00,50892,,16201
11/29/2018 00:00,51145,,12996
11/30/2018 00:00,48808,,2180
12/1/2018 00:00,53295,,9547
12/2/2018 00:00,57029,,1304
12/3/2018 00:00,55309,,18788
12/4/2018 00:00,53541,,3406
12/5/2018 00:00,50566,,3393
12/6/2018 00:00,50700,,2972
12/7/2018 00:00,47765,,915
12/8/2018 00:00,52502,,2238
12/9/2018 00:00,57497,,2277
12/10/2018 00:00,54148,,1746
12/11/2018 00:00,49697,,1764
12/12/2018 00:00,50829,,3317
12/13/2018 00:00,48938,,3511
12/14/2018 00:00,46793,,2121
12/15/2018 00:00,53297,,2026
12/16/2018 00:00,57206,,434
12/17/2018 00:00,55598,,4118
12/18/2018 00:00,56467,,4024
12/19/2018 00:00,52439,,3141
12/20/2018 00:00,51612,,4682
12/21/2018 00:00,48680,,3737
12/22/2018 00:00,55028,,1069
12/23/2018 00:00,60203,,4579
12/24/2018 00:00,54828,,2779
12/25/2018 00:00,54103,,4890
12/26/2018 00:00,60292,,4061
12/27/2018 00:00,66117,,1609
12/28/2018 00:00,64328,,6151
12/29/2018 00:00,66386,,7813
12/30/2018 00:00,71236,,1555
12/31/2018 00:00,63986,,1430
1/1/2019 00:00,68690,,10694
1/2/2019 00:00,68787,,8894
1/3/2019 00:00,65881,,3863
1/4/2019 00:00,67495,,4436
1/5/2019 00:00,71116,,4847
1/6/2019 00:00,74726,,13313
1/7/2019 00:00,67502,,4649
1/8/2019 00:00,65828,,7304
1/9/2019 00:00,65229,,3856
1/10/2019 00:00,63980,,1370
1/11/2019 00:00,62286,,2256
1/12/2019 00:00,67165,,7336
1/13/2019 00:00,73388,,16464
1/14/2019 00:00,67134,,2532
1/15/2019 00:00,64786,,6396
1/16/2019 00:00,63762,,2030
1/17/2019 00:00,62803,,5779
1/18/2019 00:00,60603,,9692
1/19/2019 00:00,65427,,9314
1/20/2019 00:00,72027,,8431
1/21/2019 00:00,66517,,8225
1/22/2019 00:00,64309,,5951
1/23/2019 00:00,63431,,10549
1/24/2019 00:00,61257,,8057
1/25/2019 00:00,58122,,1464
1/26/2019 00:00,64106,,1881
1/27/2019 00:00,70134,,789
1/28/2019 00:00,64143,,2924
1/29/2019 00:00,62842,,8947
1/30/2019 00:00,62570,,7431
1/31/2019 00:00,62713,,7796
2/1/2019 00:00,60420,,2776
2/2/2019 00:00,66200,,2822
2/3/2019 00:00,73227,,1634
2/4/2019 00:00,64693,,1576
2/5/2019 00:00,63543,,10538
2/6/2019 00:00,60349,,3305
2/7/2019 00:00,59920,,4182
2/8/2019 00:00,57869,,2055
2/9/2019 00:00,63843,,652
2/10/2019 00:00,68845,,1040
2/11/2019 00:00,63754,,2256
2/12/2019 00:00,57789,,1414
2/13/2019 00:00,59324,,951
2/14/2019 00:00,52836,,972
2/15/2019 00:00,55326,,1576
2/16/2019 00:00,60930,,1749
2/17/2019 00:00,64986,,2301
2/18/2019 00:00,61179,,2542
2/19/2019 00:00,56821,,1969
2/20/2019 00:00,58425,,1738
2/21/2019 00:00,56013,,5714
2/22/2019 00:00,54407,,5229
2/23/2019 00:00,58574,,1394
2/24/2019 00:00,62170,,4014
2/25/2019 00:00,58372,,1273
2/26/2019 00:00,56981,,1298
2/27/2019 00:00,54289,,4577
2/28/2019 00:00,54318,,1441
3/1/2019 00:00,52592,,2539
3/2/2019 00:00,59330,,1436
3/3/2019 00:00,63800,,1291
3/4/2019 00:00,60003,,1539
3/5/2019 00:00,58015,,1721
3/6/2019 00:00,57226,,1880
3/7/2019 00:00,57273,,1467
3/8/2019 00:00,53795,,1274
3/9/2019 00:00,60684,,1392
3/10/2019 00:00,65452,,1255
3/11/2019 00:00,59018,,1912
3/12/2019 00:00,56937,,1192
3/13/2019 00:00,55151,,1094
3/14/2019 00:00,55758,,1044
3/15/2019 00:00,54710,,1552
3/16/2019 00:00,62055,,1016
3/17/2019 00:00,64894,,780
3/18/2019 00:00,60856,,1314
3/19/2019 00:00,57514,,1168
3/20/2019 00:00,57038,,6918
