DateTime,Players,Flags,Twitch Viewers
1/7/2014 00:00,12,,
1/8/2014 00:00,,,
1/9/2014 00:00,,,
1/10/2014 00:00,,,
1/11/2014 00:00,,,
1/12/2014 00:00,,,
1/13/2014 00:00,,,
1/14/2014 00:00,,,
1/15/2014 00:00,,,
1/16/2014 00:00,,,
1/17/2014 00:00,,,
1/18/2014 00:00,,,
1/19/2014 00:00,,,
1/20/2014 00:00,,,
1/21/2014 00:00,,,
1/22/2014 00:00,,,
1/23/2014 00:00,,,
1/24/2014 00:00,,,
1/25/2014 00:00,,,
1/26/2014 00:00,,,
1/27/2014 00:00,,,
1/28/2014 00:00,,,
1/29/2014 00:00,,,
1/30/2014 00:00,,,
1/31/2014 00:00,,,
2/1/2014 00:00,,,
2/2/2014 00:00,,,
2/3/2014 00:00,,,
2/4/2014 00:00,,,
2/5/2014 00:00,,,
2/6/2014 00:00,,,
2/7/2014 00:00,,,
2/8/2014 00:00,,,
2/9/2014 00:00,,,
2/10/2014 00:00,,,
2/11/2014 00:00,,,
2/12/2014 00:00,,,
2/13/2014 00:00,,,
2/14/2014 00:00,,,
2/15/2014 00:00,,,
2/16/2014 00:00,,,
2/17/2014 00:00,,,
2/18/2014 00:00,,,
2/19/2014 00:00,,,
2/20/2014 00:00,,,
2/21/2014 00:00,,,
2/22/2014 00:00,,,
2/23/2014 00:00,,,
2/24/2014 00:00,,,
2/25/2014 00:00,,,
2/26/2014 00:00,,,
2/27/2014 00:00,,,
2/28/2014 00:00,,,
3/1/2014 00:00,,,
3/2/2014 00:00,,,
3/3/2014 00:00,,,
3/4/2014 00:00,,,
3/5/2014 00:00,,,
3/6/2014 00:00,,,
3/7/2014 00:00,,,
3/8/2014 00:00,,,
3/9/2014 00:00,,,
3/10/2014 00:00,,,
3/11/2014 00:00,,,
3/12/2014 00:00,,,
3/13/2014 00:00,,,
3/14/2014 00:00,,,
3/15/2014 00:00,,,
3/16/2014 00:00,,,
3/17/2014 00:00,,,
3/18/2014 00:00,,,
3/19/2014 00:00,,,
3/20/2014 00:00,,,
3/21/2014 00:00,,,
