DateTime,Players,Twitch Viewers
15/06/2018 00:00,1172,676
16/06/2018 00:00,1715,834
17/06/2018 00:00,2025,940
18/06/2018 00:00,2239,859
19/06/2018 00:00,2353,1023
20/06/2018 00:00,2292,1616
21/06/2018 00:00,2407,856
22/06/2018 00:00,2257,4531
23/06/2018 00:00,2390,3850
24/06/2018 00:00,2801,1383
25/06/2018 00:00,2677,1052
26/06/2018 00:00,2544,1715
27/06/2018 00:00,2404,688
28/06/2018 00:00,2270,1049
29/06/2018 00:00,2162,1404
30/06/2018 00:00,2155,1012
01/07/2018 00:00,2476,975
02/07/2018 00:00,1744,1085
03/07/2018 00:00,1631,814
04/07/2018 00:00,1623,1021
05/07/2018 00:00,1646,877
06/07/2018 00:00,1546,788
07/07/2018 00:00,1673,931
08/07/2018 00:00,1916,1670
09/07/2018 00:00,1948,1238
10/07/2018 00:00,1922,1144
11/07/2018 00:00,1934,798
12/07/2018 00:00,1982,1276
13/07/2018 00:00,1914,1156
14/07/2018 00:00,1957,2878
15/07/2018 00:00,2299,1278
16/07/2018 00:00,2116,1127
17/07/2018 00:00,2140,944
18/07/2018 00:00,2170,1577
19/07/2018 00:00,2151,911
20/07/2018 00:00,2161,4297
21/07/2018 00:00,2257,1187
22/07/2018 00:00,2815,4832
23/07/2018 00:00,2761,1310
24/07/2018 00:00,2667,3119
25/07/2018 00:00,2715,1352
26/07/2018 00:00,2702,4103
27/07/2018 00:00,2558,990
28/07/2018 00:00,2792,3326
29/07/2018 00:00,2943,1091
30/07/2018 00:00,2706,1186
31/07/2018 00:00,2653,1540
01/08/2018 00:00,2709,1071
02/08/2018 00:00,2830,2849
03/08/2018 00:00,2866,1094
04/08/2018 00:00,2977,1244
05/08/2018 00:00,3250,1525
06/08/2018 00:00,3084,1309
07/08/2018 00:00,3005,2742
08/08/2018 00:00,2965,1005
09/08/2018 00:00,2913,953
10/08/2018 00:00,2829,1254
11/08/2018 00:00,2892,1148
12/08/2018 00:00,3291,883
13/08/2018 00:00,3061,1065
14/08/2018 00:00,2921,876
15/08/2018 00:00,2967,1502
16/08/2018 00:00,2953,2161
17/08/2018 00:00,2831,1138
18/08/2018 00:00,3045,1499
19/08/2018 00:00,3306,1224
20/08/2018 00:00,3166,5055
21/08/2018 00:00,3191,3023
22/08/2018 00:00,2994,1143
23/08/2018 00:00,3217,4732
24/08/2018 00:00,3310,5259
25/08/2018 00:00,3287,882
26/08/2018 00:00,3657,1003
27/08/2018 00:00,3394,1832
28/08/2018 00:00,3378,827
29/08/2018 00:00,3238,937
30/08/2018 00:00,3202,2263
31/08/2018 00:00,3223,3572
01/09/2018 00:00,3254,986
02/09/2018 00:00,3597,975
03/09/2018 00:00,3252,5137
04/09/2018 00:00,3155,1805
05/09/2018 00:00,3048,1017
06/09/2018 00:00,3056,4406
07/09/2018 00:00,3117,955
08/09/2018 00:00,3345,828
09/09/2018 00:00,3705,4058
10/09/2018 00:00,3254,911
