DateTime,Players,Flags,Twitch Viewers
6/15/2018 00:00,1172,,676
6/16/2018 00:00,1715,,834
6/17/2018 00:00,2025,,940
6/18/2018 00:00,2239,,859
6/19/2018 00:00,2353,,1023
6/20/2018 00:00,2292,,1616
6/21/2018 00:00,2407,,856
6/22/2018 00:00,2257,,4531
6/23/2018 00:00,2390,,3850
6/24/2018 00:00,2801,,1383
6/25/2018 00:00,2677,,1052
6/26/2018 00:00,2544,,1715
6/27/2018 00:00,2404,,688
6/28/2018 00:00,2270,,1049
6/29/2018 00:00,2162,,1404
6/30/2018 00:00,2155,,1012
7/1/2018 00:00,2476,,975
7/2/2018 00:00,1744,,1085
7/3/2018 00:00,1631,,814
7/4/2018 00:00,1623,,1021
7/5/2018 00:00,1646,,877
7/6/2018 00:00,1546,,788
7/7/2018 00:00,1673,,931
7/8/2018 00:00,1916,,1670
7/9/2018 00:00,1948,,1238
7/10/2018 00:00,1922,,1144
7/11/2018 00:00,1934,,798
7/12/2018 00:00,1982,,1276
7/13/2018 00:00,1914,,1156
7/14/2018 00:00,1957,,2878
7/15/2018 00:00,2299,,1278
7/16/2018 00:00,2116,,1127
7/17/2018 00:00,2140,,944
7/18/2018 00:00,2170,,1577
7/19/2018 00:00,2151,,911
7/20/2018 00:00,2161,,4297
7/21/2018 00:00,2257,,1187
7/22/2018 00:00,2815,,4832
7/23/2018 00:00,2761,,1310
7/24/2018 00:00,2667,,3119
7/25/2018 00:00,2715,,1352
7/26/2018 00:00,2702,,4103
7/27/2018 00:00,2558,,990
7/28/2018 00:00,2792,,3326
7/29/2018 00:00,2943,,1091
7/30/2018 00:00,2706,,1186
7/31/2018 00:00,2653,,1540
8/1/2018 00:00,2709,,1071
8/2/2018 00:00,2830,,2849
8/3/2018 00:00,2866,,1094
8/4/2018 00:00,2977,,1244
8/5/2018 00:00,3250,,1525
8/6/2018 00:00,3084,,1309
8/7/2018 00:00,3005,,2742
8/8/2018 00:00,2965,,1005
8/9/2018 00:00,2913,,953
8/10/2018 00:00,2829,,1254
8/11/2018 00:00,2892,,1148
8/12/2018 00:00,3291,,883
8/13/2018 00:00,3061,,1065
8/14/2018 00:00,2921,,876
8/15/2018 00:00,2967,,1502
8/16/2018 00:00,2953,,2161
8/17/2018 00:00,2831,,1138
8/18/2018 00:00,3045,,1499
8/19/2018 00:00,3306,,1224
8/20/2018 00:00,3166,,5055
8/21/2018 00:00,3191,,3023
8/22/2018 00:00,2994,,1143
8/23/2018 00:00,3217,,4732
8/24/2018 00:00,3310,,5259
8/25/2018 00:00,3287,,882
8/26/2018 00:00,3657,,1003
8/27/2018 00:00,3394,,1832
8/28/2018 00:00,3378,,827
8/29/2018 00:00,3238,,937
8/30/2018 00:00,3202,,2263
8/31/2018 00:00,3223,,3572
9/1/2018 00:00,3254,,986
