DateTime,Players,Flags,Twitch Viewers
18/08/2016 00:00,1,,
19/08/2016 00:00,1,,
20/08/2016 00:00,,,
21/08/2016 00:00,,,
22/08/2016 00:00,,,
23/08/2016 00:00,2,,
24/08/2016 00:00,1,,
25/08/2016 00:00,2,,
26/08/2016 00:00,1,,
27/08/2016 00:00,,,
28/08/2016 00:00,,,
29/08/2016 00:00,1,,
30/08/2016 00:00,,,
31/08/2016 00:00,1,,
1/9/2016 00:00,1,,
2/9/2016 00:00,1,,
3/9/2016 00:00,,,
4/9/2016 00:00,,,
5/9/2016 00:00,1,,
6/9/2016 00:00,1,,
7/9/2016 00:00,1,,
8/9/2016 00:00,1,,
9/9/2016 00:00,1,,
10/9/2016 00:00,,,
11/9/2016 00:00,,,
12/9/2016 00:00,1,,
13/09/2016 00:00,2,,
14/09/2016 00:00,2,,
15/09/2016 00:00,3,,
16/09/2016 00:00,2,,
17/09/2016 00:00,,,
18/09/2016 00:00,,,
19/09/2016 00:00,1,,
20/09/2016 00:00,2,,
21/09/2016 00:00,3,,
22/09/2016 00:00,1,,
23/09/2016 00:00,1,,
24/09/2016 00:00,,,
25/09/2016 00:00,,,
26/09/2016 00:00,,,
27/09/2016 00:00,,,
28/09/2016 00:00,,,
29/09/2016 00:00,,,
30/09/2016 00:00,,,
1/10/2016 00:00,,,
2/10/2016 00:00,,,
3/10/2016 00:00,,,
4/10/2016 00:00,,,
5/10/2016 00:00,,,
6/10/2016 00:00,,,
7/10/2016 00:00,,,
8/10/2016 00:00,,,
9/10/2016 00:00,,,
10/10/2016 00:00,,,
11/10/2016 00:00,,,
12/10/2016 00:00,,,
13/10/2016 00:00,,,
14/10/2016 00:00,,,
15/10/2016 00:00,,,
16/10/2016 00:00,,,
17/10/2016 00:00,,,
18/10/2016 00:00,,,
19/10/2016 00:00,,,
20/10/2016 00:00,2,,
21/10/2016 00:00,2,,
22/10/2016 00:00,,,
23/10/2016 00:00,,,
24/10/2016 00:00,,,
25/10/2016 00:00,2,,
26/10/2016 00:00,3,,
27/10/2016 00:00,3,,
28/10/2016 00:00,1,,
29/10/2016 00:00,2,,
30/10/2016 00:00,3,,
31/10/2016 00:00,3,,
1/11/2016 00:00,6,,
2/11/2016 00:00,6,,
3/11/2016 00:00,,,
4/11/2016 00:00,,,
5/11/2016 00:00,,,
6/11/2016 00:00,,,
7/11/2016 00:00,,,
8/11/2016 00:00,,,
9/11/2016 00:00,1,,
10/11/2016 00:00,,,
11/11/2016 00:00,,,
12/11/2016 00:00,,,
13/11/2016 00:00,,,
14/11/2016 00:00,,,
15/11/2016 00:00,,,
16/11/2016 00:00,,,
17/11/2016 00:00,,,
18/11/2016 00:00,,,
19/11/2016 00:00,,,
20/11/2016 00:00,,,
21/11/2016 00:00,,,
22/11/2016 00:00,2,,
23/11/2016 00:00,1,,
24/11/2016 00:00,2,,
25/11/2016 00:00,2,,
26/11/2016 00:00,3,,
27/11/2016 00:00,3,,
28/11/2016 00:00,5,,
29/11/2016 00:00,7,,
30/11/2016 00:00,1,,
1/12/2016 00:00,2087,,
2/12/2016 00:00,1973,,
3/12/2016 00:00,1837,,
4/12/2016 00:00,1964,,
5/12/2016 00:00,1641,,
6/12/2016 00:00,1458,,
7/12/2016 00:00,1092,,
8/12/2016 00:00,1296,,
9/12/2016 00:00,1179,,
10/12/2016 00:00,1087,,
11/12/2016 00:00,1186,,
12/12/2016 00:00,865,,
13/12/2016 00:00,466,,
14/12/2016 00:00,745,,
15/12/2016 00:00,666,,
16/12/2016 00:00,516,,
17/12/2016 00:00,661,,
18/12/2016 00:00,677,,
19/12/2016 00:00,545,,
20/12/2016 00:00,493,,
21/12/2016 00:00,500,,
22/12/2016 00:00,622,,
23/12/2016 00:00,902,,
24/12/2016 00:00,1227,,
25/12/2016 00:00,1604,,
26/12/2016 00:00,1784,,
27/12/2016 00:00,1930,,
28/12/2016 00:00,1774,,
29/12/2016 00:00,1589,,
30/12/2016 00:00,1474,,
31/12/2016 00:00,1488,,
1/1/2017 00:00,1456,,
2/1/2017 00:00,1521,,
3/1/2017 00:00,1128,,
4/1/2017 00:00,914,,
5/1/2017 00:00,771,,
6/1/2017 00:00,752,,
7/1/2017 00:00,845,,
8/1/2017 00:00,821,,
9/1/2017 00:00,568,,
10/1/2017 00:00,504,,
11/1/2017 00:00,490,,
12/1/2017 00:00,470,,
13/01/2017 00:00,572,,
14/01/2017 00:00,691,,
15/01/2017 00:00,602,,
16/01/2017 00:00,506,,
17/01/2017 00:00,479,,
18/01/2017 00:00,846,,
19/01/2017 00:00,985,,
20/01/2017 00:00,1140,,
21/01/2017 00:00,1068,,
22/01/2017 00:00,913,,
23/01/2017 00:00,567,,
24/01/2017 00:00,392,,
25/01/2017 00:00,428,,
26/01/2017 00:00,410,,
27/01/2017 00:00,478,,
28/01/2017 00:00,611,,
29/01/2017 00:00,433,,
30/01/2017 00:00,459,,
31/01/2017 00:00,435,,
1/2/2017 00:00,396,,
2/2/2017 00:00,404,,
3/2/2017 00:00,386,,
4/2/2017 00:00,460,,
5/2/2017 00:00,472,,
6/2/2017 00:00,324,,
7/2/2017 00:00,326,,
8/2/2017 00:00,288,,
9/2/2017 00:00,251,,
10/2/2017 00:00,305,,
11/2/2017 00:00,378,,
12/2/2017 00:00,332,,
13/02/2017 00:00,286,,
14/02/2017 00:00,240,,
15/02/2017 00:00,226,,
16/02/2017 00:00,236,,
17/02/2017 00:00,245,,
18/02/2017 00:00,305,,
19/02/2017 00:00,283,,
20/02/2017 00:00,146,,
21/02/2017 00:00,209,,
22/02/2017 00:00,193,,
23/02/2017 00:00,402,,
24/02/2017 00:00,410,,
25/02/2017 00:00,439,,
26/02/2017 00:00,443,,
27/02/2017 00:00,307,,
28/02/2017 00:00,261,,
1/3/2017 00:00,279,,
2/3/2017 00:00,264,,
3/3/2017 00:00,292,,
4/3/2017 00:00,326,,
5/3/2017 00:00,300,,
6/3/2017 00:00,228,,
7/3/2017 00:00,191,,
8/3/2017 00:00,226,,
9/3/2017 00:00,202,,
10/3/2017 00:00,238,,
11/3/2017 00:00,283,,
12/3/2017 00:00,311,,
13/03/2017 00:00,189,,
14/03/2017 00:00,216,,
15/03/2017 00:00,189,,
16/03/2017 00:00,184,,
17/03/2017 00:00,216,,
18/03/2017 00:00,250,,
19/03/2017 00:00,230,,
20/03/2017 00:00,163,,
21/03/2017 00:00,103,,
22/03/2017 00:00,79,,
23/03/2017 00:00,204,,
24/03/2017 00:00,579,,
25/03/2017 00:00,972,,
26/03/2017 00:00,1197,,
27/03/2017 00:00,965,,
28/03/2017 00:00,567,,
29/03/2017 00:00,618,,
30/03/2017 00:00,457,,
31/03/2017 00:00,426,,
1/4/2017 00:00,495,,
2/4/2017 00:00,411,,
3/4/2017 00:00,271,,
4/4/2017 00:00,231,,
5/4/2017 00:00,199,,
6/4/2017 00:00,221,,
7/4/2017 00:00,239,,
8/4/2017 00:00,274,,
9/4/2017 00:00,209,,
10/4/2017 00:00,168,,
11/4/2017 00:00,174,,
12/4/2017 00:00,187,,
13/04/2017 00:00,181,,
14/04/2017 00:00,191,,
15/04/2017 00:00,210,,
16/04/2017 00:00,205,,
17/04/2017 00:00,171,,
18/04/2017 00:00,161,,
19/04/2017 00:00,154,,
20/04/2017 00:00,147,,
21/04/2017 00:00,147,,
22/04/2017 00:00,200,,
23/04/2017 00:00,186,,
24/04/2017 00:00,129,,
25/04/2017 00:00,75,,
26/04/2017 00:00,131,,
27/04/2017 00:00,122,,
28/04/2017 00:00,157,,
29/04/2017 00:00,177,,
30/04/2017 00:00,173,,
1/5/2017 00:00,149,,
2/5/2017 00:00,138,,
3/5/2017 00:00,272,,
4/5/2017 00:00,189,,
5/5/2017 00:00,194,,
6/5/2017 00:00,263,,
7/5/2017 00:00,195,,
8/5/2017 00:00,156,,
9/5/2017 00:00,125,,
10/5/2017 00:00,115,,
11/5/2017 00:00,126,,
12/5/2017 00:00,139,,
13/05/2017 00:00,175,,
14/05/2017 00:00,156,,
15/05/2017 00:00,105,,
16/05/2017 00:00,115,,
17/05/2017 00:00,113,,
18/05/2017 00:00,116,,
19/05/2017 00:00,129,,
20/05/2017 00:00,146,,
21/05/2017 00:00,129,,
22/05/2017 00:00,105,,
23/05/2017 00:00,87,,
24/05/2017 00:00,98,,
25/05/2017 00:00,105,,
26/05/2017 00:00,97,,
27/05/2017 00:00,118,,
28/05/2017 00:00,114,,
29/05/2017 00:00,114,,
30/05/2017 00:00,90,,
31/05/2017 00:00,76,,
1/6/2017 00:00,82,,
2/6/2017 00:00,98,,
3/6/2017 00:00,108,,
4/6/2017 00:00,118,,
5/6/2017 00:00,93,,
6/6/2017 00:00,101,,
7/6/2017 00:00,103,,
8/6/2017 00:00,102,,
9/6/2017 00:00,111,,
10/6/2017 00:00,115,,
11/6/2017 00:00,114,,
12/6/2017 00:00,97,,
13/06/2017 00:00,99,,
14/06/2017 00:00,102,,
15/06/2017 00:00,102,,
16/06/2017 00:00,104,,
17/06/2017 00:00,123,,
18/06/2017 00:00,113,,
19/06/2017 00:00,100,,
20/06/2017 00:00,94,,
21/06/2017 00:00,91,,
22/06/2017 00:00,99,,
23/06/2017 00:00,280,,
24/06/2017 00:00,438,,
25/06/2017 00:00,436,,
26/06/2017 00:00,369,,
27/06/2017 00:00,481,,
28/06/2017 00:00,410,,
29/06/2017 00:00,393,,
30/06/2017 00:00,540,,
1/7/2017 00:00,563,,
2/7/2017 00:00,520,,
3/7/2017 00:00,452,,
4/7/2017 00:00,398,,
5/7/2017 00:00,392,,
6/7/2017 00:00,334,,
7/7/2017 00:00,302,,
8/7/2017 00:00,287,,
9/7/2017 00:00,253,,
10/7/2017 00:00,205,,
11/7/2017 00:00,184,,
12/7/2017 00:00,161,,
13/07/2017 00:00,164,,
14/07/2017 00:00,155,,
15/07/2017 00:00,170,,
16/07/2017 00:00,187,,
17/07/2017 00:00,131,,
18/07/2017 00:00,123,,
19/07/2017 00:00,118,,
20/07/2017 00:00,123,,
21/07/2017 00:00,126,,
22/07/2017 00:00,155,,
23/07/2017 00:00,151,,
24/07/2017 00:00,135,,
25/07/2017 00:00,117,,
26/07/2017 00:00,124,,
27/07/2017 00:00,119,,
28/07/2017 00:00,107,,
29/07/2017 00:00,130,,
30/07/2017 00:00,147,,
31/07/2017 00:00,107,,
1/8/2017 00:00,106,,
2/8/2017 00:00,113,,
3/8/2017 00:00,99,,
4/8/2017 00:00,115,,
5/8/2017 00:00,108,,
6/8/2017 00:00,112,,
7/8/2017 00:00,93,,
8/8/2017 00:00,102,,
9/8/2017 00:00,102,,
10/8/2017 00:00,115,,
11/8/2017 00:00,127,,
12/8/2017 00:00,144,,
13/08/2017 00:00,120,,
14/08/2017 00:00,115,,
15/08/2017 00:00,133,,
16/08/2017 00:00,117,,
17/08/2017 00:00,116,,
18/08/2017 00:00,119,,
19/08/2017 00:00,139,,
20/08/2017 00:00,138,,
21/08/2017 00:00,118,,
22/08/2017 00:00,115,,322
23/08/2017 00:00,120,,40
24/08/2017 00:00,121,,11
25/08/2017 00:00,110,,17
26/08/2017 00:00,141,,20
27/08/2017 00:00,141,,138
28/08/2017 00:00,119,,14
29/08/2017 00:00,105,,9
30/08/2017 00:00,110,,13
31/08/2017 00:00,137,,192
1/9/2017 00:00,123,,50
2/9/2017 00:00,144,,660
3/9/2017 00:00,149,,8
4/9/2017 00:00,139,,21
5/9/2017 00:00,110,,39
6/9/2017 00:00,110,,46
7/9/2017 00:00,103,,22
8/9/2017 00:00,110,,35
9/9/2017 00:00,146,,18
10/9/2017 00:00,148,,9
11/9/2017 00:00,125,,11
12/9/2017 00:00,117,,24
13/09/2017 00:00,104,,69
14/09/2017 00:00,102,,14
15/09/2017 00:00,126,,41
16/09/2017 00:00,137,,16
17/09/2017 00:00,162,,23
18/09/2017 00:00,124,,63
19/09/2017 00:00,109,,19
20/09/2017 00:00,130,,125
21/09/2017 00:00,118,,10
22/09/2017 00:00,133,,11
23/09/2017 00:00,144,,12
24/09/2017 00:00,143,,19
25/09/2017 00:00,122,,242
26/09/2017 00:00,88,,29
27/09/2017 00:00,100,,37
28/09/2017 00:00,105,,39
29/09/2017 00:00,112,,15
30/09/2017 00:00,161,,29
1/10/2017 00:00,160,,98
2/10/2017 00:00,121,,95
3/10/2017 00:00,113,,18
4/10/2017 00:00,125,,13
5/10/2017 00:00,124,,10
6/10/2017 00:00,113,,12
7/10/2017 00:00,140,,55
8/10/2017 00:00,145,,11
9/10/2017 00:00,128,,16
10/10/2017 00:00,111,,19
11/10/2017 00:00,100,,8
12/10/2017 00:00,113,,7
13/10/2017 00:00,139,,9
14/10/2017 00:00,145,,269
15/10/2017 00:00,162,,256
16/10/2017 00:00,125,,98
17/10/2017 00:00,115,,97
18/10/2017 00:00,121,,13
19/10/2017 00:00,106,,12
20/10/2017 00:00,137,,12
21/10/2017 00:00,161,,20
22/10/2017 00:00,163,,45
23/10/2017 00:00,127,,95
24/10/2017 00:00,119,,17
25/10/2017 00:00,114,,12
26/10/2017 00:00,141,,13
27/10/2017 00:00,118,,65
28/10/2017 00:00,137,,48
29/10/2017 00:00,144,,115
30/10/2017 00:00,116,,7
31/10/2017 00:00,114,,19
1/11/2017 00:00,108,,22
2/11/2017 00:00,114,,10
3/11/2017 00:00,123,,15
4/11/2017 00:00,165,,11
5/11/2017 00:00,162,,10
6/11/2017 00:00,119,,15
7/11/2017 00:00,140,,9
8/11/2017 00:00,130,,8
9/11/2017 00:00,110,,15
10/11/2017 00:00,138,,14
11/11/2017 00:00,160,,18
12/11/2017 00:00,181,,12
13/11/2017 00:00,152,,235
14/11/2017 00:00,140,,11
15/11/2017 00:00,142,,19
16/11/2017 00:00,134,,14
17/11/2017 00:00,155,,11
18/11/2017 00:00,193,,12
19/11/2017 00:00,191,,35
20/11/2017 00:00,148,,19
21/11/2017 00:00,158,,17
22/11/2017 00:00,182,,36
23/11/2017 00:00,500,,360
24/11/2017 00:00,729,,2899
25/11/2017 00:00,968,,2865
26/11/2017 00:00,1037,,54
27/11/2017 00:00,804,,351
28/11/2017 00:00,732,,78
29/11/2017 00:00,1195,,936
30/11/2017 00:00,1471,,1797
1/12/2017 00:00,1734,,5721
2/12/2017 00:00,1534,,1511
3/12/2017 00:00,1180,,4864
4/12/2017 00:00,706,,5691
5/12/2017 00:00,837,,5670
6/12/2017 00:00,764,,6555
7/12/2017 00:00,614,,6315
8/12/2017 00:00,597,,1910
9/12/2017 00:00,700,,6837
10/12/2017 00:00,631,,8134
11/12/2017 00:00,512,,69
12/12/2017 00:00,445,,137
13/12/2017 00:00,415,,63
14/12/2017 00:00,397,,55
15/12/2017 00:00,419,,195
16/12/2017 00:00,483,,34
17/12/2017 00:00,463,,36
18/12/2017 00:00,367,,233
19/12/2017 00:00,352,,38
20/12/2017 00:00,336,,111
21/12/2017 00:00,360,,25
22/12/2017 00:00,735,,246
23/12/2017 00:00,979,,789
24/12/2017 00:00,1024,,112
25/12/2017 00:00,1204,,48
26/12/2017 00:00,1279,,40
27/12/2017 00:00,1321,,30
28/12/2017 00:00,1498,,46
29/12/2017 00:00,1430,,61
30/12/2017 00:00,1328,,284
31/12/2017 00:00,1207,,405
