DateTime,Players,Flags,Twitch Viewers
6/15/2016 00:00,2,,
6/16/2016 00:00,1,,
6/17/2016 00:00,1,,
6/18/2016 00:00,,,
6/19/2016 00:00,,,
6/20/2016 00:00,,,
6/21/2016 00:00,1,,
6/22/2016 00:00,1,,
6/23/2016 00:00,1,,
6/24/2016 00:00,1,,
6/25/2016 00:00,,,
6/26/2016 00:00,,,
6/27/2016 00:00,1,,
6/28/2016 00:00,1,,
6/29/2016 00:00,1,,
6/30/2016 00:00,1,,
7/1/2016 00:00,1,,
7/2/2016 00:00,,,
7/3/2016 00:00,,,
7/4/2016 00:00,1,,
7/5/2016 00:00,2,,
7/6/2016 00:00,2,,
7/7/2016 00:00,2,,
7/8/2016 00:00,2,,
7/9/2016 00:00,,,
7/10/2016 00:00,,,
7/11/2016 00:00,3,,
7/12/2016 00:00,2,,
7/13/2016 00:00,3,,
7/14/2016 00:00,2,,
7/15/2016 00:00,1,,
7/16/2016 00:00,,,
7/17/2016 00:00,,,
7/18/2016 00:00,,,
7/19/2016 00:00,2,,
7/20/2016 00:00,1,,
7/21/2016 00:00,1,,
7/22/2016 00:00,1,,
7/23/2016 00:00,,,
7/24/2016 00:00,,,
7/25/2016 00:00,1,,
7/26/2016 00:00,1,,
7/27/2016 00:00,4,,
7/28/2016 00:00,2,,
7/29/2016 00:00,1,,
7/30/2016 00:00,,,
7/31/2016 00:00,,,
8/1/2016 00:00,1,,
8/2/2016 00:00,2,,
8/3/2016 00:00,1,,
8/4/2016 00:00,2,,
8/5/2016 00:00,1,,
8/6/2016 00:00,,,
8/7/2016 00:00,,,
8/8/2016 00:00,1,,
8/9/2016 00:00,1,,
8/10/2016 00:00,2,,
8/11/2016 00:00,,,
8/12/2016 00:00,,,
8/13/2016 00:00,,,
8/14/2016 00:00,,,
8/15/2016 00:00,,,
8/16/2016 00:00,,,
8/17/2016 00:00,1,,
8/18/2016 00:00,2,,
8/19/2016 00:00,2,,
8/20/2016 00:00,1,,
8/21/2016 00:00,1,,
8/22/2016 00:00,2,,
8/23/2016 00:00,3,,
8/24/2016 00:00,1,,
8/25/2016 00:00,1,,
8/26/2016 00:00,2,,
8/27/2016 00:00,,,
8/28/2016 00:00,,,
8/29/2016 00:00,3,,
8/30/2016 00:00,3,,
8/31/2016 00:00,2,,
9/1/2016 00:00,2,,
9/2/2016 00:00,3,,
9/3/2016 00:00,,,
9/4/2016 00:00,,,
9/5/2016 00:00,2,,
9/6/2016 00:00,2,,
9/7/2016 00:00,2,,
9/8/2016 00:00,2,,
9/9/2016 00:00,2,,
9/10/2016 00:00,,,
9/11/2016 00:00,,,
9/12/2016 00:00,2,,
9/13/2016 00:00,2,,
9/14/2016 00:00,3,,
9/15/2016 00:00,2,,
9/16/2016 00:00,2,,
9/17/2016 00:00,,,
9/18/2016 00:00,,,
9/19/2016 00:00,,,
9/20/2016 00:00,3,,
9/21/2016 00:00,2,,
9/22/2016 00:00,,,
9/23/2016 00:00,3,,
9/24/2016 00:00,,,
9/25/2016 00:00,,,
9/26/2016 00:00,3,,
9/27/2016 00:00,3,,
9/28/2016 00:00,3,,
9/29/2016 00:00,2,,
9/30/2016 00:00,3,,
10/1/2016 00:00,,,
10/2/2016 00:00,,,
10/3/2016 00:00,3,,
10/4/2016 00:00,2,,
10/5/2016 00:00,3,,
10/6/2016 00:00,2,,
10/7/2016 00:00,2,,
10/8/2016 00:00,,,
10/9/2016 00:00,,,
10/10/2016 00:00,,,
10/11/2016 00:00,2,,
10/12/2016 00:00,2,,
10/13/2016 00:00,3,,
10/14/2016 00:00,2,,
10/15/2016 00:00,,,
10/16/2016 00:00,,,
10/17/2016 00:00,2,,
10/18/2016 00:00,2,,
10/19/2016 00:00,2,,
10/20/2016 00:00,1,,
10/21/2016 00:00,3,,
10/22/2016 00:00,,,
10/23/2016 00:00,,,
10/24/2016 00:00,2,,
10/25/2016 00:00,2,,
10/26/2016 00:00,1,,
10/27/2016 00:00,2,,
10/28/2016 00:00,1,,
10/29/2016 00:00,,,
10/30/2016 00:00,,,
10/31/2016 00:00,2,,
11/1/2016 00:00,2,,
