DateTime,Players,Flags,Twitch Viewers
15/06/2016 00:00,2,,
16/06/2016 00:00,1,,
17/06/2016 00:00,1,,
18/06/2016 00:00,,,
19/06/2016 00:00,,,
20/06/2016 00:00,,,
21/06/2016 00:00,1,,
22/06/2016 00:00,1,,
23/06/2016 00:00,1,,
24/06/2016 00:00,1,,
25/06/2016 00:00,,,
26/06/2016 00:00,,,
27/06/2016 00:00,1,,
28/06/2016 00:00,1,,
29/06/2016 00:00,1,,
30/06/2016 00:00,1,,
1/7/2016 00:00,1,,
2/7/2016 00:00,,,
3/7/2016 00:00,,,
4/7/2016 00:00,1,,
5/7/2016 00:00,2,,
6/7/2016 00:00,2,,
7/7/2016 00:00,2,,
8/7/2016 00:00,2,,
9/7/2016 00:00,,,
10/7/2016 00:00,,,
11/7/2016 00:00,3,,
12/7/2016 00:00,2,,
13/07/2016 00:00,3,,
14/07/2016 00:00,2,,
15/07/2016 00:00,1,,
16/07/2016 00:00,,,
17/07/2016 00:00,,,
18/07/2016 00:00,,,
19/07/2016 00:00,2,,
20/07/2016 00:00,1,,
21/07/2016 00:00,1,,
22/07/2016 00:00,1,,
23/07/2016 00:00,,,
24/07/2016 00:00,,,
25/07/2016 00:00,1,,
26/07/2016 00:00,1,,
27/07/2016 00:00,4,,
28/07/2016 00:00,2,,
29/07/2016 00:00,1,,
30/07/2016 00:00,,,
31/07/2016 00:00,,,
1/8/2016 00:00,1,,
2/8/2016 00:00,2,,
3/8/2016 00:00,1,,
4/8/2016 00:00,2,,
5/8/2016 00:00,1,,
6/8/2016 00:00,,,
7/8/2016 00:00,,,
8/8/2016 00:00,1,,
9/8/2016 00:00,1,,
10/8/2016 00:00,2,,
11/8/2016 00:00,,,
12/8/2016 00:00,,,
13/08/2016 00:00,,,
14/08/2016 00:00,,,
15/08/2016 00:00,,,
16/08/2016 00:00,,,
17/08/2016 00:00,1,,
18/08/2016 00:00,2,,
19/08/2016 00:00,2,,
20/08/2016 00:00,1,,
21/08/2016 00:00,1,,
22/08/2016 00:00,2,,
23/08/2016 00:00,3,,
24/08/2016 00:00,1,,
25/08/2016 00:00,1,,
26/08/2016 00:00,2,,
27/08/2016 00:00,,,
28/08/2016 00:00,,,
29/08/2016 00:00,3,,
30/08/2016 00:00,3,,
31/08/2016 00:00,2,,
1/9/2016 00:00,2,,
2/9/2016 00:00,3,,
3/9/2016 00:00,,,
4/9/2016 00:00,,,
5/9/2016 00:00,2,,
6/9/2016 00:00,2,,
7/9/2016 00:00,2,,
8/9/2016 00:00,2,,
9/9/2016 00:00,2,,
10/9/2016 00:00,,,
11/9/2016 00:00,,,
12/9/2016 00:00,2,,
13/09/2016 00:00,2,,
14/09/2016 00:00,3,,
15/09/2016 00:00,2,,
16/09/2016 00:00,2,,
17/09/2016 00:00,,,
18/09/2016 00:00,,,
19/09/2016 00:00,,,
20/09/2016 00:00,3,,
21/09/2016 00:00,2,,
22/09/2016 00:00,,,
23/09/2016 00:00,3,,
24/09/2016 00:00,,,
25/09/2016 00:00,,,
26/09/2016 00:00,3,,
27/09/2016 00:00,3,,
28/09/2016 00:00,3,,
29/09/2016 00:00,2,,
30/09/2016 00:00,3,,
1/10/2016 00:00,,,
2/10/2016 00:00,,,
3/10/2016 00:00,3,,
4/10/2016 00:00,2,,
5/10/2016 00:00,3,,
6/10/2016 00:00,2,,
7/10/2016 00:00,2,,
8/10/2016 00:00,,,
9/10/2016 00:00,,,
10/10/2016 00:00,,,
11/10/2016 00:00,2,,
12/10/2016 00:00,2,,
13/10/2016 00:00,3,,
14/10/2016 00:00,2,,
15/10/2016 00:00,,,
16/10/2016 00:00,,,
17/10/2016 00:00,2,,
18/10/2016 00:00,2,,
19/10/2016 00:00,2,,
20/10/2016 00:00,1,,
21/10/2016 00:00,3,,
22/10/2016 00:00,,,
23/10/2016 00:00,,,
24/10/2016 00:00,2,,
25/10/2016 00:00,2,,
26/10/2016 00:00,1,,
27/10/2016 00:00,2,,
28/10/2016 00:00,1,,
29/10/2016 00:00,,,
30/10/2016 00:00,,,
31/10/2016 00:00,2,,
1/11/2016 00:00,2,,
2/11/2016 00:00,2,,
3/11/2016 00:00,1,,
4/11/2016 00:00,1,,
5/11/2016 00:00,1,,
6/11/2016 00:00,1,,
7/11/2016 00:00,2,,
8/11/2016 00:00,3,,
9/11/2016 00:00,3,,
10/11/2016 00:00,3,,
11/11/2016 00:00,2,,
12/11/2016 00:00,,,
13/11/2016 00:00,,,
14/11/2016 00:00,1,,
15/11/2016 00:00,3,,
16/11/2016 00:00,3,,
17/11/2016 00:00,4,,
18/11/2016 00:00,4,,
19/11/2016 00:00,1,,
20/11/2016 00:00,,,
21/11/2016 00:00,2,,
22/11/2016 00:00,4,,
23/11/2016 00:00,,,
24/11/2016 00:00,3,,
25/11/2016 00:00,3,,
26/11/2016 00:00,,,
27/11/2016 00:00,,,
28/11/2016 00:00,1,,
29/11/2016 00:00,3,,
30/11/2016 00:00,4,,
1/12/2016 00:00,4,,
2/12/2016 00:00,4,,
3/12/2016 00:00,3,,
4/12/2016 00:00,3,,
5/12/2016 00:00,4,,
6/12/2016 00:00,3,,
7/12/2016 00:00,2,,
8/12/2016 00:00,3,,
9/12/2016 00:00,4,,
10/12/2016 00:00,1,,
11/12/2016 00:00,,,
12/12/2016 00:00,3,,
13/12/2016 00:00,4,,
14/12/2016 00:00,4,,
15/12/2016 00:00,4,,
16/12/2016 00:00,4,,
17/12/2016 00:00,,,
18/12/2016 00:00,,,
19/12/2016 00:00,4,,
20/12/2016 00:00,6,,
21/12/2016 00:00,3,,
22/12/2016 00:00,3,,
23/12/2016 00:00,2,,
24/12/2016 00:00,1,,
25/12/2016 00:00,1,,
26/12/2016 00:00,4,,
27/12/2016 00:00,3,,
28/12/2016 00:00,4,,
29/12/2016 00:00,,,
30/12/2016 00:00,,,
31/12/2016 00:00,,,
1/1/2017 00:00,,,
2/1/2017 00:00,,,
3/1/2017 00:00,,,
4/1/2017 00:00,,,
5/1/2017 00:00,5,,
6/1/2017 00:00,5,,
7/1/2017 00:00,,,
8/1/2017 00:00,,,
9/1/2017 00:00,1,,
10/1/2017 00:00,5,,
11/1/2017 00:00,5,,
12/1/2017 00:00,4,,
13/01/2017 00:00,4,,
14/01/2017 00:00,,,
15/01/2017 00:00,,,
16/01/2017 00:00,3,,
17/01/2017 00:00,4,,
18/01/2017 00:00,4,,
19/01/2017 00:00,4,,
20/01/2017 00:00,4,,
21/01/2017 00:00,2,,
22/01/2017 00:00,,,
23/01/2017 00:00,2,,
24/01/2017 00:00,5,,
25/01/2017 00:00,2,,
26/01/2017 00:00,2,,
27/01/2017 00:00,2,,
28/01/2017 00:00,2,,
29/01/2017 00:00,1,,
30/01/2017 00:00,4,,
31/01/2017 00:00,3,,
1/2/2017 00:00,2,,
2/2/2017 00:00,3,,
3/2/2017 00:00,2,,
4/2/2017 00:00,2,,
5/2/2017 00:00,1,,
6/2/2017 00:00,3,,
7/2/2017 00:00,2,,
8/2/2017 00:00,2,,
9/2/2017 00:00,3,,
10/2/2017 00:00,3,,
11/2/2017 00:00,3,,
12/2/2017 00:00,2,,
13/02/2017 00:00,4,,
14/02/2017 00:00,4,,
15/02/2017 00:00,2,,
16/02/2017 00:00,2,,
17/02/2017 00:00,2,,
18/02/2017 00:00,1,,
19/02/2017 00:00,1,,
20/02/2017 00:00,4,,
21/02/2017 00:00,2,,
22/02/2017 00:00,3,,
23/02/2017 00:00,2,,
24/02/2017 00:00,3,,
25/02/2017 00:00,1,,
26/02/2017 00:00,,,
27/02/2017 00:00,3,,
28/02/2017 00:00,3,,
1/3/2017 00:00,4,,
2/3/2017 00:00,3,,
3/3/2017 00:00,4,,
4/3/2017 00:00,1,,
5/3/2017 00:00,1,,
6/3/2017 00:00,4,,
7/3/2017 00:00,4,,
8/3/2017 00:00,7,,
9/3/2017 00:00,7,,
10/3/2017 00:00,7,,
11/3/2017 00:00,2,,
12/3/2017 00:00,1,,
13/03/2017 00:00,4,,
14/03/2017 00:00,5,,
15/03/2017 00:00,3,,
16/03/2017 00:00,3,,
17/03/2017 00:00,4,,
18/03/2017 00:00,2,,
19/03/2017 00:00,2,,
20/03/2017 00:00,2,,
21/03/2017 00:00,,,
22/03/2017 00:00,,,
23/03/2017 00:00,5,,
24/03/2017 00:00,6,,
25/03/2017 00:00,3,,
26/03/2017 00:00,,,
27/03/2017 00:00,5,,
28/03/2017 00:00,5,,
29/03/2017 00:00,6,,
30/03/2017 00:00,6,,
