DateTime,Players,Flags,Twitch Viewers
1/11/2016 00:00,13,,
2/11/2016 00:00,,,
3/11/2016 00:00,,,
4/11/2016 00:00,,,
5/11/2016 00:00,,,
6/11/2016 00:00,,,
7/11/2016 00:00,,,
8/11/2016 00:00,,,
9/11/2016 00:00,,,
10/11/2016 00:00,,,
11/11/2016 00:00,,,
12/11/2016 00:00,,,
13/11/2016 00:00,,,
14/11/2016 00:00,,,
15/11/2016 00:00,,,
16/11/2016 00:00,,,
17/11/2016 00:00,,,
18/11/2016 00:00,,,
19/11/2016 00:00,,,
20/11/2016 00:00,,,
21/11/2016 00:00,,,
22/11/2016 00:00,,,
23/11/2016 00:00,,,
24/11/2016 00:00,,,
25/11/2016 00:00,,,
26/11/2016 00:00,,,
27/11/2016 00:00,,,
28/11/2016 00:00,6,,
29/11/2016 00:00,12,,
30/11/2016 00:00,10,,
1/12/2016 00:00,14,,
2/12/2016 00:00,12,,
3/12/2016 00:00,2,,
4/12/2016 00:00,1,,
5/12/2016 00:00,12,,
6/12/2016 00:00,14,,
7/12/2016 00:00,17,,
8/12/2016 00:00,164,,
9/12/2016 00:00,211,,
10/12/2016 00:00,167,,
11/12/2016 00:00,123,,
12/12/2016 00:00,16,,
13/12/2016 00:00,16,,
14/12/2016 00:00,15,,
15/12/2016 00:00,12,,
16/12/2016 00:00,11,,
17/12/2016 00:00,2,,
18/12/2016 00:00,1,,
19/12/2016 00:00,11,,
20/12/2016 00:00,16,,
21/12/2016 00:00,16,,
22/12/2016 00:00,16,,
23/12/2016 00:00,10,,
24/12/2016 00:00,1,,
25/12/2016 00:00,1,,
26/12/2016 00:00,1,,
27/12/2016 00:00,7,,
28/12/2016 00:00,8,,
29/12/2016 00:00,8,,
30/12/2016 00:00,6,,
31/12/2016 00:00,2,,
1/1/2017 00:00,1,,
2/1/2017 00:00,9,,
3/1/2017 00:00,11,,
4/1/2017 00:00,11,,
5/1/2017 00:00,13,,
6/1/2017 00:00,3,,
7/1/2017 00:00,1,,
8/1/2017 00:00,1,,
9/1/2017 00:00,13,,
10/1/2017 00:00,18,,
11/1/2017 00:00,13,,
12/1/2017 00:00,16,,
13/01/2017 00:00,17,,
14/01/2017 00:00,3,,
15/01/2017 00:00,3,,
16/01/2017 00:00,15,,
17/01/2017 00:00,17,,
18/01/2017 00:00,18,,
19/01/2017 00:00,16,,
20/01/2017 00:00,15,,
21/01/2017 00:00,2,,
22/01/2017 00:00,2,,
23/01/2017 00:00,16,,
24/01/2017 00:00,19,,
25/01/2017 00:00,20,,
26/01/2017 00:00,19,,
27/01/2017 00:00,16,,
28/01/2017 00:00,2,,
29/01/2017 00:00,2,,
30/01/2017 00:00,12,,
31/01/2017 00:00,17,,
1/2/2017 00:00,17,,
2/2/2017 00:00,17,,
3/2/2017 00:00,18,,
4/2/2017 00:00,4,,
5/2/2017 00:00,3,,
6/2/2017 00:00,21,,
7/2/2017 00:00,18,,
8/2/2017 00:00,19,,
9/2/2017 00:00,22,,
10/2/2017 00:00,22,,
11/2/2017 00:00,2,,
12/2/2017 00:00,2,,
13/02/2017 00:00,15,,
14/02/2017 00:00,21,,
15/02/2017 00:00,22,,
16/02/2017 00:00,2833,,
17/02/2017 00:00,2669,,
18/02/2017 00:00,3312,,
19/02/2017 00:00,2789,,
20/02/2017 00:00,3680,,
21/02/2017 00:00,3211,,
22/02/2017 00:00,2963,,
23/02/2017 00:00,3146,,
24/02/2017 00:00,3070,,
25/02/2017 00:00,3900,,
26/02/2017 00:00,4632,,
27/02/2017 00:00,3184,,
28/02/2017 00:00,3745,,
1/3/2017 00:00,3527,,
2/3/2017 00:00,3523,,
3/3/2017 00:00,3639,,
4/3/2017 00:00,3956,,
5/3/2017 00:00,4344,,
6/3/2017 00:00,3365,,
7/3/2017 00:00,3076,,
8/3/2017 00:00,2923,,
9/3/2017 00:00,2567,,
10/3/2017 00:00,2555,,
11/3/2017 00:00,2685,,
12/3/2017 00:00,3177,,
13/03/2017 00:00,1716,,
14/03/2017 00:00,2264,,
15/03/2017 00:00,2242,,
16/03/2017 00:00,2020,,
17/03/2017 00:00,1969,,
18/03/2017 00:00,2204,,
19/03/2017 00:00,2542,,
20/03/2017 00:00,1969,,
